institution,source,member,grid,experiment,year,seb_Wm2,seb_anom_Wm2
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1850,-20.556767820061918,-0.9194800163485425
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1851,-18.94837296146211,0.6889148422512635
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1852,-18.170339559883498,1.466948243829876
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1853,-15.552844091967351,4.084443711746022
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1854,-18.063984918726725,1.573302884986649
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1855,-20.795817186998395,-1.158529383285024
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1856,-17.885363733569193,1.7519240701441816
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1857,-19.96003252586757,-0.32274472215419764
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1858,-16.901068471612703,2.736219332100672
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1859,-21.78257657758527,-2.1452887738718953
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1860,-16.3747630129202,3.262524790793172
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1861,-17.460184616952237,2.1771031867611357
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1862,-15.318734837918123,4.31855296579525
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1863,-22.011882838522762,-2.3745950348093863
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1864,-19.574462027094228,0.06282577661914794
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1865,-20.1731338506668,-0.535846046953426
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1866,-19.6311717931099,0.006116010603474405
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1867,-22.07546720628621,-2.4381794025728385
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1868,-21.27089963038088,-1.6336118266675086
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1869,-20.32776071320665,-0.6904729094932774
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1870,-21.359355408446614,-1.722067604733238
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1871,-19.937314763676678,-0.3000269599633058
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1872,-23.17272446241147,-3.535436658698098
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1873,-18.01631260932504,1.620975194388331
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1874,-20.844259468517624,-1.2069716648042503
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1875,-19.940375737325976,-0.30308793361260405
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1876,-20.315947969106798,-0.6786601653934259
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1877,-18.767511230257245,0.869776573456126
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1878,-17.769007205194573,1.8682805985188
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1879,-20.496348160983313,-0.859060357269939
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1880,-19.73515057445428,-0.09786277074090559
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1881,-19.310115479567134,0.32717232414623726
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1882,-18.803582510577392,0.833705293135982
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1883,-16.543177735242846,3.0941100684705254
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1884,-19.890943118895944,-0.2536553151825691
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1885,-22.83318957006594,-3.195901766352565
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1886,-20.078167867687068,-0.44088006397369356
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1887,-21.2555472049589,-1.6182594012455294
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1888,-17.474220066324396,2.1630677373889764
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1889,-21.739410096638366,-2.1021222929249936
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1890,-19.562569072749557,0.07471873096381391
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1891,-19.259901996529535,0.3773858071838386
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1892,-18.011357648270142,1.6259301554432322
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1893,-22.147476785296117,-2.510188981582744
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1894,-19.585472213683772,0.051815590029601864
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1895,-20.742416535193456,-1.1051287314800835
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1896,-22.645437771177416,-3.008149967464043
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1897,-22.33283016710566,-2.6955423633922853
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1898,-19.00588438246513,0.6314034212482432
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1899,-21.39107640052424,-1.7537885968108669
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1900,-21.97805438044602,-2.340766576732648
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1901,-19.063129287589017,0.5741585161243558
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1902,-19.728681766499253,-0.0913939627858819
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1903,-21.525776779344294,-1.888488975630918
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1904,-22.37073843108765,-2.7334506273742747
