institution,source,member,siconc_grid,experiment,time,year,month,sia_Mkm2,pi_clim_sia_Mkm2,sia_anom_Mkm2
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1850-01,1850,1,12.909012000839748,12.8161504521769,0.09286154866284768
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1850-02,1850,2,12.966371184524435,13.077870426515886,-0.11149924199145111
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1850-03,1850,3,13.05244753227209,13.129968181664914,-0.07752064939282377
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1850-04,1850,4,12.801447237304945,12.929769373974484,-0.12832213666953862
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1850-05,1850,5,11.804386697528239,12.06029569338179,-0.25590899585355054
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1850-06,1850,6,10.16682097679377,10.377849521634676,-0.2110285448409055
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1850-07,1850,7,7.665253015981553,7.857553305444511,-0.19230028946295796
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1850-08,1850,8,5.53894981336842,5.63197621076121,-0.09302639739278984
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1850-09,1850,9,5.6296527402864,5.798480637762352,-0.16882789747595162
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1850-10,1850,10,7.696361354739065,7.824719510381191,-0.12835815564212538
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1850-11,1850,11,10.304361209971235,10.340050327926162,-0.03568911795492724
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1850-12,1850,12,11.866197187974677,11.948186704007277,-0.08198951603259985
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1851-01,1851,1,12.689168931924042,12.8161504521769,-0.12698152025285836
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1851-02,1851,2,12.962906852907736,13.077870426515886,-0.11496357360815068
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1851-03,1851,3,13.14348099736304,13.129968181664914,0.013512815698126346
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1851-04,1851,4,12.794739880731322,12.929769373974484,-0.13502949324316127
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1851-05,1851,5,12.063272799561906,12.06029569338179,0.0029771061801167065
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1851-06,1851,6,10.482057198357348,10.377849521634676,0.1042076767226714
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1851-07,1851,7,7.970085642996141,7.857553305444511,0.11253233755163006
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1851-08,1851,8,5.492646908798936,5.63197621076121,-0.1393293019622739
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1851-09,1851,9,5.537277934832634,5.798480637762352,-0.2612027029297179
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1851-10,1851,10,7.995944553021959,7.824719510381191,0.171225042640768
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1851-11,1851,11,10.59717550323443,10.340050327926162,0.25712517530826773
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1851-12,1851,12,12.274395116557114,11.948186704007277,0.32620841254983723
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1852-01,1852,1,13.195066397484728,12.8161504521769,0.3789159453078277
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1852-02,1852,2,13.380691662555012,13.077870426515886,0.3028212360391258
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1852-03,1852,3,13.25102097288548,13.129968181664914,0.12105279122056523
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1852-04,1852,4,13.078831763998924,12.929769373974484,0.1490623900244401
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1852-05,1852,5,12.052757137142278,12.06029569338179,-0.007538556239511607
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1852-06,1852,6,10.282180433493474,10.377849521634676,-0.0956690881412019
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1852-07,1852,7,7.683620173504203,7.857553305444511,-0.17393313194030746
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1852-08,1852,8,5.72163196026836,5.63197621076121,0.08965574950715016
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1852-09,1852,9,6.115602753615961,5.798480637762352,0.31712211585360883
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1852-10,1852,10,8.186739059600018,7.824719510381191,0.36201954921882784
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1852-11,1852,11,10.163197027572966,10.340050327926162,-0.17685330035319602
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1852-12,1852,12,11.906871316692287,11.948186704007277,-0.04131538731498985
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1853-01,1853,1,12.902167375602616,12.8161504521769,0.08601692342571532
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1853-02,1853,2,13.263534873775551,13.077870426515886,0.1856644472596649
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1853-03,1853,3,13.256314074804619,13.129968181664914,0.126345893139705
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1853-04,1853,4,12.972338197346476,12.929769373974484,0.04256882337199208
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1853-05,1853,5,11.995546396961485,12.06029569338179,-0.06474929642030425
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1853-06,1853,6,10.27968713210415,10.377849521634676,-0.09816238953052547
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1853-07,1853,7,7.681602190998566,7.857553305444511,-0.1759511144459447
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1853-08,1853,8,5.478695476472084,5.63197621076121,-0.15328073428912603
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1853-09,1853,9,5.475161754793789,5.798480637762352,-0.3233188829685627
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1853-10,1853,10,7.2097310531282055,7.824719510381191,-0.6149884572529851
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1853-11,1853,11,9.772622057705336,10.340050327926162,-0.5674282702208266
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1853-12,1853,12,11.820608043006033,11.948186704007277,-0.1275786610012446
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1854-01,1854,1,13.012759387243504,12.8161504521769,0.19660893506660315
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1854-02,1854,2,13.317290109844043,13.077870426515886,0.23941968332815655
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1854-03,1854,3,13.182689380150695,13.129968181664914,0.05272119848578072
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1854-04,1854,4,13.008177720530112,12.929769373974484,0.07840834655562823
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1854-05,1854,5,12.206588304649701,12.06029569338179,0.1462926112679117
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1854-06,1854,6,10.461115973852529,10.377849521634676,0.08326645221785256
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1854-07,1854,7,7.6353054760703385,7.857553305444511,-0.2222478293741723
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1854-08,1854,8,5.058387344893402,5.63197621076121,-0.5735888658678086
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1854-09,1854,9,5.113607324852453,5.798480637762352,-0.6848733129098985
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1854-10,1854,10,7.102332979265154,7.824719510381191,-0.7223865311160367
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1854-11,1854,11,10.128783616504151,10.340050327926162,-0.21126671142201126
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1854-12,1854,12,11.989042572193066,11.948186704007277,0.04085586818578868
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1855-01,1855,1,13.076442629085996,12.8161504521769,0.2602921769090951
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1855-02,1855,2,13.305925573571557,13.077870426515886,0.2280551470556702
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1855-03,1855,3,13.232347903535294,13.129968181664914,0.10237972187037947
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1855-04,1855,4,13.012986538836095,12.929769373974484,0.08321716486161179
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1855-05,1855,5,12.123680883754407,12.06029569338179,0.06338519037261747
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1855-06,1855,6,10.493267729087435,10.377849521634676,0.11541820745275899
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1855-07,1855,7,8.055135246124335,7.857553305444511,0.19758194067982426
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1855-08,1855,8,5.689580497912104,5.63197621076121,0.05760428715089372
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1855-09,1855,9,5.517848829517475,5.798480637762352,-0.2806318082448769
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1855-10,1855,10,7.702218915801531,7.824719510381191,-0.12250059457965978
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1855-11,1855,11,10.372499156801455,10.340050327926162,0.032448828875292435
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1855-12,1855,12,12.104355273528727,11.948186704007277,0.15616856952144964
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1856-01,1856,1,12.937095273183939,12.8161504521769,0.12094482100703807
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1856-02,1856,2,13.048419762687006,13.077870426515886,-0.029450663828880508
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1856-03,1856,3,13.159766726142333,13.129968181664914,0.029798544477419142
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1856-04,1856,4,13.019155059096901,12.929769373974484,0.08938568512241751
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1856-05,1856,5,12.156185468583766,12.06029569338179,0.09588977520197695
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1856-06,1856,6,10.609959365574793,10.377849521634676,0.23210984394011724
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1856-07,1856,7,7.962687355477521,7.857553305444511,0.10513405003301024
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1856-08,1856,8,5.5916983358726515,5.63197621076121,-0.04027787488855861
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1856-09,1856,9,5.521938788958078,5.798480637762352,-0.2765418488042739
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1856-10,1856,10,7.621103069883099,7.824719510381191,-0.20361644049809158
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1856-11,1856,11,10.23451858757777,10.340050327926162,-0.10553174034839152
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1856-12,1856,12,12.056933501983234,11.948186704007277,0.10874679797595732
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1857-01,1857,1,12.826906803013387,12.8161504521769,0.01075635083648585
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1857-02,1857,2,12.915584523689592,13.077870426515886,-0.1622859028262944
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1857-03,1857,3,13.109676006712634,13.129968181664914,-0.02029217495227975
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1857-04,1857,4,13.003314779016383,12.929769373974484,0.07354540504189977
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1857-05,1857,5,12.205044104861269,12.06029569338179,0.1447484114794797
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1857-06,1857,6,10.59489471175502,10.377849521634676,0.21704519012034318
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1857-07,1857,7,8.092316916187967,7.857553305444511,0.23476361074345586
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1857-08,1857,8,5.911258823214961,5.63197621076121,0.2792826124537511
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1857-09,1857,9,6.047219562851035,5.798480637762352,0.24873892508868334
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1857-10,1857,10,8.138909739063076,7.824719510381191,0.31419022868188495
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1857-11,1857,11,10.604777868443374,10.340050327926162,0.26472754051721203
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1857-12,1857,12,12.14022603319,11.948186704007277,0.19203932918272315
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1858-01,1858,1,12.870981891702847,12.8161504521769,0.05483143952594638
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1858-02,1858,2,13.05646921903466,13.077870426515886,-0.02140120748122598
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1858-03,1858,3,13.07887473819116,13.129968181664914,-0.05109344347375355
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1858-04,1858,4,12.888897026506504,12.929769373974484,-0.040872347467979964
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1858-05,1858,5,12.104144648333643,12.06029569338179,0.04384895495185326
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1858-06,1858,6,10.429453904553085,10.377849521634676,0.051604382918409186
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,historical,1858-07,1858,7,8.100907563673017,7.857553305444511,0.2433542582285062
