institution,source,member,grid,experiment,year,seb_Wm2,seb_anom_Wm2
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1850,-22.28749782894496,0.4651285095772237
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1851,-23.019308630036488,-0.2666822915143001
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1852,-26.676787663166508,-3.9241613246443214
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1853,-25.437940312996115,-2.6853139744739303
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1854,-20.91807673062014,1.8345496079020467
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1855,-20.418554893194408,2.334071445327778
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1856,-25.76434573743482,-3.0117193989126356
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1857,-24.216810386399885,-1.4641840478777006
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1858,-23.191221579981924,-0.43859524145973666
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1859,-23.32681514582764,-0.5741888073054605
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1860,-19.193199315567785,3.5594270229543974
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1861,-21.0820718482682,1.6705544902539842
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1862,-23.646873125193526,-0.8942467866713425
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1863,-25.097464504025268,-2.3448381655030817
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1864,-18.58134885748331,4.171277481038877
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1865,-23.7734777258183,-1.020851387296114
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1866,-24.85345152910651,-2.100825190584327
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1867,-21.618892706571703,1.133733631950481
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1868,-21.251330210991465,1.5012961275307202
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1869,-22.91528539226786,-0.16265905374567632
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1870,-24.682283752404015,-1.9296574138818263
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1871,-21.337958526847185,1.4146678116750007
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1872,-21.900531634282046,0.8520947042401392
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1873,-23.10040396684083,-0.34777762831864667
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1874,-23.99749984225183,-1.2448735037296474
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1875,-20.40793748184532,2.3446888566768656
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1876,-21.334462583467374,1.4181637550548107
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1877,-21.79061118421132,0.9620151543108667
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1878,-23.90161417919023,-1.148987840668043
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1879,-24.25875652199191,-1.506130183469721
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1880,-26.550339564874324,-3.79771322635214
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1881,-22.534915531713498,0.21771080680868712
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1882,-22.52128768497273,0.2313386535494534
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1883,-24.135292841227905,-1.3826665027057194
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1884,-22.408031851793115,0.3445944867290687
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1885,-22.14391978400401,0.6087065545181788
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1886,-24.200446727848853,-1.4478203893266672
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1887,-19.099732591434925,3.652893747087262
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1888,-20.33994313338866,2.4126832051335243
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1889,-17.339416855201666,5.413209483320519
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1890,-21.856794963172963,0.8958313753492239
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1891,-20.047725077502673,2.7049012610195144
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1892,-21.496551039150575,1.25607529937161
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1893,-21.96705656426936,0.7855697742528233
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1894,-22.81499879509738,-0.06237245657519767
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1895,-24.586300131176472,-1.8336737926542848
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1896,-22.83468218124847,-0.082055842726288
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1897,-23.674128464290078,-0.9215021257678934
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1898,-21.866402443715515,0.8862238948066711
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1899,-21.77171585950521,0.9809104790169721
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1900,-20.403764010521773,2.348862328000413
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1901,-21.64683222974976,1.1057941087724246
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1902,-25.184184891883856,-2.431558553361669
