institution,source,member,siconc_grid,experiment,time,year,month,sia_Mkm2,pi_clim_sia_Mkm2,sia_anom_Mkm2
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1850-01,1850,1,12.159931517839778,11.87947512895977,0.28045638888000823
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1850-02,1850,2,12.650222450187309,12.246655750835188,0.40356669935212075
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1850-03,1850,3,12.947357245736413,12.333491056293159,0.6138661894432538
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1850-04,1850,4,12.614286744020287,12.067922641999136,0.5463641020211512
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1850-05,1850,5,11.426230346041237,11.09267475106667,0.3335555949745661
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1850-06,1850,6,9.55011066534744,9.520217962337027,0.029892703010412802
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1850-07,1850,7,7.516521200918274,7.587746663754097,-0.0712254628358231
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1850-08,1850,8,5.8173734868886875,5.8284429107649895,-0.011069423876302054
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1850-09,1850,9,5.378522178657307,5.488982841034604,-0.11046066237729679
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1850-10,1850,10,6.5800825281664235,6.746989716291427,-0.1669071881250037
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1850-11,1850,11,8.737778886123946,8.745510311493765,-0.007731425369819078
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1850-12,1850,12,11.06890900708622,10.800664970935497,0.26824403615072256
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1851-01,1851,1,12.32151151732983,11.87947512895977,0.44203638837005954
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1851-02,1851,2,12.589617571228679,12.246655750835188,0.34296182039349077
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1851-03,1851,3,12.905544793422004,12.333491056293159,0.5720537371288454
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1851-04,1851,4,12.461602282845037,12.067922641999136,0.39367964084590135
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1851-05,1851,5,11.371318893999758,11.09267475106667,0.2786441429330875
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1851-06,1851,6,9.739185975599076,9.520217962337027,0.2189680132620495
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1851-07,1851,7,7.649354251392098,7.587746663754097,0.061607587638000894
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1851-08,1851,8,5.629941413382356,5.8284429107649895,-0.19850149738263312
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1851-09,1851,9,5.267475108653071,5.488982841034604,-0.2215077323815331
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1851-10,1851,10,6.724300161746501,6.746989716291427,-0.02268955454492616
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1851-11,1851,11,8.54704976744368,8.745510311493765,-0.19846054405008573
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1851-12,1851,12,10.772371146878239,10.800664970935497,-0.028293824057257666
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1852-01,1852,1,11.777442545489752,11.87947512895977,-0.10203258347001842
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1852-02,1852,2,12.507622702828566,12.246655750835188,0.26096695199337816
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1852-03,1852,3,12.555183291587577,12.333491056293159,0.22169223529441773
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1852-04,1852,4,12.244550385450912,12.067922641999136,0.17662774345177645
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1852-05,1852,5,11.20507141496325,11.09267475106667,0.11239666389657899
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1852-06,1852,6,9.746437282668543,9.520217962337027,0.22621932033151637
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1852-07,1852,7,7.840900605885827,7.587746663754097,0.25315394213173015
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1852-08,1852,8,6.128210570008453,5.8284429107649895,0.2997676592434635
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1852-09,1852,9,5.810437783367804,5.488982841034604,0.32145494233320004
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1852-10,1852,10,7.1860496269968515,6.746989716291427,0.43905991070542427
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1852-11,1852,11,9.06541852269165,8.745510311493765,0.31990821119788393
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1852-12,1852,12,11.097797486355661,10.800664970935497,0.2971325154201647
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1853-01,1853,1,12.203144274565762,11.87947512895977,0.3236691456059919
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1853-02,1853,2,12.472846753489508,12.246655750835188,0.22619100265431946
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1853-03,1853,3,12.544779525221138,12.333491056293159,0.2112884689279788
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1853-04,1853,4,12.487410346699805,12.067922641999136,0.41948770470066954
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1853-05,1853,5,11.526606177036733,11.09267475106667,0.4339314259700622
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1853-06,1853,6,9.852202928327747,9.520217962337027,0.3319849659907206
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1853-07,1853,7,7.763347412147353,7.587746663754097,0.175600748393256
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1853-08,1853,8,6.07825152441134,5.8284429107649895,0.24980861364635043
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1853-09,1853,9,5.4724954964025185,5.488982841034604,-0.016487344632085232
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1853-10,1853,10,6.631898856361027,6.746989716291427,-0.11509085993040014
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1853-11,1853,11,8.846226509512547,8.745510311493765,0.10071619801878207
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1853-12,1853,12,10.982555667288562,10.800664970935497,0.1818906963530651
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1854-01,1854,1,12.158714730690699,11.87947512895977,0.27923960173092865
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,historical,1854-02,1854,2,12.357794524545369,12.246655750835188,0.11113877371018077
