institution,source,member,grid,experiment,year,seb_Wm2,seb_anom_Wm2
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1850,-22.837801356575202,0.3932657408324838
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1851,-25.33590240817789,-2.1048353107702042
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1852,-24.680735404319574,-1.4496683069118828
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1853,-23.900302932228843,-0.6692358348211579
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1854,-21.659737011817146,1.5713300855905417
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1855,-22.68902537644433,0.5420417209633585
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1856,-25.917639164148692,-2.6865720667410025
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1857,-22.64923779119,0.5818293062176894
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1858,-25.576089484355624,-2.3450223869479347
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1859,-25.053454490376865,-1.8223873929691792
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1860,-21.354451148813947,1.8766159485937424
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1861,-22.572329158089833,0.6587379393178564
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1862,-22.8332855305118,0.39778156689588345
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1863,-21.39361348807987,1.8374536093278158
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1864,-20.57700337223141,2.6540637251762784
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1865,-22.894149630277127,0.33691746713056236
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1866,-22.818941139107068,0.41212595830061716
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1867,-24.32901275978894,-1.0979456623812556
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1868,-25.810780589726523,-2.579713492318836
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1869,-22.425479131765865,0.8055879656418239
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1870,-23.67494381466334,-0.44387671725565586
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1871,-22.20584432876299,1.0252227686446975
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1872,-22.94091166374071,0.29015543366697516
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1873,-23.80231355422897,-0.5712464568212822
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1874,-24.34122544642682,-1.1101583490191305
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1875,-21.56040222409855,1.670664873309142
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1876,-22.93301765740657,0.29804944000111533
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1877,-22.449318730380977,0.7817483670267104
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1878,-24.03790740424537,-0.8068403068376808
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1879,-22.077442162104465,1.153624935303221
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1880,-21.36453913692526,1.8665279604824303
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1881,-23.326105599841807,-0.09503850243411745
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1882,-22.975922500037655,0.25514459737003303
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1883,-24.775069380904966,-1.5440022834972795
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1884,-23.609321357377272,-0.37825425996958667
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1885,-26.555289385562606,-3.3242222881549224
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1886,-22.488719698954498,0.7423473984531904
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1887,-20.471699594714128,2.7593675026935607
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1888,-23.561168923123034,-0.33010182571534896
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1889,-20.483668707626336,2.7473983897813525
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1890,-22.56597101942891,0.6650960779787761
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1891,-22.454292510324468,0.7767745870832168
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1892,-23.391695040516122,-0.16062794310843254
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1893,-26.316893169913858,-3.0858260725061704
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1894,-21.80378557235161,1.4272815250560764
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1895,-23.14075441861117,0.09031267879651288
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1896,-25.915507905748314,-2.684440808340627
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1897,-23.597681780535414,-0.36661468312772705
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1898,-26.693493610099026,-3.462426512691337
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1899,-26.363886567247405,-3.1328194698397174
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1900,-19.550601332663298,3.680465764744389
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1901,-23.622739801194246,-0.39167270378656155
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1902,-22.93226627130051,0.2988008261071771
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1903,-22.634916892520376,0.5961502048873117
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1904,-23.73889087564279,-0.5078237782351054
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1905,-23.191264213241947,0.03980288416574022
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1906,-24.314777071709273,-1.0837099743015857
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1907,-24.951808820577856,-1.7207417231701667
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1908,-22.17615360249597,1.054913494911718
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1909,-22.110099875658516,1.1209672217491737
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1910,-27.234736904180703,-4.003669806773016
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1911,-22.672143998981127,0.5589230984265585
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1912,-24.637474532731115,-1.406407435323426
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1913,-26.388934911948663,-3.1578678145409733
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1914,-22.621214985804198,0.6098521116034901
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1915,-22.126985374458354,1.104081722949336
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1916,-23.402318537163058,-0.17125143975537474
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1917,-24.568045929040835,-1.336978831633146
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1918,-23.48592610691873,-0.2548590095110428
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1919,-25.685043344960516,-2.4539762475528266
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1920,-23.899995557139047,-0.6689284597313586
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1921,-20.90470657949135,2.3263605179163354
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1922,-23.864655163407974,-0.6335880660002843
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1923,-23.39752929819967,-0.16646220079198462
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1924,-26.086642088539648,-2.8555749911319617
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1925,-22.98220372954267,0.24886336786501495
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1926,-28.448147286334663,-5.217080188926978
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1927,-19.879216489798498,3.3518506076091863
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1928,-22.067014050947932,1.1640530464597567
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1929,-22.011823574162023,1.2192435232456642
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1930,-25.874505508654096,-2.6434384112464095
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1931,-25.157618982864506,-1.9265518854568153
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1932,-24.228552916711735,-0.9974858193040452
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1933,-21.724985526742618,1.5060815706650679
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1934,-23.44392319259924,-0.2128560951915522
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1935,-24.63925675377263,-1.4081896563649459
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1936,-25.608908814445005,-2.3778417170373207
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1937,-19.472673599329454,3.758393498078234
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1938,-21.81611760014133,1.414949497266356
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1939,-22.94684486770356,0.2842222297041281
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1940,-21.4962015435012,1.734865553906488
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1941,-20.30367776666614,2.9273893307415464
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1942,-24.440299871058404,-1.2092327736507158
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1943,-27.496592752761597,-4.265525655353907
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1944,-25.259604496510562,-2.0285373991028766
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1945,-22.157394663537488,1.0736724338701997
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1946,-24.840358046343905,-1.6092909489362155
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1947,-21.28189639687803,1.9491707005296581
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1948,-22.806142594491792,0.4249245029158943
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1949,-24.96785395023458,-1.7367868528268933
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1950,-21.854534684454844,1.3765324129528456
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1951,-21.2655473384884,1.9655197589192879
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1952,-19.898631120134684,3.332435977273002
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1953,-23.046225702060344,0.1848413953473429
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1954,-23.79250989671159,-0.561442799303901
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1955,-21.26664839337401,1.964418704033679
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1956,-22.204175810813584,1.0268912865941033
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1957,-22.732503210901644,0.4985638865060409
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1958,-23.8879939863461,-0.6569268889384131
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1959,-21.667582067135033,1.5634850302726526
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1960,-22.750771682820517,0.480295414587167
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1961,-23.590459009598447,-0.3593919121907619
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1962,-22.727605964147518,0.5034611332601653
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1963,-23.92983757187653,-0.6987704744688404
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1964,-24.64531331009064,-1.41424621268295
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1965,-22.22673113406778,1.0043359633399038
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1966,-21.742709342825652,1.488357754582033
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1967,-22.810803707598804,0.42026338980888295
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1968,-23.031655323447676,0.19941177396001328
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1969,-25.75326841674406,-2.522201319336372
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1970,-23.877016025531518,-0.6459489281238322
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1971,-21.972865350916578,1.2582017464911097
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1972,-22.5576099669349,0.673457130472788
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1973,-20.93795536282691,2.293111734580778
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1974,-21.856848834364854,1.3742182630428357
