institution,source,member,grid,experiment,time,year,month,rsds_into_surface_Wm2,rlds_into_surface_Wm2,rsus_into_surface_Wm2,rlus_into_surface_Wm2,hfss_into_surface_Wm2,hfls_into_surface_Wm2,seb_Wm2,pi_clim_rsds_into_surface_Wm2,pi_clim_rlds_into_surface_Wm2,pi_clim_rsus_into_surface_Wm2,pi_clim_rlus_into_surface_Wm2,pi_clim_hfss_into_surface_Wm2,pi_clim_hfls_into_surface_Wm2,pi_clim_seb_Wm2,rsds_into_surface_Wm2_anom,rlds_into_surface_Wm2_anom,rsus_into_surface_Wm2_anom,rlus_into_surface_Wm2_anom,hfss_into_surface_Wm2_anom,hfls_into_surface_Wm2_anom,seb_anom_Wm2
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1850-01,1850,1,2.4460847450311296,195.82206886373672,-1.1641341351621748,-235.19522811624375,-30.792476197511313,-25.14635890842573,-94.03004374857514,2.4610946537867107,203.8037740195997,-1.1826366970378202,-241.08497005787598,-28.338592671767948,-23.23100059060281,-87.57233134389816,-0.015009908755581058,-7.981705155862983,0.018502561875645362,5.889741941632224,-2.4538835257433647,-1.9153583178229177,-6.4577124046769825
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1850-02,1850,2,13.732391659934398,196.05875979807112,-7.774134626178733,-232.70103598197147,-24.42921100248275,-20.702156443837982,-75.8153865964654,13.732979070121507,200.74153395874416,-7.783839411248229,-237.32574731811303,-25.09774147386005,-21.414921441735732,-77.14773661609138,-0.0005874101871086168,-4.682774160673034,0.009704785069495792,4.624711336141559,0.6685304713773021,0.7127649978977502,1.3323500196259772
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1850-03,1850,3,59.71880651182628,206.93325488146095,-38.36931252518511,-240.9082127924516,-18.84833257438923,-15.771598412195194,-47.245394910933896,59.70880832282706,207.31559042577348,-37.9579501595696,-243.60843337243818,-22.452946157694722,-19.026661257940425,-56.02159219904238,0.009998188999219337,-0.38233554431252514,-0.4113623656155099,2.700220579986592,3.6046135833054933,3.255062845745231,8.776197288108484
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1850-04,1850,4,157.19233993150465,228.0651527774099,-102.5844997457163,-266.6837574395889,-17.314611361330794,-15.355591979237548,-16.680967816958933,153.0722897013544,229.3240718374755,-100.12194820293786,-265.9618790406908,-19.36703759135385,-15.943199708367933,-18.99770300452051,4.120050230150241,-1.2589190600655797,-2.462551542778442,-0.7218783988980704,2.0524262300230554,0.5876077291303847,2.3167351875615765
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1850-05,1850,5,230.6860599049528,270.55342192894335,-140.88063570251347,-300.7470846389963,-10.350819447518358,-12.509346176075788,36.75159586879224,234.9018668455452,267.5410002436299,-145.1314650696805,-298.97136389727063,-13.558924259048984,-14.283273402250202,30.497840460924753,-4.215806940592387,3.012421685313427,4.250829367167029,-1.7757207417256495,3.2081048115306263,1.7739272261744148,6.253755407867491
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1850-06,1850,6,246.17362349173234,297.2835784593402,-120.7967691415121,-320.9021075935732,-4.994772114541947,-11.86237699226657,84.90117610917875,247.38805026944564,295.9400924437077,-122.59729664343668,-320.3740966488844,-3.8000521592591046,-11.083153923196024,85.47354333837716,-1.2144267777132995,1.343486015632493,1.8005275019245772,-0.5280109446887877,-1.1947199552828422,-0.7792230690705466,-0.5723672291984059
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1850-07,1850,7,199.1760386159997,307.12228984264556,-65.81965469526865,-330.00889767534,-1.5098309215355685,-10.326081761571402,98.63386340492964,189.7060202327249,308.4305655323956,-62.35045403451531,-328.5971959972116,-0.7966681392986517,-9.146536385526547,97.24573120856834,9.470018383274777,-1.308275689750019,-3.4692006607533443,-1.411701678128395,-0.7131627822369169,-1.1795453760448549,1.3881321963612976
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1850-08,1850,8,120.36219367847774,307.02058863659937,-33.49093059532107,-331.6993440562202,-6.8203712125165605,-16.4410240299766,38.93111242104271,114.17673216400452,309.101972901323,-29.971360076645865,-330.5643598788869,-4.693885444417331,-13.889343628767854,44.159756036609515,6.185461514473218,-2.0813842647236243,-3.519570518675202,-1.1349841773333083,-2.1264857680992293,-2.5516804012087455,-5.228643615566803
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1850-09,1850,9,56.88767862372123,289.83367312139245,-14.521015268688458,-319.3371763588592,-16.40424928265693,-24.72715621453687,-28.268245379627803,55.14540564093731,292.1594949452232,-13.447214538764618,-320.12878563637264,-15.946613267135596,-22.891412956234817,-25.109125812347198,1.7422729827839163,-2.3258218238307222,-1.0738007299238408,0.7916092775134302,-0.45763601552133437,-1.8357432583020525,-3.159119567280605
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,historical,1850-10,1850,10,17.10400550371917,267.41496317425754,-3.43848891996468,-299.6336545512118,-30.35554097505248,-29.447120933655867,-78.35583670190813,16.999002161719307,267.14241980353154,-3.4479086051425463,-300.63760823123675,-30.503855202346987,-29.631870997382915,-80.0798210708584,0.10500334199986128,0.2725433707259981,0.009419685177866288,1.0039536800249493,0.14831422729450594,0.18475006372704783,1.7239843689502692
