institution,source,member,grid,experiment,year,seb_Wm2,seb_anom_Wm2
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1850,-11.854182391398487,1.7721018683998775
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1851,-12.924936324481465,0.7013479353168961
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1852,-15.399091399421465,-1.772807139623102
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1853,-12.276788548538944,1.3494957112594206
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1854,-15.865505433445625,-2.2392211736472594
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1855,-12.186630258727654,1.4396540010707088
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1856,-12.996189596280212,0.6300946635181504
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1857,-12.373712674292628,1.2525715855057342
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1858,-12.660737188824754,0.9655470709736101
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1859,-13.696293931056358,-0.070009671257994
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1860,-11.291240991084782,2.3350432687135814
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1861,-13.560801067141577,0.06548319265678633
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1862,-13.712569598148898,-0.08628533835053442
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1863,-15.03811437197298,-1.4118301121746164
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1864,-12.249101931347383,1.3771823284509799
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1865,-12.309634779425231,1.316649480373132
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1866,-14.919715312606096,-1.2934310528077326
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1867,-14.170313942855381,-0.5440296830570182
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1868,-15.446853274744797,-1.8205690149464322
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1869,-14.216707900523742,-0.5904236407253789
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1870,-15.79358241621859,-2.167298156420225
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1871,-11.963124163797547,1.6631600960008157
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1872,-8.728103508333538,4.898180751464826
