institution,source,member,grid,experiment,time,year,month,rsds_into_surface_Wm2,rlds_into_surface_Wm2,rsus_into_surface_Wm2,rlus_into_surface_Wm2,hfss_into_surface_Wm2,hfls_into_surface_Wm2,seb_Wm2,pi_clim_rsds_into_surface_Wm2,pi_clim_rlds_into_surface_Wm2,pi_clim_rsus_into_surface_Wm2,pi_clim_rlus_into_surface_Wm2,pi_clim_hfss_into_surface_Wm2,pi_clim_hfls_into_surface_Wm2,pi_clim_seb_Wm2,rsds_into_surface_Wm2_anom,rlds_into_surface_Wm2_anom,rsus_into_surface_Wm2_anom,rlus_into_surface_Wm2_anom,hfss_into_surface_Wm2_anom,hfls_into_surface_Wm2_anom,seb_anom_Wm2
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1850-01,1850,1,1.0674300933526049,189.79475289323872,-0.517140402524203,-219.9661421940283,-9.75309623798033,-8.791083988661871,-48.16527983660336,1.014055956189345,181.6252607898098,-0.49813669860585597,-215.14182125861123,-14.204782730569079,-11.665847147465696,-58.87127108925272,0.053374137163259894,8.169492103428922,-0.019003703918347048,-4.824320935417063,4.451686492588749,2.874763158803825,10.705991252649362
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1850-02,1850,2,7.977577350751515,177.74635087392218,-4.804296514099822,-209.45004662728954,-17.279959677737335,-12.550399802693313,-58.36077439714632,8.449175498552638,181.41641165890553,-4.973464421195158,-213.42683603065038,-12.30272225461585,-10.817686403077147,-51.65512195208035,-0.47159814780112264,-3.670060784983349,0.16916790709533558,3.97678940336084,-4.977237423121485,-1.7327133996161663,-6.705652445065972
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1850-03,1850,3,46.896223145312504,189.82940564888463,-30.29655717800032,-222.2601690467001,-9.991555719454308,-9.076019028047513,-34.898672178005114,46.966840091695836,187.8425799609386,-30.105931208761497,-222.24020923526527,-10.930396785729853,-9.906382809420396,-38.37349998654256,-0.07061694638333194,1.9868256879460375,-0.19062596923882325,-0.0199598114348305,0.9388410662755451,0.830363781372883,3.474827808537448
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1850-04,1850,4,128.06079301308236,220.13150768852134,-85.2536058693277,-256.0490970975503,-10.890155255752644,-9.909851997409707,-13.910409518436682,134.2035385900396,213.36494487277216,-87.52432472577519,-254.17033431443394,-10.30096644092708,-10.616489077294446,-15.043631095618903,-6.142745576957253,6.766562815749182,2.2707188564474876,-1.8787627831163718,-0.5891888148255635,0.7066370798847394,1.133221577182221
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1850-05,1850,5,227.9466962056167,244.77244565736865,-142.78692582605515,-291.8596998035052,-7.326129910797519,-13.041071330048712,17.705314992578774,220.16528698393756,249.14296386540875,-135.09867580653147,-294.48500272087483,-6.980161952915368,-13.637449469104638,19.10696089992003,7.781409221679127,-4.370518208040096,-7.688250019523679,2.625302917369652,-0.3459679578821513,0.5963781390559255,-1.4016459073412548
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1850-06,1850,6,243.08203697592305,272.88152870260654,-116.6326262106683,-314.4981943314284,-2.7246071739834887,-12.149646889121684,69.95849107332766,236.41042302127502,275.771186463938,-109.40469733182023,-315.80817338007034,-3.118744183977701,-12.652691834491387,71.19730275485335,6.6716139546480235,-2.8896577613314776,-7.2279288788480756,1.3099790486419352,0.3941370099942123,0.5030449453697035,-1.2388116815256893
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1850-07,1850,7,170.92911060783464,296.94451413903175,-61.7432514116456,-320.9490844013372,-2.9074936739366386,-7.768456749607987,74.50533851033902,176.82122737946887,294.1170187626105,-63.19746032100071,-321.1120689043595,-2.2967289100892048,-8.807194823433138,75.52479318319683,-5.892116771634221,2.8274953764212682,1.4542089093551098,0.16298450302230094,-0.6107647638474338,1.0387380738251508,-1.0194546728578189
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1850-08,1850,8,98.67799576789474,298.9140176212517,-30.515627016534605,-320.58037601156053,-3.507915496746539,-9.423344054182023,33.56475081012271,98.35517761566932,298.2546785722641,-29.13525027620808,-320.41431212571183,-3.158905417291811,-9.430755008134433,34.47063336058722,0.3228181522254232,0.6593390489875901,-1.3803767403265255,-0.16606388584870047,-0.34901007945472795,0.007410953952410537,-0.9058825504645114
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1850-09,1850,9,45.4517542412356,280.69481132934703,-14.362187447835527,-307.3391716051207,-8.781726754544245,-12.328400768420504,-16.66492100533836,45.39288633580872,281.7167417607477,-13.045271001366132,-309.2039503896351,-7.806291575688599,-12.82910393620034,-15.774988806333717,0.058867905426879474,-1.0219304314006763,-1.3169164464693957,1.8647787845143853,-0.9754351788556459,0.5007031677798359,-0.8899321990046438
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1850-10,1850,10,10.985323285170944,252.74099434977734,-3.4455393491328876,-278.50866711157903,-14.291204825553203,-13.429028990471888,-45.94812264178876,12.487194208159499,248.72611121606192,-3.618895480287042,-281.2363671041654,-15.186012300076335,-15.607022584181502,-54.43499204448888,-1.5018709229885552,4.014883133715415,0.17335613115415427,2.7276999925863947,0.894807474523132,2.1779935937096138,8.486869402700123
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1850-11,1850,11,1.6442319043962896,221.04320475814404,-0.4200623837731179,-250.80455113256326,-15.81479920237476,-12.057618817838144,-56.409594874008945,1.7003666748184403,214.7744577329192,-0.46879140449940643,-249.61039257693727,-17.726618253640474,-14.599567700645496,-65.93054552798503,-0.05613477042215065,6.2687470252248545,0.04872902072628854,-1.1941585556259895,1.9118190512657147,2.541948882807352,9.520950653976087
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1850-12,1850,12,0.3216037641836859,186.51329893713904,-0.1184451057379273,-221.1897589938381,-16.953319092769593,-12.199689140799578,-63.62630963182245,0.3264107138495899,191.96186390153707,-0.1151745466982651,-226.97817658288687,-16.183527075735626,-12.74244722390156,-63.73105081383563,-0.004806949665904003,-5.448564964398031,-0.0032705590396621964,5.788417589048777,-0.7697920170339678,0.5427580831019831,0.1047411820131785
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1851-01,1851,1,1.0526212487584423,170.9392202849005,-0.5115081375529843,-206.74128935933396,-12.125068444045992,-10.551751827683566,-57.937776234957575,1.014055956189345,181.6252607898098,-0.49813669860585597,-215.14182125861123,-14.204782730569079,-11.665847147465696,-58.87127108925272,0.038565292569097354,-10.6860405049093,-0.013371438947128333,8.400531899277269,2.079714286523087,1.1140953197821304,0.933494854295148
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1851-02,1851,2,9.016691884952312,190.53409237059194,-5.174147006839667,-219.33922135117137,-8.260796558625483,-9.4706729723831,-42.69405363347538,8.449175498552638,181.41641165890553,-4.973464421195158,-213.42683603065038,-12.30272225461585,-10.817686403077147,-51.65512195208035,0.5675163863996744,9.117680711686404,-0.20068258564450936,-5.912385320520997,4.041925695990367,1.3470134306940462,8.961068318604973
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1851-03,1851,3,47.00692947230576,199.28081242263863,-29.397034603095708,-232.6239624717274,-7.257892817603555,-10.898813487329997,-33.88996148481226,46.966840091695836,187.8425799609386,-30.105931208761497,-222.24020923526527,-10.930396785729853,-9.906382809420396,-38.37349998654256,0.04008938060992051,11.43823246170004,0.7088966056657888,-10.383753236462127,3.672503968126298,-0.992430677909601,4.483538501730301
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1851-04,1851,4,123.39925967944049,226.4841611733284,-79.97994805369387,-260.5621117975808,-10.922243240385844,-10.093002989294158,-11.67388522818581,134.2035385900396,213.36494487277216,-87.52432472577519,-254.17033431443394,-10.30096644092708,-10.616489077294446,-15.043631095618903,-10.804278910599123,13.119216300556246,7.544376672081313,-6.391777483146882,-0.621276799458764,0.5234860880002881,3.3697458674330925
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1851-05,1851,5,225.24730458573325,249.76241339914583,-136.30767100167085,-296.16336642436767,-8.224546308213263,-14.582552942630668,19.73158130799662,220.16528698393756,249.14296386540875,-135.09867580653147,-294.48500272087483,-6.980161952915368,-13.637449469104638,19.10696089992003,5.082017601795684,0.6194495337370824,-1.20899519513938,-1.6783637034928347,-1.2443843552978953,-0.9451034735260304,0.6246204080765914
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1851-06,1851,6,250.53018586675486,270.9846999453015,-117.35425471905432,-315.0023623365315,-4.274022490969732,-13.877345030296047,71.00690123520477,236.41042302127502,275.771186463938,-109.40469733182023,-315.80817338007034,-3.118744183977701,-12.652691834491387,71.19730275485335,14.11976284547984,-4.786486518636536,-7.949557387234094,0.8058110435388244,-1.155278306992031,-1.2246531958046596,-0.19040151964858865
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1851-07,1851,7,189.21409836177102,290.25857952306507,-68.98343006838748,-320.69808554204445,-1.9286556097798224,-8.87679999644112,78.98570666818325,176.82122737946887,294.1170187626105,-63.19746032100071,-321.1120689043595,-2.2967289100892048,-8.807194823433138,75.52479318319683,12.392870982302156,-3.858439239545419,-5.7859697473867655,0.41398336231503663,0.36807330030938235,-0.0696051730079823,3.4609134849864205
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1851-08,1851,8,99.01616594989339,296.0211909624394,-31.904837777535537,-318.60894997269554,-5.561198922450257,-11.278874534146054,27.68349570550538,98.35517761566932,298.2546785722641,-29.13525027620808,-320.41431212571183,-3.158905417291811,-9.430755008134433,34.47063336058722,0.6609883342240721,-2.2334876098246923,-2.7695875013274573,1.80536215301629,-2.4022935051584455,-1.8481195260116206,-6.7871376550818425
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1851-09,1851,9,46.4807764588163,281.03609277785665,-13.413076583078215,-308.7793891818162,-9.012138140246067,-13.576965902709482,-17.264700571177038,45.39288633580872,281.7167417607477,-13.045271001366132,-309.2039503896351,-7.806291575688599,-12.82910393620034,-15.774988806333717,1.0878901230075826,-0.6806489828910571,-0.36780558171208355,0.42456120781889695,-1.2058465645574685,-0.7478619665091415,-1.489711764843321
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1851-10,1851,10,12.78384311377319,245.8693379422715,-3.7163019633556047,-278.1744663894968,-16.611675342224085,-15.83438061692924,-55.68364325596103,12.487194208159499,248.72611121606192,-3.618895480287042,-281.2363671041654,-15.186012300076335,-15.607022584181502,-54.43499204448888,0.29664890561369006,-2.8567732737904237,-0.09740648306856281,3.0619007146686386,-1.4256630421477503,-0.22735803274773758,-1.2486512114721506
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1851-11,1851,11,1.6872324030309636,212.86849455247142,-0.45643616227178724,-246.73368670269815,-20.113411289983954,-15.93912499197793,-68.68693219142943,1.7003666748184403,214.7744577329192,-0.46879140449940643,-249.61039257693727,-17.726618253640474,-14.599567700645496,-65.93054552798503,-0.013134271787476726,-1.9059631804477704,0.01235524222761919,2.8767058742391214,-2.38679303634348,-1.3395572913324347,-2.7563866634444025
