institution,source,member,siconc_grid,experiment,time,year,month,sia_Mkm2,pi_clim_sia_Mkm2,sia_anom_Mkm2
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1850-01,1850,1,13.902622089736044,13.803252991443898,0.09936909829214535
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1850-02,1850,2,14.22767739660342,14.022618824564216,0.20505857203920463
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1850-03,1850,3,14.309648741580117,14.105786379307975,0.20386236227214205
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1850-04,1850,4,14.282595667089621,14.00714361795414,0.27545204913548105
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1850-05,1850,5,13.551726883357476,13.269604470580855,0.2821224127766211
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1850-06,1850,6,11.638301566386836,11.66255068511541,-0.024249118728572938
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1850-07,1850,7,9.159920981626113,9.167985287842967,-0.008064306216853723
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1850-08,1850,8,7.165381489530038,6.791522536605898,0.37385895292413984
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1850-09,1850,9,7.429485730923725,6.816491674758984,0.6129940561647409
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1850-10,1850,10,9.130803122949688,9.05315804080962,0.0776450821400676
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1850-11,1850,11,11.288736738829778,11.518116693569102,-0.22937995473932382
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1850-12,1850,12,13.307043490824265,13.087147292621307,0.21989619820295836
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1851-01,1851,1,13.932885041975082,13.803252991443898,0.12963205053118365
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1851-02,1851,2,14.0804042751432,14.022618824564216,0.057785450578984765
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1851-03,1851,3,13.95859528022772,14.105786379307975,-0.1471910990802563
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1851-04,1851,4,13.919066374458293,14.00714361795414,-0.08807724349584767
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1851-05,1851,5,13.148617406411695,13.269604470580855,-0.12098706416916016
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1851-06,1851,6,11.46605607306702,11.66255068511541,-0.19649461204839014
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1851-07,1851,7,9.172945459215203,9.167985287842967,0.004960171372236033
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1851-08,1851,8,7.2664874975614815,6.791522536605898,0.4749649609555835
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1851-09,1851,9,7.520416564297764,6.816491674758984,0.7039248895387802
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1851-10,1851,10,9.67313221947305,9.05315804080962,0.6199741786634299
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1851-11,1851,11,11.829699495898087,11.518116693569102,0.31158280232898505
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1851-12,1851,12,13.473517053339684,13.087147292621307,0.38636976071837736
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1852-01,1852,1,14.037582833694504,13.803252991443898,0.23432984225060594
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1852-02,1852,2,14.298258098708665,14.022618824564216,0.27563927414444933
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1852-03,1852,3,14.325283780480598,14.105786379307975,0.21949740117262273
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1852-04,1852,4,14.229050122155408,14.00714361795414,0.221906504201268
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1852-05,1852,5,13.656435264233473,13.269604470580855,0.3868307936526172
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1852-06,1852,6,12.045657776982084,11.66255068511541,0.383107091866675
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1852-07,1852,7,9.354180342293798,9.167985287842967,0.18619505445083107
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1852-08,1852,8,7.330896875527184,6.791522536605898,0.5393743389212862
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1852-09,1852,9,7.505133221737019,6.816491674758984,0.6886415469780349
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1852-10,1852,10,9.680125832061458,9.05315804080962,0.6269677912518379
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1852-11,1852,11,12.28474355638893,11.518116693569102,0.7666268628198285
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1852-12,1852,12,13.484894547423808,13.087147292621307,0.3977472548025016
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1853-01,1853,1,14.01746383361102,13.803252991443898,0.21421084216712138
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1853-02,1853,2,14.13641535296904,14.022618824564216,0.11379652840482457
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1853-03,1853,3,14.184427815671203,14.105786379307975,0.07864143636322751
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1853-04,1853,4,14.05760296441286,14.00714361795414,0.05045934645871952
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1853-05,1853,5,13.393074032061028,13.269604470580855,0.12346956148017263
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1853-06,1853,6,11.94688888721455,11.66255068511541,0.28433820209914096
BCC,BCC-ESM1,r1i1p1f1,gn,historical,1853-07,1853,7,9.6366261080929,9.167985287842967,0.4686408202499326
