institution,source,member,grid,experiment,time,year,month,rsds_into_surface_Wm2,rlds_into_surface_Wm2,rsus_into_surface_Wm2,rlus_into_surface_Wm2,hfss_into_surface_Wm2,hfls_into_surface_Wm2,seb_Wm2,pi_clim_rsds_into_surface_Wm2,pi_clim_rlds_into_surface_Wm2,pi_clim_rsus_into_surface_Wm2,pi_clim_rlus_into_surface_Wm2,pi_clim_hfss_into_surface_Wm2,pi_clim_hfls_into_surface_Wm2,pi_clim_seb_Wm2,rsds_into_surface_Wm2_anom,rlds_into_surface_Wm2_anom,rsus_into_surface_Wm2_anom,rlus_into_surface_Wm2_anom,hfss_into_surface_Wm2_anom,hfls_into_surface_Wm2_anom,seb_anom_Wm2
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1850-01,1850,1,1.5418777147231457,195.52845025732893,-0.697881097898134,-233.1167435116258,-27.785432694646943,-27.21220075512295,-91.74193008724177,1.5835888228759656,190.9986393572157,-0.7525423200835974,-229.2664155820005,-24.314794119636225,-21.826769996049944,-83.5782938376786,-0.041711108152819865,4.529810900113233,0.05466122218546343,-3.8503279296253083,-3.4706385750107174,-5.385430759073007,-8.163636249563169
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1850-02,1850,2,10.43527574524723,198.10401702759938,-5.756951112015583,-234.47857543314166,-20.85249235302233,-21.02832898834037,-73.57705511367331,10.555076016387584,190.6751062436495,-6.183074034196618,-227.40031359297416,-22.484594046787333,-20.939300945928473,-75.77710035984951,-0.1198002711403543,7.428910783949874,0.426122922181035,-7.0782618401674995,1.6321016937650015,-0.08902804241189699,2.2000452461762023
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1850-03,1850,3,53.784633082139905,192.39394326609488,-35.20230466610462,-232.01114560419722,-18.382912206879872,-19.28387942193336,-58.70166555088028,53.14741270235751,198.1206954026057,-35.3185609185878,-235.1370326771853,-18.453968289329882,-18.06727443398912,-55.70872821412888,0.6372203797823985,-5.726752136510811,0.11625625248318272,3.125887072988064,0.07105608245000994,-1.2166049879442404,-2.992937336751396
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1850-04,1850,4,142.01775881739908,227.2402116865279,-96.14926325868154,-264.51220711082385,-17.423968535431644,-18.097691641045895,-26.925160042055936,147.21384451354524,219.7573748891369,-100.82936138946303,-259.2065504702913,-13.4311629747688,-14.16470285049195,-20.66055828233291,-5.196085696146156,7.482836797391002,4.680098130781488,-5.305656640532561,-3.9928055606628448,-3.932988790553944,-6.264601759723025
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1850-05,1850,5,228.42984141399398,263.9381283539032,-148.1855031632,-297.55797132969946,-7.193826770471199,-12.084699182597017,27.345969321929527,226.00013968795523,264.66273442648395,-145.751294472791,-297.65070774228604,-8.293745783391417,-13.213483155289653,25.75364296068115,2.4297017260387577,-0.7246060725807411,-2.434208690409008,0.09273641258658927,1.0999190129202177,1.128783972692636,1.5923263612483751
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1850-06,1850,6,229.82238053934887,296.8559875517017,-119.8405055125668,-319.1804474315373,-5.02557072237922,-12.111969157630913,70.51987526693632,227.55271201274832,296.61935343440956,-116.6050862758133,-318.8106842936053,-4.224875501450538,-11.559663913330986,72.97175546295779,2.2696685266005545,0.23663411729211248,-3.2354192367535006,-0.36976313793201143,-0.8006952209286817,-0.5523052442999266,-2.451880196021463
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1850-07,1850,7,167.12887415936132,308.65620700396204,-60.62141767012754,-324.79883912866813,-3.703674244752952,-9.932402532927345,76.7287475868474,167.35947697468941,308.23052361093966,-60.5213336456735,-324.24788518619863,-2.9154039459081056,-9.76638271841989,78.13899508942895,-0.23060281532809768,0.425683393022382,-0.1000840244540413,-0.5509539424695049,-0.7882702988448465,-0.16601981450745384,-1.4102475025815409
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1850-08,1850,8,111.1861096143496,303.51778363316254,-36.43354719774965,-323.51332906048543,-4.649793003252962,-12.334939299309273,37.77228468671484,110.14541656448687,305.20132155225474,-32.49121973544328,-324.3291354958662,-3.9123338042041085,-11.75084671241546,42.863202368812544,1.040693049862739,-1.6835379190922026,-3.942327462306366,0.8158064353807504,-0.7374591990488537,-0.5840925868938136,-5.090917682097704
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1850-09,1850,9,56.41342428728963,282.79919928733864,-18.02201426653577,-312.3591055223098,-11.821598176035527,-21.88939035259986,-24.879484742852718,56.26553072677679,286.79301116934755,-17.105605271408862,-314.35362879470483,-9.280728656144223,-18.56001159050981,-16.24143241664344,0.1478935605128413,-3.993811882008913,-0.9164089951269077,1.9945232723950426,-2.540869519891304,-3.3293787620900517,-8.638052326209277
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1850-10,1850,10,16.36734364384722,255.7251084654371,-5.005782399298308,-289.8930965772723,-20.22284071368353,-26.57988110228972,-69.60914868325955,15.683931530912337,258.34576298589093,-4.460069611492375,-291.7918766769474,-17.86631036723108,-23.56269210449628,-63.65125424336388,0.6834121129348834,-2.620654520453826,-0.5457127878059334,1.8987800996751503,-2.356530346452452,-3.01718899779344,-5.957894439895668
