institution,source,member,siconc_grid,experiment,time,year,month,sia_Mkm2,pi_clim_sia_Mkm2,sia_anom_Mkm2
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1850-01,1850,1,12.379200828635176,12.70496826938363,-0.32576744074845365
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1850-02,1850,2,12.51006786722282,12.93605048971176,-0.4259826224889416
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1850-03,1850,3,12.796172755865188,12.975141814700955,-0.17896905883576686
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1850-04,1850,4,12.71939492951441,12.786552317116914,-0.06715738760250467
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1850-05,1850,5,11.714770087224736,11.856978087457001,-0.14220800023226587
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1850-06,1850,6,10.361033068366213,10.385082098663743,-0.024049030297529583
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1850-07,1850,7,8.468926407960023,8.431066340762834,0.037860067197188485
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1850-08,1850,8,6.9041444829479826,6.576964334348024,0.32718014859995836
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1850-09,1850,9,6.599225211947612,6.165581662342112,0.4336435496054998
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1850-10,1850,10,8.638919313258246,8.155874857603987,0.4830444556542588
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1850-11,1850,11,10.54986346931554,10.44197687393882,0.10788659537671919
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1850-12,1850,12,12.161493761543287,11.995661520923939,0.16583224061934843
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1851-01,1851,1,12.783142019024062,12.70496826938363,0.07817374964043289
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1851-02,1851,2,12.990783414655093,12.93605048971176,0.05473292494333215
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1851-03,1851,3,13.065395107917219,12.975141814700955,0.0902532932162643
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1851-04,1851,4,12.925007300774231,12.786552317116914,0.1384549836573168
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1851-05,1851,5,12.1437574436984,11.856978087457001,0.2867793562413983
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1851-06,1851,6,10.5901477055213,10.385082098663743,0.20506560685755737
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1851-07,1851,7,8.824683560835421,8.431066340762834,0.3936172200725867
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1851-08,1851,8,7.254093162718908,6.576964334348024,0.6771288283708836
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1851-09,1851,9,6.940339557267203,6.165581662342112,0.7747578949250906
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1851-10,1851,10,8.316423298774986,8.155874857603987,0.16054844117099876
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1851-11,1851,11,10.380988422200117,10.44197687393882,-0.060988451738703375
