institution,source,member,grid,experiment,year,seb_Wm2,seb_anom_Wm2
NCAR,CESM2-WACCM-FV2,r1i1p1f1,gn,historical,1850,-24.254723972046843,-2.561700369040396
NCAR,CESM2-WACCM-FV2,r1i1p1f1,gn,historical,1851,-22.22936092934393,-0.5363373263374843
NCAR,CESM2-WACCM-FV2,r1i1p1f1,gn,historical,1852,-22.22051969650258,-0.5274960934961351
NCAR,CESM2-WACCM-FV2,r1i1p1f1,gn,historical,1853,-17.104206924089613,4.588816678916834
NCAR,CESM2-WACCM-FV2,r1i1p1f1,gn,historical,1854,-22.180255827407564,-0.4872322244011169
NCAR,CESM2-WACCM-FV2,r1i1p1f1,gn,historical,1855,-24.5098637288496,-2.8168401258431515
NCAR,CESM2-WACCM-FV2,r1i1p1f1,gn,historical,1856,-21.19592127638948,0.4971023266169685
NCAR,CESM2-WACCM-FV2,r1i1p1f1,gn,historical,1857,-23.305092027740915,-1.6120684247344668
NCAR,CESM2-WACCM-FV2,r1i1p1f1,gn,historical,1858,-19.97539342727035,1.7176301757360954
NCAR,CESM2-WACCM-FV2,r1i1p1f1,gn,historical,1859,-24.432372228978718,-2.7393486259722692
NCAR,CESM2-WACCM-FV2,r1i1p1f1,gn,historical,1860,-22.964186332569366,-1.271162729562917
NCAR,CESM2-WACCM-FV2,r1i1p1f1,gn,historical,1861,-24.902336627620475,-3.2093130246140293
NCAR,CESM2-WACCM-FV2,r1i1p1f1,gn,historical,1862,-23.091926627240326,-1.3989030242338771
NCAR,CESM2-WACCM-FV2,r1i1p1f1,gn,historical,1863,-20.418276284614166,1.274747318392282
NCAR,CESM2-WACCM-FV2,r1i1p1f1,gn,historical,1864,-24.617741840621374,-2.9247182376149237
NCAR,CESM2-WACCM-FV2,r1i1p1f1,gn,historical,1865,-22.402279479077436,-0.7092558760709887
NCAR,CESM2-WACCM-FV2,r1i1p1f1,gn,historical,1866,-19.217288827954793,2.4757347750516545
NCAR,CESM2-WACCM-FV2,r1i1p1f1,gn,historical,1867,-23.362489610251256,-1.6694660072448075
NCAR,CESM2-WACCM-FV2,r1i1p1f1,gn,historical,1868,-20.378756241282357,1.3142673617240928
NCAR,CESM2-WACCM-FV2,r1i1p1f1,gn,historical,1869,-21.690880855659618,0.002142747346825994
NCAR,CESM2-WACCM-FV2,r1i1p1f1,gn,historical,1870,-17.838917623207134,3.8541059797993142
NCAR,CESM2-WACCM-FV2,r1i1p1f1,gn,historical,1871,-21.60405799374855,0.0889656092578958
NCAR,CESM2-WACCM-FV2,r1i1p1f1,gn,historical,1872,-22.796136878305976,-1.10311327529953
NCAR,CESM2-WACCM-FV2,r1i1p1f1,gn,historical,1873,-20.38384653011451,1.3091770728919385
NCAR,CESM2-WACCM-FV2,r1i1p1f1,gn,historical,1874,-19.603082219425186,2.0899413835812637
NCAR,CESM2-WACCM-FV2,r1i1p1f1,gn,historical,1875,-21.22761961725172,0.4654039857547274
NCAR,CESM2-WACCM-FV2,r1i1p1f1,gn,historical,1876,-21.80667230313327,-0.11364870012681887
NCAR,CESM2-WACCM-FV2,r1i1p1f1,gn,historical,1877,-19.42281302629515,2.2702105767112966
NCAR,CESM2-WACCM-FV2,r1i1p1f1,gn,historical,1878,-23.914427905350973,-2.221404302344524
NCAR,CESM2-WACCM-FV2,r1i1p1f1,gn,historical,1879,-20.867831171620928,0.82519243138552
NCAR,CESM2-WACCM-FV2,r1i1p1f1,gn,historical,1880,-23.779122702928337,-2.0860990999218907
NCAR,CESM2-WACCM-FV2,r1i1p1f1,gn,historical,1881,-20.15400005145494,1.5390235515515094
NCAR,CESM2-WACCM-FV2,r1i1p1f1,gn,historical,1882,-24.600569497242073,-2.907545894235625
NCAR,CESM2-WACCM-FV2,r1i1p1f1,gn,historical,1883,-23.077448260521006,-1.3844246575145591
NCAR,CESM2-WACCM-FV2,r1i1p1f1,gn,historical,1884,-22.886779988914526,-1.1937563859080818
NCAR,CESM2-WACCM-FV2,r1i1p1f1,gn,historical,1885,-21.66451467764382,0.02850892536263198
NCAR,CESM2-WACCM-FV2,r1i1p1f1,gn,historical,1886,-20.4410291726625,1.251994430343947
NCAR,CESM2-WACCM-FV2,r1i1p1f1,gn,historical,1887,-22.9803523828146,-1.2873287798081552
NCAR,CESM2-WACCM-FV2,r1i1p1f1,gn,historical,1888,-19.493340290019656,2.1996833129867928
NCAR,CESM2-WACCM-FV2,r1i1p1f1,gn,historical,1889,-21.486930267058586,0.20609333594785775
NCAR,CESM2-WACCM-FV2,r1i1p1f1,gn,historical,1890,-21.490592397544244,0.2024312054622047
NCAR,CESM2-WACCM-FV2,r1i1p1f1,gn,historical,1891,-20.949083956071476,0.7439396469349723
NCAR,CESM2-WACCM-FV2,r1i1p1f1,gn,historical,1892,-23.71843368382838,-2.0254100808219326
NCAR,CESM2-WACCM-FV2,r1i1p1f1,gn,historical,1893,-18.953919471031554,2.739104131974892
NCAR,CESM2-WACCM-FV2,r1i1p1f1,gn,historical,1894,-23.790682772736528,-2.0976591697300764
NCAR,CESM2-WACCM-FV2,r1i1p1f1,gn,historical,1895,-23.67605381716422,-1.9830302141577743
NCAR,CESM2-WACCM-FV2,r1i1p1f1,gn,historical,1896,-22.273101246353196,-0.5800776433467513
NCAR,CESM2-WACCM-FV2,r1i1p1f1,gn,historical,1897,-23.125620676837496,-1.4325970738310492
NCAR,CESM2-WACCM-FV2,r1i1p1f1,gn,historical,1898,-26.229165661513793,-4.536142058507348
NCAR,CESM2-WACCM-FV2,r1i1p1f1,gn,historical,1899,-22.182894229060008,-0.4898706260535614
NCAR,CESM2-WACCM-FV2,r1i1p1f1,gn,historical,1900,-23.1262463675904,-1.433222764583954
NCAR,CESM2-WACCM-FV2,r1i1p1f1,gn,historical,1901,-22.379370316747995,-0.6863467137415462
NCAR,CESM2-WACCM-FV2,r1i1p1f1,gn,historical,1902,-19.71321003720444,1.9798135658020064
NCAR,CESM2-WACCM-FV2,r1i1p1f1,gn,historical,1903,-23.850269675662634,-2.157246072656187
NCAR,CESM2-WACCM-FV2,r1i1p1f1,gn,historical,1904,-25.66160213366042,-3.9685785306539714
NCAR,CESM2-WACCM-FV2,r1i1p1f1,gn,historical,1905,-19.718942491021846,1.9740811119846002
NCAR,CESM2-WACCM-FV2,r1i1p1f1,gn,historical,1906,-22.712729412791855,-1.0197058097854066
NCAR,CESM2-WACCM-FV2,r1i1p1f1,gn,historical,1907,-23.949509502471425,-2.256485899464978
NCAR,CESM2-WACCM-FV2,r1i1p1f1,gn,historical,1908,-21.30437583055019,0.38864777245625753
NCAR,CESM2-WACCM-FV2,r1i1p1f1,gn,historical,1909,-24.17030614496662,-2.4772825419601743
NCAR,CESM2-WACCM-FV2,r1i1p1f1,gn,historical,1910,-24.045589350088076,-2.3525657470816257
NCAR,CESM2-WACCM-FV2,r1i1p1f1,gn,historical,1911,-21.591095819762725,0.10192778324372458
NCAR,CESM2-WACCM-FV2,r1i1p1f1,gn,historical,1912,-24.745579450640264,-3.0525558476338204
NCAR,CESM2-WACCM-FV2,r1i1p1f1,gn,historical,1913,-24.217091812507714,-2.524068209501268
NCAR,CESM2-WACCM-FV2,r1i1p1f1,gn,historical,1914,-26.190391081106384,-4.497367478099938
NCAR,CESM2-WACCM-FV2,r1i1p1f1,gn,historical,1915,-21.72407777456227,-0.03105417155582006
NCAR,CESM2-WACCM-FV2,r1i1p1f1,gn,historical,1916,-23.289691665373095,-1.5966680623666445
NCAR,CESM2-WACCM-FV2,r1i1p1f1,gn,historical,1917,-24.986704312466177,-3.2936807094597302
NCAR,CESM2-WACCM-FV2,r1i1p1f1,gn,historical,1918,-18.70470107781558,2.9883225251908647
NCAR,CESM2-WACCM-FV2,r1i1p1f1,gn,historical,1919,-23.44755504571475,-1.754531442708305
