institution,source,member,grid,experiment,year,seb_Wm2,seb_anom_Wm2
NCAR,CESM2-WACCM,r1i1p1f1,gn,historical,1850,-25.733727898667325,-1.7638613375973045
NCAR,CESM2-WACCM,r1i1p1f1,gn,historical,1851,-26.171059698366573,-2.2011931372965523
NCAR,CESM2-WACCM,r1i1p1f1,gn,historical,1852,-24.231176785859997,-0.26131022478997945
NCAR,CESM2-WACCM,r1i1p1f1,gn,historical,1853,-24.655829403179222,-0.6859628421092019
NCAR,CESM2-WACCM,r1i1p1f1,gn,historical,1854,-26.322268408071366,-2.3524018470013446
NCAR,CESM2-WACCM,r1i1p1f1,gn,historical,1855,-22.79330020180625,1.1765663592637663
NCAR,CESM2-WACCM,r1i1p1f1,gn,historical,1856,-25.694363098483908,-1.7244965374138903
NCAR,CESM2-WACCM,r1i1p1f1,gn,historical,1857,-19.98945577716761,3.980410783902412
NCAR,CESM2-WACCM,r1i1p1f1,gn,historical,1858,-20.435545320813713,3.53432124025631
NCAR,CESM2-WACCM,r1i1p1f1,gn,historical,1859,-24.472012185347996,-0.5021456242779792
NCAR,CESM2-WACCM,r1i1p1f1,gn,historical,1860,-22.298555164564934,1.6713113965050856
NCAR,CESM2-WACCM,r1i1p1f1,gn,historical,1861,-25.838830673577565,-1.8689641125075491
NCAR,CESM2-WACCM,r1i1p1f1,gn,historical,1862,-27.148985718879185,-3.1791191578091635
NCAR,CESM2-WACCM,r1i1p1f1,gn,historical,1863,-27.559164489649586,-3.589297928579564
NCAR,CESM2-WACCM,r1i1p1f1,gn,historical,1864,-20.63264973817968,3.3372168228903405
NCAR,CESM2-WACCM,r1i1p1f1,gn,historical,1865,-21.38437653935321,2.585490021716813
NCAR,CESM2-WACCM,r1i1p1f1,gn,historical,1866,-24.288552344200827,-0.3186857831308079
NCAR,CESM2-WACCM,r1i1p1f1,gn,historical,1867,-23.59740339036802,0.37246317070200047
NCAR,CESM2-WACCM,r1i1p1f1,gn,historical,1868,-20.93824151889618,3.031625042173838
NCAR,CESM2-WACCM,r1i1p1f1,gn,historical,1869,-26.965422658515326,-2.995556097445307
NCAR,CESM2-WACCM,r1i1p1f1,gn,historical,1870,-23.45420758763864,0.5156589734313819
NCAR,CESM2-WACCM,r1i1p1f1,gn,historical,1871,-24.383618587171753,-0.4137520261017353
NCAR,CESM2-WACCM,r1i1p1f1,gn,historical,1872,-24.450500402698605,-0.48063384162858735
