institution,source,member,grid,experiment,time,year,month,rsds_into_surface_Wm2,rlds_into_surface_Wm2,rsus_into_surface_Wm2,rlus_into_surface_Wm2,hfss_into_surface_Wm2,hfls_into_surface_Wm2,seb_Wm2,pi_clim_rsds_into_surface_Wm2,pi_clim_rlds_into_surface_Wm2,pi_clim_rsus_into_surface_Wm2,pi_clim_rlus_into_surface_Wm2,pi_clim_hfss_into_surface_Wm2,pi_clim_hfls_into_surface_Wm2,pi_clim_seb_Wm2,rsds_into_surface_Wm2_anom,rlds_into_surface_Wm2_anom,rsus_into_surface_Wm2_anom,rlus_into_surface_Wm2_anom,hfss_into_surface_Wm2_anom,hfls_into_surface_Wm2_anom,seb_anom_Wm2
NCAR,CESM2-WACCM,r1i1p1f1,gn,historical,1850-01,1850,1,1.7006951205080132,195.1663891228385,-0.8568985482750824,-230.05323949374272,-28.484790605281155,-24.082946453798176,-86.61079085775062,1.6579286852252568,196.20551484935447,-0.7660732495860045,-233.69317904034412,-26.446030144367764,-23.962358246853956,-87.00419714657214,0.042766435282756365,-1.0391257265159766,-0.09082529868907785,3.639939546601397,-2.038760460913391,-0.12058820694421968,0.39340628882152373
NCAR,CESM2-WACCM,r1i1p1f1,gn,historical,1850-02,1850,2,10.369981950799755,198.4432350692636,-5.940571874246383,-232.99523843093542,-24.35850819254775,-24.486090189126617,-78.96719166679281,10.385738957971206,195.57557849392916,-5.961691198481865,-231.37068932874575,-24.899052807969824,-23.09016983538138,-79.36028571867845,-0.015757007171451676,2.8676565753344505,0.021119324235481685,-1.6245491021896612,0.5405446154220748,-1.395920353745236,0.3930940518856403
NCAR,CESM2-WACCM,r1i1p1f1,gn,historical,1850-03,1850,3,52.772842526072935,196.43546519475098,-34.2870102962116,-234.230944112585,-20.422541269155737,-20.758363647796962,-60.4905516049254,52.34600267468988,199.48953926508008,-34.42371965033548,-236.7508496922062,-20.85710861632136,-20.373539266184096,-60.56967528527718,0.4268398513830576,-3.054074070329108,0.1367093541238802,2.519905579621195,0.43456734716562195,-0.3848243816128658,0.07912368035177764
NCAR,CESM2-WACCM,r1i1p1f1,gn,historical,1850-04,1850,4,150.1947576549024,209.74567682031886,-102.37604740402784,-254.54849972616162,-17.69033692645506,-17.718461376394213,-32.39291095781746,148.4263517975451,216.72984245488897,-100.49578385113533,-258.4648433761369,-13.984813605344282,-15.80226050010748,-23.59150708028995,1.768405857357294,-6.984165634570104,-1.8802635528925151,3.916343649975289,-3.7055233211107783,-1.9162008762867337,-8.801403877527513
NCAR,CESM2-WACCM,r1i1p1f1,gn,historical,1850-05,1850,5,237.7680533465738,257.66680071882524,-149.05601838494871,-295.3592563877425,-7.322525253876485,-12.92819111240434,30.768862926426934,230.97572059279568,260.9168771007636,-147.350178023134,-296.4210780752247,-8.42963842864043,-13.368998020843918,26.322705145716213,6.792332753778112,-3.2500763819383565,-1.7058403618147224,1.0618216874822224,1.1071131747639456,0.44080690843957804,4.44615778071072
NCAR,CESM2-WACCM,r1i1p1f1,gn,historical,1850-06,1850,6,225.90809531284708,298.2018204356275,-111.31357542044286,-319.882469273149,-4.583075181053185,-12.298578205085057,76.03221766874444,229.4053676740754,296.8800857108836,-116.00451780204455,-318.9062131313004,-4.049380336574811,-11.48764164916818,75.83770046587108,-3.497272361228312,1.3217347247439193,4.690942381601687,-0.9762561418486371,-0.533694844478374,-0.8109365559168769,0.1945172028733566
NCAR,CESM2-WACCM,r1i1p1f1,gn,historical,1850-07,1850,7,165.27937888264108,309.16956997500824,-58.64088976738344,-324.38588679579993,-0.7693309257048947,-8.411645341026938,82.24119602773412,167.28392393654957,309.3164516077261,-59.40260923806807,-324.12606880488454,-2.2717320425952057,-9.161909245871227,81.63805621285663,-2.004545053908487,-0.14688163271785015,0.7617194706846249,-0.25981799091539415,1.502401116890311,0.7502639048442887,0.603139814877494
NCAR,CESM2-WACCM,r1i1p1f1,gn,historical,1850-08,1850,8,105.80777440740141,307.0885638671276,-31.723428661077268,-324.17688406150654,-3.871263584021497,-13.010108548918447,40.11465341900531,106.60594156560862,307.0192301231463,-30.971484870242,-324.3886704459015,-3.1681999649659307,-11.50649087877609,43.59032552886945,-0.7981671582072067,0.06933374398130354,-0.7519437908352664,0.2117863843949408,-0.7030636190555661,-1.5036176701423578,-3.475672109864142
NCAR,CESM2-WACCM,r1i1p1f1,gn,historical,1850-09,1850,9,55.31610824372212,291.3513756405748,-15.49874699664536,-316.94888234955357,-8.08354706114947,-19.966078043459646,-13.829770566511126,54.89830463739902,288.9866461711278,-16.49764968729072,-315.33848147263296,-9.098186561522688,-19.40690265700391,-16.456269569923517,0.41780360632309765,2.3647294694470133,0.9989026906453606,-1.6104008769206075,1.0146395003732174,-0.5591753864557347,2.626499003412391
NCAR,CESM2-WACCM,r1i1p1f1,gn,historical,1850-10,1850,10,16.316992690222026,254.1516223348504,-4.2574304865143375,-290.44680709514586,-22.38640737993142,-28.8872924175014,-75.50932235402058,15.9193122787883,256.89747343904895,-4.380194310946924,-291.697864388461,-19.062866206999274,-25.57814248566332,-67.90228167423336,0.39768041143372557,-2.7458511041985503,0.12276382443258615,1.2510572933151707,-3.3235411729321456,-3.3091499318380784,-7.607040679787218
