institution,source,member,grid,experiment,year,seb_Wm2,seb_anom_Wm2
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1850,-20.32562871613115,2.3334772648683217
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1851,-25.077824796231813,-2.4187188152323444
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1852,-22.65177174471674,0.007334236282727631
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1853,-19.535380852442035,3.123725128557434
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1854,-23.951646226684304,-1.2925402456848318
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1855,-22.008885637277995,0.6502203437214779
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1856,-18.412473829347388,4.246632151652084
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1857,-22.252209861466593,0.4068961195328771
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1858,-23.538747914031678,-0.8796419330322066
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1859,-22.444412471755186,0.21469350924428646
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1860,-23.566214087154524,-0.907108106155055
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1861,-19.967895100091862,2.6912108809076103
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1862,-22.508699401225638,0.1504065797738341
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1863,-19.53545195658437,3.123654024415099
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1864,-21.600021411367887,1.0590845696315851
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1865,-22.525805385591553,0.13330059540791547
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1866,-17.858600851407953,4.800505129591518
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1867,-19.55829933624924,3.1008066447502287
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1868,-23.41081371715431,-0.7517077361548369
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1869,-21.716388610988762,0.9427173700107073
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1870,-22.48186966663704,0.17723631436243079
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1871,-21.71530724444303,0.9437987365564412
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1872,-21.389035270440967,1.270070710558506
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1873,-19.695509065050302,2.9635969159491666
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1874,-19.43584478921498,3.2232611917844936
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1875,-21.018787598860012,1.6403183821394565
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1876,-21.315188421213694,1.3439175597857762
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1877,-21.879012362446456,0.7800936185530135
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1878,-20.607695105239767,2.051410875759705
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1879,-21.814226412778492,0.8448795682209803
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1880,-24.592683103073455,-1.933577122073985
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1881,-20.883141895050105,1.775964085949365
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1882,-19.99483244082103,2.6642735401784425
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1883,-23.950823675582058,-1.2917176945825857
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1884,-22.514741039425967,0.14436494157350266
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1885,-23.04189337817611,-0.3827873971766406
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1886,-19.76835428330479,2.89075169769468
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1887,-24.14971508744351,-1.4906091064440414
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1888,-22.899833234425653,-0.24072725342618254
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1889,-20.40988228993637,2.2492236910631003
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1890,-21.03815097537283,1.62095500562664
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1891,-24.183575860185844,-1.524469879186374
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1892,-19.250397127152073,3.408708853847394
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1893,-21.61752284726771,1.0415831337317578
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1894,-23.945539441433215,-1.2864334604337453
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1895,-21.797425043005884,0.8616809379935876
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1896,-23.820707698721822,-1.1616017177223565
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1897,-19.39442530196264,3.26468067903683
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1898,-20.85962322949111,1.7994827515083578
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1899,-22.926942946755748,-0.2678369657562822
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1900,-21.9679035065349,0.6912024744645713
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1901,-20.876794881248383,1.782311099751088
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1902,-20.682043612989098,1.9770623680103736
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1903,-19.38834397367258,3.270762007326891
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1904,-22.51997729076197,0.13912869023749597
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1905,-20.836718690434576,1.8223872905648932
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1906,-20.936222742115643,1.7228832388838284
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1907,-21.260863140986572,1.3982428400128974
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1908,-22.837299842938652,-0.178193861939184
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1909,-19.63369664604787,3.0254093349516022
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1910,-19.157327768308786,3.5017782126906822
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1911,-20.351506613335793,2.3075993676636766
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1912,-24.62881592306186,-1.9697099420623883
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1913,-22.051864764410784,0.6072412165886879
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1914,-23.299881502281256,-0.640775521281789
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1915,-24.188174613486,-1.5290686324865341
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1916,-21.168974510461677,1.4901314705377933
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1917,-21.249853291877624,1.409252689121848
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1918,-20.24265399770757,2.4164519832919003
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1919,-23.528957946358798,-0.8698519653593283
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1920,-22.311363768305313,0.34774221269415745
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1921,-22.454433621623114,0.2046723593763541
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1922,-22.688307348739382,-0.029201367739911294
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1923,-22.381010172689084,0.2780958083103869
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1924,-24.09509045199628,-1.4359844709968073
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1925,-24.3867072968094,-1.7276013158099328
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1926,-18.154555324487287,4.504550656512183
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1927,-23.781414710946034,-1.122308729946565
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1928,-19.524640870760198,3.1344651102392724
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1929,-21.462296753979164,1.1968092270203068
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1930,-20.128124385970825,2.5309815950286443
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1931,-24.87984342058789,-2.2207374395884223
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1932,-20.81502734044053,1.84407864055894
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1933,-21.83663209126642,0.8224738897330485
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1934,-25.6901640524782,-3.0310580714787303
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1935,-21.377330089802978,1.2817758911964925
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1936,-19.28557156023458,3.3735344207648894
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1937,-22.13709496489801,0.5220110161014614
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1938,-17.942340291859647,4.716765689139824
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1939,-18.79803307738143,3.8610729036180422
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1940,-22.869657099784433,-0.2105511187849641
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1941,-23.01002793193069,-0.3509219509312194
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1942,-19.83936669361984,2.819739287379628
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1943,-21.959048941738786,0.7000570392606816
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1944,-24.26645418930289,-1.6073482083034214
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1945,-23.555360011780852,-0.8962540307813828
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1946,-25.2839493637773,-2.6248433827778297
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1947,-22.142290820911285,0.5168151600881851
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1948,-21.238165450030525,1.4209405309689445
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1949,-20.726697699539347,1.9324082814601198
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1950,-24.29480307397561,-1.635697092976141
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1951,-21.32811045406476,1.3309955269347116
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1952,-21.851866791274034,0.8072391897254368
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1953,-19.099763797176625,3.5593421838228436
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1954,-21.99281591072639,0.6662900702730821
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1955,-23.027674769821,-0.368568788821531
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1956,-24.183168918849038,-1.5240629378495674
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1957,-23.91841949588732,-1.2593135148878525
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1958,-21.45786213067262,1.2012438503268503
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1959,-20.544888422290025,2.1142175587094467
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1960,-21.300985675295482,1.358120305703986
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1961,-23.639009563506164,-0.9799035825066914
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1962,-23.839947304371965,-1.1808413233724928
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1963,-22.275174559128985,0.3839314218704832
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1964,-24.8129175937205,-2.153811612721029
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1965,-21.327042176545124,1.3320638044543451
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1966,-24.005062541571135,-1.345956560571662
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1967,-21.68189321508434,0.9772127659151333
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1968,-23.284538370753282,-0.625432389753812
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1969,-23.520833457908292,-0.8617274769088179
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1970,-24.00006289309046,-1.3409569120909888
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1971,-21.78809816870574,0.87100781229373
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1972,-22.08181824533939,0.5772877356600787
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1973,-22.96815346407493,-0.309047483075459
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1974,-23.1305502739708,-0.47144429297133233
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1975,-22.38671163884121,0.2723943421582609
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1976,-22.94870928239929,-0.2896033013998169
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1977,-27.009993694559185,-4.3508877135597155
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1978,-24.619372444385103,-1.960266463385631
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1979,-21.154871974555608,1.5042340064438637
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1980,-23.98444040999866,-1.3253344289991886
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1981,-24.018574199325503,-1.3594682183260336
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1982,-24.328447102626317,-1.6693411216268472
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1983,-22.937921479431505,-0.2788154984320352
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1984,-22.660615488774294,-0.001509507774821876
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1985,-22.99185790956985,-0.33275192857037617
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1986,-25.514946516008404,-2.8558405350089298
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1987,-26.62439592708708,-3.9652899460876103
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1988,-20.713980978645186,1.9451250023542836
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1989,-25.90216703494254,-3.243061053943071
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1990,-24.974693786037665,-2.3155878050381986
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1991,-23.963211386464845,-1.3041054054653742
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1992,-24.446356161889597,-1.7872501808901262
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1993,-23.020616579128372,-0.36151059812890124
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1994,-21.80211023527404,0.8569957457254304
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1995,-20.71945196273816,1.9396540182613105
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1996,-22.442682977766026,0.21642300323344177
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1997,-23.198180238040916,-0.5390742570414441
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1998,-23.59754280032517,-0.9384368193256934
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,1999,-20.498114445597256,2.160991535402211
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,2000,-22.152859873413046,0.5062461075864241
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,2001,-21.755319278734646,0.9037867022648265
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,2002,-22.35261545476007,0.3064905262393989
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,2003,-24.338071623643156,-1.678965642643688
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,2004,-24.672533667015966,-2.0134276860164912
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,2005,-21.31838173907497,1.3407242419245016
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,2006,-23.32893804347574,-0.6698320624762689
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,2007,-25.59691828839114,-2.9378123073916704
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,2008,-24.181819952431578,-1.5227139714321076
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,2009,-23.478858650930874,-0.8197526699314072
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,2010,-24.56224932200858,-1.9031433410091083
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,2011,-21.70611390887647,0.9529920721229979
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,2012,-21.877439023973427,0.7816669570260397
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,2013,-22.704899701375847,-0.04579372037637356
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,historical,2014,-23.466690315050894,-0.8075843340514216
