institution,source,member,siconc_grid,experiment,time,year,month,sia_Mkm2,pi_clim_sia_Mkm2,sia_anom_Mkm2
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,historical,1850-01,1850,1,13.23752011093366,13.14772849079902,0.08979162013464048
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,historical,1850-02,1850,2,13.520030593312722,13.430628146380453,0.08940244693226873
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,historical,1850-03,1850,3,13.666301438257175,13.558657284132442,0.10764415412473305
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,historical,1850-04,1850,4,13.495590642997941,13.4145579666305,0.08103267636744071
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,historical,1850-05,1850,5,12.57750464044825,12.534864477989109,0.042640162459141706
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,historical,1850-06,1850,6,10.625760802743896,10.646892197227762,-0.021131394483866472
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,historical,1850-07,1850,7,8.392732479558992,8.302371645186227,0.0903608343727651
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,historical,1850-08,1850,8,6.724770740070426,6.616497250710446,0.10827348935997971
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,historical,1850-09,1850,9,6.062350816953122,6.128027986007415,-0.06567716905429233
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,historical,1850-10,1850,10,8.12313602107519,7.8018119249626015,0.3213240961125887
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,historical,1850-11,1850,11,10.267524906160274,10.313374480749122,-0.045849574588848085
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,historical,1850-12,1850,12,12.42041633104771,12.308292384716971,0.11212394633073863
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,historical,1851-01,1851,1,13.239544253748452,13.14772849079902,0.09181576294943206
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,historical,1851-02,1851,2,13.389918682858895,13.430628146380453,-0.040709463521558575
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,historical,1851-03,1851,3,13.549727770618329,13.558657284132442,-0.008929513514113196
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,historical,1851-04,1851,4,13.427185493436715,13.4145579666305,0.012627526806214817
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,historical,1851-05,1851,5,12.600202411866096,12.534864477989109,0.06533793387698772
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,historical,1851-06,1851,6,10.692451135669515,10.646892197227762,0.04555893844175252
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,historical,1851-07,1851,7,8.376856298350978,8.302371645186227,0.07448465316475072
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,historical,1851-08,1851,8,6.74574850340241,6.616497250710446,0.12925125269196425
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,historical,1851-09,1851,9,6.183110603965752,6.128027986007415,0.055082617958337465
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,historical,1851-10,1851,10,7.563097823101875,7.8018119249626015,-0.23871410186072684
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,historical,1851-11,1851,11,10.178973702513439,10.313374480749122,-0.1344007782356833
