institution,source,member,siconc_grid,experiment,year,summer_min_time,summer_min_month,summer_min_sia_Mkm2,piControl_mean_summer_min_sia_Mkm2,piControl_std_summer_min_sia_Mkm2,summer_min_sia_anom_Mkm2
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,historical,1850,1850-09,9,6.062350816953122,6.128027986007415,0.47928823080661337,-0.06567716905429233
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,historical,1851,1851-09,9,6.183110603965752,6.128027986007415,0.47928823080661337,0.055082617958337465
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,historical,1852,1852-09,9,6.181748976641776,6.128027986007415,0.47928823080661337,0.05372099063436142
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,historical,1853,1853-09,9,5.564297631577593,6.128027986007415,0.47928823080661337,-0.563730354429822
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,historical,1854,1854-09,9,5.61507533799935,6.128027986007415,0.47928823080661337,-0.5129526480080644
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,historical,1855,1855-09,9,6.412066534049164,6.128027986007415,0.47928823080661337,0.28403854804174955
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,historical,1856,1856-09,9,6.162810722581466,6.128027986007415,0.47928823080661337,0.0347827365740514
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,historical,1857,1857-09,9,6.880187487456449,6.128027986007415,0.47928823080661337,0.7521595014490341
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,historical,1858,1858-09,9,7.149234577394765,6.128027986007415,0.47928823080661337,1.02120659138735
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,historical,1859,1859-09,9,6.279794035259243,6.128027986007415,0.47928823080661337,0.15176604925182868
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,historical,1860,1860-09,9,6.653209390758754,6.128027986007415,0.47928823080661337,0.525181404751339
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,historical,1861,1861-09,9,7.584563268586103,6.128027986007415,0.47928823080661337,1.4565352825786881
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,historical,1862,1862-09,9,7.708020445361025,6.128027986007415,0.47928823080661337,1.57999245935361
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,historical,1863,1863-09,9,7.367087431311283,6.128027986007415,0.47928823080661337,1.2390594453038686
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,historical,1864,1864-09,9,7.238819589763966,6.128027986007415,0.47928823080661337,1.1107916037565513
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,historical,1865,1865-09,9,6.901498854185595,6.128027986007415,0.47928823080661337,0.7734708681781806
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,historical,1866,1866-09,9,6.621936995149113,6.128027986007415,0.47928823080661337,0.49390900914169844
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,historical,1867,1867-09,9,7.069076736990811,6.128027986007415,0.47928823080661337,0.9410487509833967
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,historical,1868,1868-09,9,6.4946011578623075,6.128027986007415,0.47928823080661337,0.3665731718548928
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,historical,1869,1869-09,9,6.458431340981182,6.128027986007415,0.47928823080661337,0.33040335497376727
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,historical,1870,1870-09,9,6.8695373475886266,6.128027986007415,0.47928823080661337,0.7415093615812118
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,historical,1871,1871-09,9,7.161824923781074,6.128027986007415,0.47928823080661337,1.0337969377736593
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,historical,1872,1872-09,9,7.131290270995182,6.128027986007415,0.47928823080661337,1.003262284987767
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,historical,1873,1873-09,9,7.013029787492276,6.128027986007415,0.47928823080661337,0.8850018014848615
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,historical,1874,1874-09,9,7.0900396844938305,6.128027986007415,0.47928823080661337,0.9620116984864158
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,historical,1875,1875-09,9,7.050385407707148,6.128027986007415,0.47928823080661337,0.9223574216997337
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,historical,1876,1876-09,9,6.596688165972131,6.128027986007415,0.47928823080661337,0.4686601799647159
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,historical,1877,1877-09,9,6.8503471471363175,6.128027986007415,0.47928823080661337,0.7223191611289028
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,historical,1878,1878-09,9,6.702328522876343,6.128027986007415,0.47928823080661337,0.574300536868928
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,historical,1879,1879-09,9,6.506218975126995,6.128027986007415,0.47928823080661337,0.37819098911958005
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,historical,1880,1880-09,9,6.685881333324514,6.128027986007415,0.47928823080661337,0.5578533473170992
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,historical,1881,1881-09,9,6.852889262220012,6.128027986007415,0.47928823080661337,0.7248612762125974
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,historical,1882,1882-09,9,6.617166090530666,6.128027986007415,0.47928823080661337,0.489138104523251
