institution,source,member,grid,experiment,year,seb_Wm2,seb_anom_Wm2
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,historical,1850,-24.16748159412838,-6.194554081047286
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,historical,1851,-19.88173271495818,-1.9088052018770867
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,historical,1852,-20.062731094659554,-2.0898035815784635
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,historical,1853,-19.837933658779036,-1.8650061456979428
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,historical,1854,-18.995583837419318,-1.0226563243382272
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,historical,1855,-19.17520701359498,-1.2022795005138882
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,historical,1856,-21.074099255893184,-3.101171742812093
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,historical,1857,-17.307665111556393,0.6652624015246964
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,historical,1858,-18.825493837168533,-0.852566324087439
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,historical,1859,-18.76756869839815,-0.7946411853170602
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,historical,1860,-21.224896695713802,-3.25196918263271
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,historical,1861,-24.377465852783384,-6.404538339702289
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,historical,1862,-21.867965787563918,-3.8950382744828267
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,historical,1863,-21.357133632713396,-3.3842061196322994
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,historical,1864,-18.54315572322802,-0.5702282101469264
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,historical,1865,-18.699832981148262,-0.726905468067169
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,historical,1866,-19.83559822275159,-1.8626707096704964
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,historical,1867,-20.85424845910502,-2.881320946023928
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,historical,1868,-21.25675372048588,-3.2838262074047897
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,historical,1869,-21.583409664393326,-3.6104821513122345
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,historical,1870,-18.719432864607956,-0.7465053515268666
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,historical,1871,-19.670115430012554,-1.6971879169314608
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,historical,1872,-21.08893629004989,-3.1160087769687976
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,historical,1873,-18.476440127980087,-0.5035126148989946
