institution,source,member,grid,experiment,time,year,month,rsds_into_surface_Wm2,rlds_into_surface_Wm2,rsus_into_surface_Wm2,rlus_into_surface_Wm2,hfss_into_surface_Wm2,hfls_into_surface_Wm2,seb_Wm2,pi_clim_rsds_into_surface_Wm2,pi_clim_rlds_into_surface_Wm2,pi_clim_rsus_into_surface_Wm2,pi_clim_rlus_into_surface_Wm2,pi_clim_hfss_into_surface_Wm2,pi_clim_hfls_into_surface_Wm2,pi_clim_seb_Wm2,rsds_into_surface_Wm2_anom,rlds_into_surface_Wm2_anom,rsus_into_surface_Wm2_anom,rlus_into_surface_Wm2_anom,hfss_into_surface_Wm2_anom,hfls_into_surface_Wm2_anom,seb_anom_Wm2
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,historical,1850-01,1850,1,2.4259786780038017,191.72265242868622,-1.152890495851352,-234.19828977695656,-25.042361860600984,-24.421643763480116,-90.66655479019897,2.443207557582361,182.54237941656157,-1.156827003483148,-225.80662953534429,-21.291116881636952,-19.807491580972187,-83.07647802729265,-0.01722887957855912,9.180273012124644,0.003936507631796093,-8.391660241612271,-3.7512449789640314,-4.6141521825079295,-7.590076762906321
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,historical,1850-02,1850,2,13.706520207998112,179.97489347983947,-7.341461076936705,-224.3353160379031,-27.474561489594535,-22.62494135122999,-88.09486626782675,14.238864844519233,180.51820571240614,-7.96692113929643,-222.31686971482273,-19.25083953358027,-18.367583388680323,-73.14514321945438,-0.5323446365211204,-0.5433122325666773,0.6254600623597248,-2.018446323080383,-8.223721956014266,-4.257357962549666,-14.949723048372363
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,historical,1850-03,1850,3,60.9940891077885,194.16817903528082,-37.06977716573859,-237.43444386928468,-21.983985292532815,-22.714547728138598,-64.0404859126254,63.00299751167346,185.50714141316564,-40.034730199301755,-227.5218867276785,-16.190009591332206,-16.397717772334918,-51.634205365808285,-2.0089084038849663,8.661037622115174,2.9649530335631624,-9.912557141606186,-5.793975701200608,-6.31682995580368,-12.406280546817115
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,historical,1850-04,1850,4,164.04356752711158,207.91206632003994,-102.39480688412905,-254.28947946987594,-12.801966798710238,-18.44225358992692,-15.972872895490637,164.55246946843081,204.56577319451134,-108.69716316488552,-248.31144576060592,-9.939431643209971,-13.390910560822737,-11.220708466581986,-0.5089019413192375,3.3462931255286037,6.30235628075647,-5.978033709270022,-2.8625351555002663,-5.051343029104183,-4.752164428908651
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,historical,1850-05,1850,5,259.38616309243446,247.87640386072323,-149.10574298205637,-289.7279373001575,-6.388619678885555,-13.715351126950898,48.32491586510737,264.2963742608762,237.49745886950546,-162.39542430772562,-279.37903974723656,-5.288382680074484,-11.725626584396561,43.00535981094841,-4.91021116844172,10.378944991217764,13.28968132566925,-10.34889755292096,-1.100236998811071,-1.9897245425543364,5.319556054158959
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,historical,1850-06,1850,6,286.04739037293456,277.8338886620152,-139.44021955928758,-314.422049123086,-4.044607471625221,-13.28589749161802,92.68850538933293,287.2303030455407,275.69888737692884,-149.1832657799235,-310.7703490664706,-3.754418029267026,-12.215408596628137,87.00574895018028,-1.1829126726061645,2.135001285086389,9.743046220635904,-3.651700056615425,-0.29018944235819477,-1.0704888949898823,5.682756439152655
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,historical,1850-07,1850,7,244.54248826875684,297.96956481092576,-97.68314238144966,-333.1700015261607,-4.720435016466694,-15.913513664785032,91.02496049082046,233.87642677847037,301.86630036590196,-94.90547562274632,-331.5763449843128,-4.1094038184398745,-14.462533967302472,90.68896875157088,10.666061490286467,-3.8967355549762033,-2.777666758703333,-1.5936565418479063,-0.6110311980268195,-1.4509796974825608,0.3359917392495788
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,historical,1850-08,1850,8,147.01518584743923,308.77646335772613,-41.63359673219303,-340.3733782232326,-5.760878494631585,-20.753867493911503,47.269928261196654,146.83278322253798,303.498926611361,-44.49519883685555,-334.62078704544535,-5.145491030818742,-17.924200226842924,48.14603269393645,0.18240262490124337,5.277536746365115,2.8616021046625235,-5.752591177787224,-0.6153874638128434,-2.8296672670685794,-0.876104432739794
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,historical,1850-09,1850,9,68.42417682086467,290.64303662932673,-14.701163917286985,-327.45694411295676,-8.860567318157088,-24.385179792778832,-16.33664169098827,68.32348260447152,284.42994690879794,-16.11671266384545,-320.69257149906986,-9.05667523393011,-22.359667722267336,-15.472197605843341,0.10069421639315124,6.213089720528785,1.415548746558466,-6.764372613886906,0.19610791577302145,-2.025512070511496,-0.8644440851449282
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,historical,1850-10,1850,10,20.44513121712014,253.31962200838515,-4.456774336764457,-298.3147738879468,-18.42000046521362,-27.564333470344035,-74.99112893476362,20.310558765928377,252.87442008703985,-4.522400849791092,-294.5580781338918,-17.294500935500196,-25.643371350242592,-68.83337241645745,0.13457245119176164,0.44520192134530134,0.06562651302663536,-3.756695754054988,-1.125499529713423,-1.9209621201014428,-6.157756518306172
