institution,source,member,siconc_grid,experiment,time,year,month,sia_Mkm2,pi_clim_sia_Mkm2,sia_anom_Mkm2
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gn,historical,1850-01,1850,1,12.4171444849757,12.952675958391357,-0.5355314734156575
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gn,historical,1850-02,1850,2,12.674413719372382,13.264915851813681,-0.5905021324412996
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gn,historical,1850-03,1850,3,12.732476794349585,13.383662997530836,-0.6511862031812505
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gn,historical,1850-04,1850,4,12.461941347428054,13.223388010931478,-0.761446663503424
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gn,historical,1850-05,1850,5,11.577524343426063,12.300743403000595,-0.7232190595745323
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gn,historical,1850-06,1850,6,9.666144014544114,10.592686099352479,-0.9265420848083643
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gn,historical,1850-07,1850,7,7.484180138553326,8.206800628491298,-0.7226204899379711
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gn,historical,1850-08,1850,8,5.6149968315938485,6.119561022967633,-0.5045641913737846
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gn,historical,1850-09,1850,9,4.762295729740335,5.401614272722936,-0.6393185429826014
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gn,historical,1850-10,1850,10,6.39125740488939,7.058661403853252,-0.667403998963862
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gn,historical,1850-11,1850,11,9.367701795961036,9.876602245434398,-0.5089004494733622
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gn,historical,1850-12,1850,12,11.353312705014071,12.044556694312474,-0.6912439892984032
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gn,historical,1851-01,1851,1,12.30773097416338,12.952675958391357,-0.6449449842279762
