institution,source,member,grid,experiment,year,seb_Wm2,seb_anom_Wm2
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1850,-18.020781900612953,0.9190642282769247
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1851,-22.28141441766434,-3.341568288774463
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1852,-19.177005456203037,-0.23715932731316217
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1853,-16.042588139125375,2.897257989764501
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1854,-20.651745773740235,-1.711899644850358
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1855,-19.728188172238784,-0.7883420433489089
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1856,-19.09609705525094,-0.15625092636106652
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1857,-19.617063865436133,-0.6772177365462575
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1858,-18.078552972666333,0.8612931562235439
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1859,-19.111586759478048,-0.1717406305881699
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1860,-19.08706840163776,-0.1472222727478858
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1861,-20.62786858511367,-1.6880224562237907
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1862,-17.155426620583317,1.7844195083065586
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1863,-19.887030885412784,-0.9471847565229087
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1864,-21.53594525628247,-2.596099127392594
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1865,-22.268213299704865,-3.3283671708149902
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1866,-18.01434548107227,0.9255006478176101
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1867,-23.084303594740238,-4.144457465850358
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1868,-16.523002166182774,2.4168439627071012
