institution,source,member,grid,experiment,time,year,month,rsds_into_surface_Wm2,rlds_into_surface_Wm2,rsus_into_surface_Wm2,rlus_into_surface_Wm2,hfss_into_surface_Wm2,hfls_into_surface_Wm2,seb_Wm2,pi_clim_rsds_into_surface_Wm2,pi_clim_rlds_into_surface_Wm2,pi_clim_rsus_into_surface_Wm2,pi_clim_rlus_into_surface_Wm2,pi_clim_hfss_into_surface_Wm2,pi_clim_hfls_into_surface_Wm2,pi_clim_seb_Wm2,rsds_into_surface_Wm2_anom,rlds_into_surface_Wm2_anom,rsus_into_surface_Wm2_anom,rlus_into_surface_Wm2_anom,hfss_into_surface_Wm2_anom,hfls_into_surface_Wm2_anom,seb_anom_Wm2
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1850-01,1850,1,1.2776854826989583,180.81514076733515,-0.6810558281553448,-219.20358652961372,-8.149515242835683,-13.115452291949774,-59.0567836425204,1.3942172339713994,176.9672228764132,-0.7437200236333381,-217.63140127830133,-15.69624865399158,-16.575668975850103,-72.28559882139174,-0.11653175127244109,3.8479178909219627,0.06266419547799329,-1.5721852513123906,7.546733411155897,3.460216683900329,13.228815178871344
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1850-02,1850,2,10.56889177574163,175.21594382206396,-6.1172421142034645,-215.6857427799153,-15.333470610666444,-15.467533978325788,-66.8191538853054,10.435125305198977,175.60313356881824,-6.187284967981398,-216.1570761380548,-13.895837664682768,-15.661279088587179,-65.86321898528892,0.13376647054265334,-0.38718974675427376,0.07004285377793362,0.4713333581395034,-1.437632945983676,0.19374511026139096,-0.955934900016473
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1850-03,1850,3,53.55760116676794,187.84011142047464,-34.330168012338234,-229.49206347396847,-10.459796774916105,-14.53289842696265,-47.4172141009429,53.61840029548194,181.90905131575357,-34.67089409376744,-224.510982804252,-11.546834976313114,-14.228565682492963,-49.42982594558999,-0.06079912871400239,5.93106010472107,0.340726081429203,-4.9810806697164765,1.087038201397009,-0.3043327444696864,2.0126118446470898
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1850-04,1850,4,148.1953469997286,206.78598432809588,-99.07675979283135,-253.14728734892265,-7.538672891820628,-13.09704287468134,-17.87843158043149,150.89498619069317,203.6208955771701,-100.99704863032414,-251.65180393294378,-7.9311997876661655,-12.748308979152664,-18.812479562223483,-2.699639190964575,3.1650887509257757,1.920288837492791,-1.4954834159788675,0.39252689584553746,-0.3487338955286763,0.9340479817919949
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1850-05,1850,5,243.84945031784696,248.7124774344425,-159.27332684935212,-292.02918266280426,-4.951818692457583,-12.00597042405254,24.301629123622945,248.79743010993508,243.09734417111952,-164.04568966482177,-289.5335198494272,-5.887403499858661,-12.858119228604854,19.570042038342113,-4.94797979208812,5.615133263322974,4.7723628154696485,-2.4956628133770664,0.935584807401078,0.8521488045523142,4.731587085280832
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1850-06,1850,6,264.9164744248479,285.21799086470446,-158.83227404635053,-315.4120054980137,-3.337812594792572,-10.754670705665488,61.79770244472998,270.8609183255667,281.3191905962504,-161.1879435915762,-314.1864221932955,-4.112286789613121,-11.594284946025898,61.09917140130626,-5.944443900718795,3.8988002684540675,2.355669545225652,-1.2255833047181568,0.7744741948205487,0.8396142403604099,0.6985310434237206
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1850-07,1850,7,227.3119575750128,295.2299531894521,-108.58395418252842,-322.1759468975892,-2.437279911441613,-10.023128361778877,79.32160141112678,224.2551920881,294.89674293371723,-102.79903416576022,-321.87172155748266,-1.1109446312367832,-9.39464386725119,83.97559080008637,3.056765486912809,0.33321025573485485,-5.784920016768197,-0.3042253401065409,-1.3263352802048298,-0.6284844945276866,-4.653989388959587
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1850-08,1850,8,140.08169735980096,293.5277057588961,-53.982234119570016,-321.06532377570346,-3.2132168950887534,-11.29056411102988,44.05806421730494,138.04127284497537,293.51802779646516,-52.18284747390068,-320.37372679006006,-2.5062649386197706,-10.800937684864726,45.69552375399525,2.040424514825588,0.009677962430941989,-1.7993866456693368,-0.6915969856434003,-0.7069519564689828,-0.48962642616515417,-1.637459536690315
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1850-09,1850,9,64.69625155715842,264.7987780217422,-22.93261399852182,-300.8411812547855,-9.216655611720277,-17.462194123851283,-20.95761540997833,63.18456348645751,266.70302478658806,-23.013406979202472,-300.93944393720716,-7.82200411290642,-15.449381194229838,-17.336647950500325,1.511688070700906,-1.9042467648458796,0.080792980680652,0.09826268242164815,-1.3946514988138574,-2.012812929621445,-3.620967459478006
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1850-10,1850,10,17.04069869094648,231.79898625789505,-5.347561455145496,-271.86534955662887,-16.26323579336119,-20.33080203900043,-64.96726389529447,17.249578700676455,229.42952623657507,-6.05648776625267,-269.26043068333587,-15.60508683741619,-19.265371335151645,-63.508271684904834,-0.2088800097299739,2.3694600213199806,0.7089263111071737,-2.604918873293002,-0.6581489559450002,-1.0654307038487865,-1.4589922103896313
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1850-11,1850,11,2.476137235898795,208.92017888035963,-0.7217903417368332,-250.5390674706409,-23.633712926626,-22.652861484589703,-86.15111610733503,2.515336833744441,201.51629179882505,-0.852789140129987,-242.618099337239,-18.104257216232263,-18.594844834341938,-76.1383618953737,-0.03919959784564586,7.403887081534577,0.13099879839315376,-7.920968133401914,-5.529455710393737,-4.058016650247765,-10.012754211961322
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1850-12,1850,12,0.47794668402662926,195.45327914882586,-0.1743739542929331,-232.4628724616806,-11.454108981920289,-14.320671817290695,-62.480801382332054,0.5047198763123734,185.0172678795254,-0.21808210897323796,-226.00776044781924,-16.448539416236862,-17.091682477943937,-74.2440766951355,-0.026773192285744096,10.436011269300451,0.04370815468030487,-6.455112013861367,4.994430434316573,2.7710106606532428,11.76327531280345
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1851-01,1851,1,1.388404496061005,179.99783139485783,-0.6992042857690006,-220.32389612213117,-19.2374018325143,-19.294327863714734,-78.16859421321038,1.3942172339713994,176.9672228764132,-0.7437200236333381,-217.63140127830133,-15.69624865399158,-16.575668975850103,-72.28559882139174,-0.005812737910394494,3.0306085184446374,0.04451573786433749,-2.6924948438298486,-3.5411531785227215,-2.718658887864631,-5.882995391818639
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1851-02,1851,2,10.524936778441223,177.46604976565175,-6.018754024247523,-219.07568891220765,-18.882495003360216,-18.73155793522394,-74.71750933094637,10.435125305198977,175.60313356881824,-6.187284967981398,-216.1570761380548,-13.895837664682768,-15.661279088587179,-65.86321898528892,0.08981147324224636,1.8629161968335097,0.16853094373387556,-2.918612774152848,-4.986657338677448,-3.0702788466367608,-8.854290345657446
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1851-03,1851,3,53.505534568419755,178.98648165516315,-34.56122829373794,-221.29492746900954,-13.37821364895602,-14.981094894870127,-51.723448082990714,53.61840029548194,181.90905131575357,-34.67089409376744,-224.510982804252,-11.546834976313114,-14.228565682492963,-49.42982594558999,-0.11286572706218578,-2.922569660590426,0.10966580002949655,3.2160553352424586,-1.8313786726429058,-0.7525292123771639,-2.2936221374007246
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1851-04,1851,4,151.24594016986245,201.33578329028842,-101.4800893329024,-249.80259750122383,-8.187538355325565,-13.762705253866613,-20.651206983167505,150.89498619069317,203.6208955771701,-100.99704863032414,-251.65180393294378,-7.9311997876661655,-12.748308979152664,-18.812479562223483,0.35095397916927595,-2.2851122868816844,-0.4830407025782506,1.8492064317199493,-0.256338567659399,-1.014396274713949,-1.8387274209440214
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1851-05,1851,5,246.5016131525599,248.00884580030777,-163.44564295755765,-292.45444471235527,-6.603460614856033,-12.890092672668125,19.1168179954306,248.79743010993508,243.09734417111952,-164.04568966482177,-289.5335198494272,-5.887403499858661,-12.858119228604854,19.570042038342113,-2.295816957375166,4.911501629188251,0.6000467072641129,-2.920924862928075,-0.7160571149973718,-0.031973444063270406,-0.4532240429115113
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1851-06,1851,6,273.477129772316,280.80509688026416,-163.44022072033286,-314.37551892821995,-4.029040418650064,-11.634466819468143,60.80297976590923,270.8609183255667,281.3191905962504,-161.1879435915762,-314.1864221932955,-4.112286789613121,-11.594284946025898,61.09917140130626,2.6162114467493325,-0.5140937159862347,-2.252277128756674,-0.18909673492441925,0.08324637096305665,-0.04018187344224522,-0.29619163539702953
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1851-07,1851,7,215.88161062377569,299.86030277013134,-99.41188778885652,-322.5068110919237,-0.04384587101246319,-8.46313471367362,85.31623392844071,224.2551920881,294.89674293371723,-102.79903416576022,-321.87172155748266,-1.1109446312367832,-9.39464386725119,83.97559080008637,-8.373581464324303,4.963559836414106,3.3871463769037007,-0.6350895344410219,1.06709876022432,0.9315091535775704,1.340643128354344
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1851-08,1851,8,136.17166921515815,297.5411263163847,-49.318440389031124,-322.061966759026,-1.7081197378932123,-9.424611693011839,51.19965695258064,138.04127284497537,293.51802779646516,-52.18284747390068,-320.37372679006006,-2.5062649386197706,-10.800937684864726,45.69552375399525,-1.8696036298172203,4.023098519919529,2.864407084869555,-1.688239968965945,0.7981452007265584,1.3763259918528874,5.504133198585386
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1851-09,1851,9,63.6595876601815,263.04168185278075,-22.64655704614134,-298.7800894412678,-9.69976054411203,-17.257846910335804,-21.682984428894763,63.18456348645751,266.70302478658806,-23.013406979202472,-300.93944393720716,-7.82200411290642,-15.449381194229838,-17.336647950500325,0.47502417372398753,-3.6613429338073047,0.36684993306113256,2.15935449593934,-1.8777564312056096,-1.8084657161059656,-4.346336478394438
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1851-10,1851,10,16.78995116825822,235.55927490028748,-5.567998093206188,-272.8516861530181,-11.707595027699819,-17.861829303799603,-55.639882509177994,17.249578700676455,229.42952623657507,-6.05648776625267,-269.26043068333587,-15.60508683741619,-19.265371335151645,-63.508271684904834,-0.45962753241823506,6.129748663712405,0.48848967304648205,-3.59125546968221,3.897491809716371,1.4035420313520426,7.86838917572684
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1851-11,1851,11,2.546250812697699,198.0812458419015,-0.7252176050432527,-242.57259872510815,-24.882533282406968,-22.48755836264326,-90.0404113206024,2.515336833744441,201.51629179882505,-0.852789140129987,-242.618099337239,-18.104257216232263,-18.594844834341938,-76.1383618953737,0.03091397895325798,-3.4350459569235454,0.12757153508673424,0.045500612130837226,-6.778276066174705,-3.8927135283013214,-13.902049425228697
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1851-12,1851,12,0.48050261594292837,177.79943178421408,-0.1742576730916832,-220.53639440751402,-27.861941387325206,-20.895965717569215,-91.18862478534312,0.5047198763123734,185.0172678795254,-0.21808210897323796,-226.00776044781924,-16.448539416236862,-17.091682477943937,-74.2440766951355,-0.024217260369444993,-7.217836095311327,0.04382443588155477,5.471366040305213,-11.413401971088344,-3.8042832396252777,-16.94454809020762
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1852-01,1852,1,1.3680873171100312,175.02638769766597,-0.7312657166332394,-215.60802512996142,-17.61110866233024,-17.537160861470003,-75.0930853556189,1.3942172339713994,176.9672228764132,-0.7437200236333381,-217.63140127830133,-15.69624865399158,-16.575668975850103,-72.28559882139174,-0.02612991686136823,-1.9408351787472213,0.012454307000098752,2.0233761483399064,-1.9148600083386587,-0.9614918856198997,-2.807486534227152
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1852-02,1852,2,10.345917073487598,181.3887929097786,-6.310369051878928,-219.82992931284008,-8.18480481731988,-12.518585620988713,-55.108978819761376,10.435125305198977,175.60313356881824,-6.187284967981398,-216.1570761380548,-13.895837664682768,-15.661279088587179,-65.86321898528892,-0.08920823171137826,5.785659340960365,-0.12308408389753023,-3.672853174785274,5.711032847362887,3.142693467598466,10.754240165527548
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1852-03,1852,3,56.305811941575456,177.46825342754113,-36.51486403728567,-221.18000181839258,-10.251499840499545,-13.832252882797878,-48.00455320985908,53.61840029548194,181.90905131575357,-34.67089409376744,-224.510982804252,-11.546834976313114,-14.228565682492963,-49.42982594558999,2.6874116460935156,-4.440797888212444,-1.843969943518232,3.330980985859412,1.2953351358135698,0.39631279969508526,1.425272735730907
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1852-04,1852,4,151.46870170546205,201.25351725490592,-102.72833555932836,-248.26939357258024,-7.100717485983118,-11.967029416874867,-17.3432570743986,150.89498619069317,203.6208955771701,-100.99704863032414,-251.65180393294378,-7.9311997876661655,-12.748308979152664,-18.812479562223483,0.5737155147688782,-2.3673783222641873,-1.731286929004213,3.3824103603635365,0.8304823016830474,0.7812795622777973,1.469222487824883
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1852-05,1852,5,251.27939032351424,241.76070759845055,-168.31520273872255,-288.51242816502486,-6.680411265936518,-13.767256738486555,15.764799013794281,248.79743010993508,243.09734417111952,-164.04568966482177,-289.5335198494272,-5.887403499858661,-12.858119228604854,19.570042038342113,2.481960213579157,-1.336636572668965,-4.269513073900782,1.0210916844023359,-0.7930077660778565,-0.9091375098817007,-3.8052430245478313
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1852-06,1852,6,271.44912139505686,282.6232311700319,-162.09253594623107,-314.2741187234346,-4.354688304922958,-11.933677337945838,61.4173322525543,270.8609183255667,281.3191905962504,-161.1879435915762,-314.1864221932955,-4.112286789613121,-11.594284946025898,61.09917140130626,0.5882030694901914,1.3040405737814922,-0.9045923546548806,-0.08769653013905554,-0.24240151530983756,-0.3393923919199402,0.31816085124804516
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1852-07,1852,7,227.58714501260664,292.60612902319843,-105.60387899291545,-321.6296890903743,-2.715705260851213,-10.248576502548831,79.99542418911528,224.2551920881,294.89674293371723,-102.79903416576022,-321.87172155748266,-1.1109446312367832,-9.39464386725119,83.97559080008637,3.331952924506652,-2.2906139105188004,-2.804844827155236,0.24203246710834492,-1.6047606296144297,-0.8539326352976406,-3.9801666109710823
