institution,source,member,siconc_grid,experiment,time,year,month,sia_Mkm2,pi_clim_sia_Mkm2,sia_anom_Mkm2
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1850-01,1850,1,13.228459829397815,13.251214035251524,-0.022754205853708243
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1850-02,1850,2,13.454578321082213,13.525822506334524,-0.07124418525231135
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1850-03,1850,3,13.494633881470898,13.578188594924526,-0.08355471345362808
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1850-04,1850,4,13.017889389203692,13.308599846758957,-0.2907104575552655
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1850-05,1850,5,11.906172132588992,12.37052721770178,-0.46435508511278734
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1850-06,1850,6,10.36650507852041,10.66865606616312,-0.30215098764271
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1850-07,1850,7,8.607985695736307,8.636422928905555,-0.028437233169247733
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1850-08,1850,8,7.218988781407539,7.053040128520861,0.16594865288667826
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1850-09,1850,9,7.352255467124129,7.297488990152345,0.05476647697178372
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1850-10,1850,10,8.981192352312242,9.082488709358213,-0.10129635704597106
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1850-11,1850,11,10.911013821149782,11.086882795139545,-0.17586897398976298
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1850-12,1850,12,12.240588660595247,12.549413654253712,-0.3088249936584653
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1851-01,1851,1,13.047757948509114,13.251214035251524,-0.20345608674240978
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1851-02,1851,2,13.296615134510784,13.525822506334524,-0.2292073718237404
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1851-03,1851,3,13.449782180476582,13.578188594924526,-0.12840641444794443
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1851-04,1851,4,13.360666219597784,13.308599846758957,0.052066372838826425
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1851-05,1851,5,12.232779814184617,12.37052721770178,-0.13774740351716197
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1851-06,1851,6,10.763413022685087,10.66865606616312,0.0947569565219677
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1851-07,1851,7,8.683032548175097,8.636422928905555,0.046609619269542435
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1851-08,1851,8,7.02471533550444,7.053040128520861,-0.02832479301642099
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1851-09,1851,9,7.35911776933425,7.297488990152345,0.06162877918190457
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1851-10,1851,10,9.144784867039089,9.082488709358213,0.06229615768087626
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1851-11,1851,11,10.797413184033516,11.086882795139545,-0.2894696111060284
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1851-12,1851,12,12.7523938394335,12.549413654253712,0.2029801851797881
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1852-01,1852,1,13.6869801363277,13.251214035251524,0.43576610107617597
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1852-02,1852,2,13.98930990689268,13.525822506334524,0.4634874005581562
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1852-03,1852,3,14.051783556132134,13.578188594924526,0.473594961207608
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1852-04,1852,4,13.688501684085363,13.308599846758957,0.3799018373264058
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1852-05,1852,5,12.69493277969562,12.37052721770178,0.3244055619938404
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1852-06,1852,6,10.716442175473258,10.66865606616312,0.04778610931013816
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1852-07,1852,7,8.467283243862436,8.636422928905555,-0.1691396850431186
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1852-08,1852,8,7.063133462157861,7.053040128520861,0.010093333637000157
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1852-09,1852,9,7.440582750019402,7.297488990152345,0.14309375986705675
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1852-10,1852,10,8.948548146252374,9.082488709358213,-0.13394056310583835
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1852-11,1852,11,10.963393603293285,11.086882795139545,-0.12348919184625906
CCCma,CanESM5-CanOE,r1i1p2f1,gn,historical,1852-12,1852,12,12.728552824883929,12.549413654253712,0.17913917063021678
