institution,source,member,grid,experiment,year,seb_Wm2,seb_anom_Wm2
CCCma,CanESM5,r1i1p1f1,gn,historical,1850,-18.9748614745991,0.749902744082578
CCCma,CanESM5,r1i1p1f1,gn,historical,1851,-19.342822811222035,0.3819414074596456
CCCma,CanESM5,r1i1p1f1,gn,historical,1852,-23.482256033913615,-3.757491815231934
CCCma,CanESM5,r1i1p1f1,gn,historical,1853,-22.339159271871655,-2.614395053189979
CCCma,CanESM5,r1i1p1f1,gn,historical,1854,-18.747469271772133,0.9772949469095478
CCCma,CanESM5,r1i1p1f1,gn,historical,1855,-22.19653973690474,-2.4717755182230596
CCCma,CanESM5,r1i1p1f1,gn,historical,1856,-19.974901830927834,-0.2501376122461562
CCCma,CanESM5,r1i1p1f1,gn,historical,1857,-17.883752783931257,1.8410114347504232
CCCma,CanESM5,r1i1p1f1,gn,historical,1858,-18.627232469239043,1.0975317494426349
CCCma,CanESM5,r1i1p1f1,gn,historical,1859,-22.20171727304566,-2.4769530543639786
CCCma,CanESM5,r1i1p1f1,gn,historical,1860,-20.82596930737019,-1.1012050886885119
CCCma,CanESM5,r1i1p1f1,gn,historical,1861,-21.56382081940249,-1.8390566007208067
CCCma,CanESM5,r1i1p1f1,gn,historical,1862,-18.49723120571723,1.2275330129644455
CCCma,CanESM5,r1i1p1f1,gn,historical,1863,-20.32918767818644,-0.6044234595047584
CCCma,CanESM5,r1i1p1f1,gn,historical,1864,-20.2385218598208,-0.5137576411391214
CCCma,CanESM5,r1i1p1f1,gn,historical,1865,-23.800594254198405,-4.0758300355167245
CCCma,CanESM5,r1i1p1f1,gn,historical,1866,-21.133658077297024,-1.408893858615344
CCCma,CanESM5,r1i1p1f1,gn,historical,1867,-22.38950510407822,-2.664740885396539
CCCma,CanESM5,r1i1p1f1,gn,historical,1868,-18.197442089996873,1.5273221286848067
CCCma,CanESM5,r1i1p1f1,gn,historical,1869,-22.133203743069476,-2.408439524387798
CCCma,CanESM5,r1i1p1f1,gn,historical,1870,-21.596143631802885,-1.8713794131212043
CCCma,CanESM5,r1i1p1f1,gn,historical,1871,-21.212279937287576,-1.4875157186058967
CCCma,CanESM5,r1i1p1f1,gn,historical,1872,-20.061813910662337,-0.3370496919806589
CCCma,CanESM5,r1i1p1f1,gn,historical,1873,-20.07818744322779,-0.3534232245461097
CCCma,CanESM5,r1i1p1f1,gn,historical,1874,-18.681042578272823,1.0437216404088558
CCCma,CanESM5,r1i1p1f1,gn,historical,1875,-22.84166086273571,-3.1168966440540338
CCCma,CanESM5,r1i1p1f1,gn,historical,1876,-17.01222917225753,2.712535046424151
CCCma,CanESM5,r1i1p1f1,gn,historical,1877,-21.888248926400205,-2.163484707718527
CCCma,CanESM5,r1i1p1f1,gn,historical,1878,-19.155459269252926,0.5693049494287553
CCCma,CanESM5,r1i1p1f1,gn,historical,1879,-17.62657670290234,2.098187515779338
CCCma,CanESM5,r1i1p1f1,gn,historical,1880,-16.96117476685289,2.763589451828789
CCCma,CanESM5,r1i1p1f1,gn,historical,1881,-21.770301566733792,-2.0455373480521106
CCCma,CanESM5,r1i1p1f1,gn,historical,1882,-16.009911494504774,3.714852724176905
CCCma,CanESM5,r1i1p1f1,gn,historical,1883,-20.00307054751153,-0.2783063288298499
CCCma,CanESM5,r1i1p1f1,gn,historical,1884,-20.514040710395165,-0.7892764917134855
CCCma,CanESM5,r1i1p1f1,gn,historical,1885,-19.720667871766754,0.0040963469149248866
CCCma,CanESM5,r1i1p1f1,gn,historical,1886,-20.226945493175823,-0.5021812744941426
CCCma,CanESM5,r1i1p1f1,gn,historical,1887,-21.19462279145486,-1.4698585727731828
CCCma,CanESM5,r1i1p1f1,gn,historical,1888,-17.96907549276759,1.75568872591409
CCCma,CanESM5,r1i1p1f1,gn,historical,1889,-19.174661729454172,0.5501024892275054
CCCma,CanESM5,r1i1p1f1,gn,historical,1890,-18.319319311079482,1.405444907602199
CCCma,CanESM5,r1i1p1f1,gn,historical,1891,-20.475046958234348,-0.7502827395526698
CCCma,CanESM5,r1i1p1f1,gn,historical,1892,-22.360683654686436,-2.6359194360047566
CCCma,CanESM5,r1i1p1f1,gn,historical,1893,-18.497846323085096,1.226917895596583
CCCma,CanESM5,r1i1p1f1,gn,historical,1894,-20.345306656026843,-0.6205424373451631
CCCma,CanESM5,r1i1p1f1,gn,historical,1895,-18.357317566193426,1.3674466524882518
CCCma,CanESM5,r1i1p1f1,gn,historical,1896,-19.733384386457335,-0.008620167775659068
CCCma,CanESM5,r1i1p1f1,gn,historical,1897,-20.948555623838335,-1.2237914051566534
CCCma,CanESM5,r1i1p1f1,gn,historical,1898,-17.797028210267836,1.9277360084138448
CCCma,CanESM5,r1i1p1f1,gn,historical,1899,-20.46582359189922,-0.7410593732175416
CCCma,CanESM5,r1i1p1f1,gn,historical,1900,-18.748168061874296,0.9765961568073848
CCCma,CanESM5,r1i1p1f1,gn,historical,1901,-21.649462774413905,-1.9246985557322283
CCCma,CanESM5,r1i1p1f1,gn,historical,1902,-18.790458488165697,0.9343057305159815
CCCma,CanESM5,r1i1p1f1,gn,historical,1903,-20.192066506486853,-0.46730228780517474
CCCma,CanESM5,r1i1p1f1,gn,historical,1904,-20.96121485283948,-1.2364506341577999
CCCma,CanESM5,r1i1p1f1,gn,historical,1905,-21.98954078943593,-2.2647765707542513
CCCma,CanESM5,r1i1p1f1,gn,historical,1906,-22.151813383942976,-2.427049165261294
CCCma,CanESM5,r1i1p1f1,gn,historical,1907,-20.325695409854166,-0.6009311911724886
CCCma,CanESM5,r1i1p1f1,gn,historical,1908,-17.736771061137258,1.987993157544422
CCCma,CanESM5,r1i1p1f1,gn,historical,1909,-21.236320414157806,-1.5115561954761263
CCCma,CanESM5,r1i1p1f1,gn,historical,1910,-18.55859765860139,1.1661665600802895
CCCma,CanESM5,r1i1p1f1,gn,historical,1911,-20.208229062729398,-0.48346484404771645
CCCma,CanESM5,r1i1p1f1,gn,historical,1912,-23.36757919094251,-3.6428149722608345
CCCma,CanESM5,r1i1p1f1,gn,historical,1913,-21.835525393447824,-2.110761174766145
CCCma,CanESM5,r1i1p1f1,gn,historical,1914,-19.01312522499678,0.7116389936849009
CCCma,CanESM5,r1i1p1f1,gn,historical,1915,-18.63380446121083,1.0909597574708512
CCCma,CanESM5,r1i1p1f1,gn,historical,1916,-18.947574664284673,0.777189554397007
CCCma,CanESM5,r1i1p1f1,gn,historical,1917,-18.130557231591094,1.5942069870905886
CCCma,CanESM5,r1i1p1f1,gn,historical,1918,-17.436617344542746,2.288146874138933
CCCma,CanESM5,r1i1p1f1,gn,historical,1919,-19.122840634460772,0.6019235842209083
CCCma,CanESM5,r1i1p1f1,gn,historical,1920,-20.61719437056591,-0.892430151884232
CCCma,CanESM5,r1i1p1f1,gn,historical,1921,-21.835121429775484,-2.1103572110938065
CCCma,CanESM5,r1i1p1f1,gn,historical,1922,-20.72426885779153,-0.9995046391098509
CCCma,CanESM5,r1i1p1f1,gn,historical,1923,-18.999608496758263,0.7251557219234156
CCCma,CanESM5,r1i1p1f1,gn,historical,1924,-14.594612476801236,5.130151741880441
CCCma,CanESM5,r1i1p1f1,gn,historical,1925,-22.540638399913565,-2.8158741812318886
CCCma,CanESM5,r1i1p1f1,gn,historical,1926,-21.458627512114536,-1.733863293432858
CCCma,CanESM5,r1i1p1f1,gn,historical,1927,-21.585094811634153,-1.8603305929524776
CCCma,CanESM5,r1i1p1f1,gn,historical,1928,-19.305581365584754,0.4191828530969275
CCCma,CanESM5,r1i1p1f1,gn,historical,1929,-21.360184429554334,-1.6354202108726497
CCCma,CanESM5,r1i1p1f1,gn,historical,1930,-18.437146218581706,1.2876180000999735
CCCma,CanESM5,r1i1p1f1,gn,historical,1931,-18.860488682716966,0.8642755359647122
CCCma,CanESM5,r1i1p1f1,gn,historical,1932,-20.103980932554034,-0.3792167138723557
CCCma,CanESM5,r1i1p1f1,gn,historical,1933,-15.595347133514544,4.129417085167136
CCCma,CanESM5,r1i1p1f1,gn,historical,1934,-20.918422445113375,-1.193658226431697
CCCma,CanESM5,r1i1p1f1,gn,historical,1935,-20.801605731133396,-1.0768415124517177
CCCma,CanESM5,r1i1p1f1,gn,historical,1936,-22.449189579621976,-2.7244253609402995
CCCma,CanESM5,r1i1p1f1,gn,historical,1937,-21.746048465462678,-2.021284246780998
CCCma,CanESM5,r1i1p1f1,gn,historical,1938,-23.24721553547731,-3.522451316795628
CCCma,CanESM5,r1i1p1f1,gn,historical,1939,-17.257157166474553,2.4676070522071254
CCCma,CanESM5,r1i1p1f1,gn,historical,1940,-20.97589622718902,-1.251132008507338
CCCma,CanESM5,r1i1p1f1,gn,historical,1941,-21.298671901397498,-1.5739076827158167
CCCma,CanESM5,r1i1p1f1,gn,historical,1942,-22.02024338087835,-2.2954791621966693
CCCma,CanESM5,r1i1p1f1,gn,historical,1943,-22.660231954583292,-2.9354677359016126
CCCma,CanESM5,r1i1p1f1,gn,historical,1944,-22.5362778770514,-2.811513658369718
CCCma,CanESM5,r1i1p1f1,gn,historical,1945,-20.38912959636527,-0.6643653776835888
CCCma,CanESM5,r1i1p1f1,gn,historical,1946,-20.79652384104617,-1.071759622364491
CCCma,CanESM5,r1i1p1f1,gn,historical,1947,-18.525881496030106,1.1988827226515733
CCCma,CanESM5,r1i1p1f1,gn,historical,1948,-21.232497083178195,-1.5077328644965158
CCCma,CanESM5,r1i1p1f1,gn,historical,1949,-22.20400718668928,-2.479242968007602
CCCma,CanESM5,r1i1p1f1,gn,historical,1950,-22.424878322697882,-2.7001141040162047
CCCma,CanESM5,r1i1p1f1,gn,historical,1951,-19.457539638838444,0.2672245798432365
CCCma,CanESM5,r1i1p1f1,gn,historical,1952,-20.27896104366733,-0.5541968249856497
CCCma,CanESM5,r1i1p1f1,gn,historical,1953,-20.10176627946731,-0.37700206078562815
CCCma,CanESM5,r1i1p1f1,gn,historical,1954,-22.089846930185086,-2.3650827115034034
CCCma,CanESM5,r1i1p1f1,gn,historical,1955,-19.28845496213113,0.43630925655055064
CCCma,CanESM5,r1i1p1f1,gn,historical,1956,-19.31808782889048,0.40667638979120174
CCCma,CanESM5,r1i1p1f1,gn,historical,1957,-21.2955312104143,-1.5707669917326197
CCCma,CanESM5,r1i1p1f1,gn,historical,1958,-21.55879380737636,-1.8340295886946796
CCCma,CanESM5,r1i1p1f1,gn,historical,1959,-23.16524462768804,-3.440480409006362
CCCma,CanESM5,r1i1p1f1,gn,historical,1960,-17.957280593178762,1.7674836255029163
CCCma,CanESM5,r1i1p1f1,gn,historical,1961,-17.524944193322465,2.1998200253592137
CCCma,CanESM5,r1i1p1f1,gn,historical,1962,-21.86424651762492,-2.139482298943241
CCCma,CanESM5,r1i1p1f1,gn,historical,1963,-19.61309252427567,0.11167169440600855
CCCma,CanESM5,r1i1p1f1,gn,historical,1964,-18.745290650109528,0.9794735685721506
CCCma,CanESM5,r1i1p1f1,gn,historical,1965,-19.750012527468098,-0.02524830878641726
CCCma,CanESM5,r1i1p1f1,gn,historical,1966,-22.5370604463694,-2.8122962276877197
CCCma,CanESM5,r1i1p1f1,gn,historical,1967,-19.234122789048516,0.49064142963316176
CCCma,CanESM5,r1i1p1f1,gn,historical,1968,-18.743843922531642,0.9809202961500367
CCCma,CanESM5,r1i1p1f1,gn,historical,1969,-19.624427596781945,0.10033662189973036
CCCma,CanESM5,r1i1p1f1,gn,historical,1970,-20.430982310071244,-0.7062180913895659
CCCma,CanESM5,r1i1p1f1,gn,historical,1971,-18.88175948061986,0.8430047380618219
CCCma,CanESM5,r1i1p1f1,gn,historical,1972,-18.328832595707755,1.395931622973924
CCCma,CanESM5,r1i1p1f1,gn,historical,1973,-18.768459343428713,0.9563048752529649
CCCma,CanESM5,r1i1p1f1,gn,historical,1974,-19.035365190100574,0.689399028581105
CCCma,CanESM5,r1i1p1f1,gn,historical,1975,-20.22228978912467,-0.49752557044299134
CCCma,CanESM5,r1i1p1f1,gn,historical,1976,-19.36457101178007,0.3601932069016109
CCCma,CanESM5,r1i1p1f1,gn,historical,1977,-21.423373435354772,-1.6986092166730937
CCCma,CanESM5,r1i1p1f1,gn,historical,1978,-19.273770459344636,0.45099375933704194
CCCma,CanESM5,r1i1p1f1,gn,historical,1979,-18.52928843863511,1.1954757800465694
CCCma,CanESM5,r1i1p1f1,gn,historical,1980,-20.342852771886147,-0.6180885532044688
CCCma,CanESM5,r1i1p1f1,gn,historical,1981,-18.240975243088897,1.4837889755927807
CCCma,CanESM5,r1i1p1f1,gn,historical,1982,-18.305275626955776,1.4194885917259017
CCCma,CanESM5,r1i1p1f1,gn,historical,1983,-17.949103146342136,1.775661072339542
CCCma,CanESM5,r1i1p1f1,gn,historical,1984,-17.20485492850823,2.5199092901734486
CCCma,CanESM5,r1i1p1f1,gn,historical,1985,-22.072274129477606,-2.3475099107959267
CCCma,CanESM5,r1i1p1f1,gn,historical,1986,-19.402389390929656,0.32237482775202436
CCCma,CanESM5,r1i1p1f1,gn,historical,1987,-18.59839229475903,1.1263719239226493
CCCma,CanESM5,r1i1p1f1,gn,historical,1988,-19.9869103023504,-0.26214608366872066
CCCma,CanESM5,r1i1p1f1,gn,historical,1989,-17.352890797387143,2.3718734212945365
CCCma,CanESM5,r1i1p1f1,gn,historical,1990,-18.54750502023133,1.177259198450347
CCCma,CanESM5,r1i1p1f1,gn,historical,1991,-18.67697490804457,1.0477893106371081
CCCma,CanESM5,r1i1p1f1,gn,historical,1992,-18.289127330770597,1.4356368879110815
CCCma,CanESM5,r1i1p1f1,gn,historical,1993,-17.916169464261277,1.8085947544204013
CCCma,CanESM5,r1i1p1f1,gn,historical,1994,-15.384325892302348,4.340438326379331
CCCma,CanESM5,r1i1p1f1,gn,historical,1995,-17.02485148580851,2.6999127328731674
CCCma,CanESM5,r1i1p1f1,gn,historical,1996,-15.953619427971487,3.771144790710192
CCCma,CanESM5,r1i1p1f1,gn,historical,1997,-14.801893042962321,4.922871175719356
CCCma,CanESM5,r1i1p1f1,gn,historical,1998,-14.66991123805805,5.054852980623628
CCCma,CanESM5,r1i1p1f1,gn,historical,1999,-15.358032680470808,4.36673153821087
CCCma,CanESM5,r1i1p1f1,gn,historical,2000,-19.655674308187887,0.06908991049379232
CCCma,CanESM5,r1i1p1f1,gn,historical,2001,-21.492059586755772,-1.7672953680740928
CCCma,CanESM5,r1i1p1f1,gn,historical,2002,-20.370417808571748,-0.6456535898900696
