institution,source,member,grid,experiment,time,year,month,rsds_into_surface_Wm2,rlds_into_surface_Wm2,rsus_into_surface_Wm2,rlus_into_surface_Wm2,hfss_into_surface_Wm2,hfls_into_surface_Wm2,seb_Wm2,pi_clim_rsds_into_surface_Wm2,pi_clim_rlds_into_surface_Wm2,pi_clim_rsus_into_surface_Wm2,pi_clim_rlus_into_surface_Wm2,pi_clim_hfss_into_surface_Wm2,pi_clim_hfls_into_surface_Wm2,pi_clim_seb_Wm2,rsds_into_surface_Wm2_anom,rlds_into_surface_Wm2_anom,rsus_into_surface_Wm2_anom,rlus_into_surface_Wm2_anom,hfss_into_surface_Wm2_anom,hfls_into_surface_Wm2_anom,seb_anom_Wm2
CCCma,CanESM5,r1i1p1f1,gn,historical,1850-01,1850,1,1.4109760200453276,187.91820296644067,-0.7514169228147602,-228.1042972713226,-15.625648393962786,-17.568522618137003,-72.72070621975115,1.3830481540834363,180.05848525983805,-0.7235770368971263,-221.36155895656188,-16.56634912054583,-17.522704012510147,-74.73265571259348,0.02792786596189134,7.859717706602623,-0.027839885917633977,-6.7427383147607145,0.940700726583044,-0.04581860562685591,2.0119494928423336
CCCma,CanESM5,r1i1p1f1,gn,historical,1850-02,1850,2,10.366922200931501,188.69536222904333,-5.879131086348562,-228.90115811097704,-14.512900664405047,-16.59776982190082,-66.82867525365664,10.348257848282513,178.2937110098943,-6.054529465388473,-219.4491718796486,-15.301710872830542,-16.77783028288345,-68.9412736425742,0.01866435264898847,10.401651219149016,0.17539837903991096,-9.451986231328448,0.7888102084254953,0.18006046098263084,2.1125983889175615
CCCma,CanESM5,r1i1p1f1,gn,historical,1850-03,1850,3,53.50656424686812,186.14487550422217,-33.280567627879215,-230.94363128809727,-14.515823286392818,-16.719642793058348,-55.80822524433734,53.25926181160896,184.79832434307124,-34.010753586899234,-227.8838998613093,-12.318439822599004,-15.126931469610275,-51.28243858573762,0.24730243525916507,1.346551161150927,0.7301859590200195,-3.0597314267879767,-2.1973834637938143,-1.5927113234480732,-4.525786658599721
CCCma,CanESM5,r1i1p1f1,gn,historical,1850-04,1850,4,148.98538639099698,209.83324715587523,-97.5782771052528,-259.2764157496171,-13.392437654847614,-16.675771079438498,-28.10426804228384,150.0405426392516,206.1024617915911,-99.08596677350891,-254.38717061803192,-8.41922746594653,-13.409801036166455,-19.15916146281107,-1.055156248254633,3.7307853642841167,1.5076896682561198,-4.889245131585199,-4.973210188901083,-3.265970043272043,-8.945106579472771
CCCma,CanESM5,r1i1p1f1,gn,historical,1850-05,1850,5,244.9468363521994,251.850652826396,-154.2302651377431,-295.91099220411866,-4.03649385071569,-11.479855025020687,31.13988296099721,247.0907078147385,244.80772453146315,-160.3846171020752,-291.1091661827564,-6.201305077660558,-13.242985710865764,20.960358272843724,-2.1438714625390958,7.042928294932835,6.154351964332108,-4.801826021362274,2.1648112269448676,1.763130685845077,10.179524688153485
CCCma,CanESM5,r1i1p1f1,gn,historical,1850-06,1850,6,263.87769190116467,283.8782526280285,-144.06270115902453,-317.0717040630611,-3.452986568566858,-11.78642782002764,71.38212491851303,268.2245852594779,282.39283131235356,-156.13394328921672,-314.986914197238,-4.091432566764503,-11.628982798160166,63.77614372045209,-4.3468933583132525,1.4854213156749552,12.07124213019219,-2.0847898658230974,0.6384459981976449,-0.1574450218674741,7.605981198060938
CCCma,CanESM5,r1i1p1f1,gn,historical,1850-07,1850,7,216.8356911725849,297.46344528361993,-89.71591627816143,-323.876007624499,0.7075772720502491,-8.948797004647659,92.46599282094695,222.64786371612652,295.4909569878739,-98.80652676072708,-322.5398020943124,-1.1460728994394693,-9.460428072591283,86.18599087693026,-5.812172543541635,1.9724882957460181,9.090610482565651,-1.3362055301865894,1.8536501714897184,0.5116310679436236,6.280001944016689
CCCma,CanESM5,r1i1p1f1,gn,historical,1850-08,1850,8,132.14606157081982,297.0645987225606,-45.57246693443753,-322.6874846159642,-3.0178802384798034,-11.39048602344664,46.542342481052245,136.79405967754576,294.4124688530989,-49.7434701074495,-321.2913090417648,-2.6230381510060052,-10.994567228772198,46.55414400165218,-4.647998106725936,2.652129869461703,4.171003173011968,-1.3961755741993898,-0.3948420874737981,-0.3959187946744418,-0.011801520599938442
CCCma,CanESM5,r1i1p1f1,gn,historical,1850-09,1850,9,58.84271182280331,279.4011177606994,-18.89400145840578,-310.51445612020206,-6.563719693697445,-15.722877321441468,-13.451225010244062,62.44843913595209,268.5180167036113,-21.864154371902014,-302.8097731684974,-8.28644562230082,-15.944964249183148,-17.938881572319996,-3.6057273131487833,10.883101057088084,2.9701529134962357,-7.704682951704683,1.7227259286033743,0.22208692774167993,4.487656562075934
CCCma,CanESM5,r1i1p1f1,gn,historical,1850-10,1850,10,16.331128832259818,238.42301209237408,-5.063825058229626,-279.1217715988478,-18.054901732818212,-21.66545165737584,-69.15180912263756,17.054866864702248,231.86331638804776,-5.756302208825101,-272.2888295068756,-16.552251253854138,-20.216671119414496,-65.89587083621933,-0.7237380324424301,6.559695704326316,0.692477150595475,-6.8329420919722,-1.5026504789640747,-1.448780537961344,-3.2559382864182282
