institution,source,member,siconc_grid,experiment,year,summer_min_time,summer_min_month,summer_min_sia_Mkm2,piControl_mean_summer_min_sia_Mkm2,piControl_std_summer_min_sia_Mkm2,summer_min_sia_anom_Mkm2
CCCma,CanESM5,r1i1p1f1,gn,historical,1850,1850-08,8,5.596960437478995,6.675718806139756,0.47048654025838227,-1.0787583686607602
CCCma,CanESM5,r1i1p1f1,gn,historical,1851,1851-08,8,5.779946535229598,6.675718806139756,0.47048654025838227,-0.8957722709101574
CCCma,CanESM5,r1i1p1f1,gn,historical,1852,1852-08,8,5.882611594861914,6.675718806139756,0.47048654025838227,-0.7931072112778415
CCCma,CanESM5,r1i1p1f1,gn,historical,1853,1853-09,9,6.522473996766126,6.675718806139756,0.47048654025838227,-0.1532448093736294
CCCma,CanESM5,r1i1p1f1,gn,historical,1854,1854-08,8,6.267336265611754,6.675718806139756,0.47048654025838227,-0.4083825405280015
CCCma,CanESM5,r1i1p1f1,gn,historical,1855,1855-08,8,6.845295656960211,6.675718806139756,0.47048654025838227,0.16957685082045515
CCCma,CanESM5,r1i1p1f1,gn,historical,1856,1856-08,8,5.733362494465108,6.675718806139756,0.47048654025838227,-0.9423563116746481
CCCma,CanESM5,r1i1p1f1,gn,historical,1857,1857-08,8,6.01976672051734,6.675718806139756,0.47048654025838227,-0.6559520856224159
CCCma,CanESM5,r1i1p1f1,gn,historical,1858,1858-08,8,6.054639185116348,6.675718806139756,0.47048654025838227,-0.6210796210234077
CCCma,CanESM5,r1i1p1f1,gn,historical,1859,1859-08,8,6.166761493345487,6.675718806139756,0.47048654025838227,-0.5089573127942684
CCCma,CanESM5,r1i1p1f1,gn,historical,1860,1860-08,8,6.3179469590377675,6.675718806139756,0.47048654025838227,-0.35777184710198817
CCCma,CanESM5,r1i1p1f1,gn,historical,1861,1861-08,8,5.960420381429113,6.675718806139756,0.47048654025838227,-0.7152984247106424
CCCma,CanESM5,r1i1p1f1,gn,historical,1862,1862-08,8,6.124473251766327,6.675718806139756,0.47048654025838227,-0.5512455543734287
CCCma,CanESM5,r1i1p1f1,gn,historical,1863,1863-08,8,5.924264766420022,6.675718806139756,0.47048654025838227,-0.751454039719734
CCCma,CanESM5,r1i1p1f1,gn,historical,1864,1864-08,8,5.754850255512983,6.675718806139756,0.47048654025838227,-0.9208685506267731
CCCma,CanESM5,r1i1p1f1,gn,historical,1865,1865-08,8,6.310000349393157,6.675718806139756,0.47048654025838227,-0.365718456746599
CCCma,CanESM5,r1i1p1f1,gn,historical,1866,1866-08,8,5.6956146364010785,6.675718806139756,0.47048654025838227,-0.9801041697386772
CCCma,CanESM5,r1i1p1f1,gn,historical,1867,1867-08,8,6.233526594381121,6.675718806139756,0.47048654025838227,-0.442192211758635
CCCma,CanESM5,r1i1p1f1,gn,historical,1868,1868-08,8,5.563314217263052,6.675718806139756,0.47048654025838227,-1.1124045888767036
CCCma,CanESM5,r1i1p1f1,gn,historical,1869,1869-08,8,6.014317204264721,6.675718806139756,0.47048654025838227,-0.6614016018750348
CCCma,CanESM5,r1i1p1f1,gn,historical,1870,1870-08,8,5.30716358222838,6.675718806139756,0.47048654025838227,-1.3685552239113754
CCCma,CanESM5,r1i1p1f1,gn,historical,1871,1871-08,8,6.211408661381311,6.675718806139756,0.47048654025838227,-0.46431014475844457
CCCma,CanESM5,r1i1p1f1,gn,historical,1872,1872-08,8,6.627944992588612,6.675718806139756,0.47048654025838227,-0.04777381355114407
CCCma,CanESM5,r1i1p1f1,gn,historical,1873,1873-08,8,6.384791169968502,6.675718806139756,0.47048654025838227,-0.2909276361712534
CCCma,CanESM5,r1i1p1f1,gn,historical,1874,1874-08,8,6.531895224582537,6.675718806139756,0.47048654025838227,-0.14382358155721864
CCCma,CanESM5,r1i1p1f1,gn,historical,1875,1875-08,8,6.200526245483465,6.675718806139756,0.47048654025838227,-0.475192560656291
CCCma,CanESM5,r1i1p1f1,gn,historical,1876,1876-08,8,6.1123139171284295,6.675718806139756,0.47048654025838227,-0.5634048890113261
CCCma,CanESM5,r1i1p1f1,gn,historical,1877,1877-08,8,5.935947254778803,6.675718806139756,0.47048654025838227,-0.7397715513609526
CCCma,CanESM5,r1i1p1f1,gn,historical,1878,1878-09,9,6.1397520961284044,6.675718806139756,0.47048654025838227,-0.5359667100113512
CCCma,CanESM5,r1i1p1f1,gn,historical,1879,1879-08,8,5.701086335403157,6.675718806139756,0.47048654025838227,-0.9746324707365988
CCCma,CanESM5,r1i1p1f1,gn,historical,1880,1880-08,8,5.789826903803849,6.675718806139756,0.47048654025838227,-0.8858919023359064
CCCma,CanESM5,r1i1p1f1,gn,historical,1881,1881-08,8,6.000127653532162,6.675718806139756,0.47048654025838227,-0.675591152607594
CCCma,CanESM5,r1i1p1f1,gn,historical,1882,1882-09,9,5.715783901997218,6.675718806139756,0.47048654025838227,-0.9599349041425373
CCCma,CanESM5,r1i1p1f1,gn,historical,1883,1883-08,8,6.033665491735241,6.675718806139756,0.47048654025838227,-0.6420533144045146
CCCma,CanESM5,r1i1p1f1,gn,historical,1884,1884-08,8,6.382131865691678,6.675718806139756,0.47048654025838227,-0.293586940448078
CCCma,CanESM5,r1i1p1f1,gn,historical,1885,1885-08,8,6.283603397149785,6.675718806139756,0.47048654025838227,-0.3921154089899703
CCCma,CanESM5,r1i1p1f1,gn,historical,1886,1886-08,8,6.757410060826654,6.675718806139756,0.47048654025838227,0.08169125468689842
CCCma,CanESM5,r1i1p1f1,gn,historical,1887,1887-08,8,7.119390923366861,6.675718806139756,0.47048654025838227,0.44367211722710564
CCCma,CanESM5,r1i1p1f1,gn,historical,1888,1888-09,9,6.613009876750348,6.675718806139756,0.47048654025838227,-0.06270892938940786
CCCma,CanESM5,r1i1p1f1,gn,historical,1889,1889-08,8,6.513892814358194,6.675718806139756,0.47048654025838227,-0.1618259917815621
CCCma,CanESM5,r1i1p1f1,gn,historical,1890,1890-08,8,7.0245156400372295,6.675718806139756,0.47048654025838227,0.34879683389747385
CCCma,CanESM5,r1i1p1f1,gn,historical,1891,1891-08,8,6.636282367058885,6.675718806139756,0.47048654025838227,-0.03943643908087058
CCCma,CanESM5,r1i1p1f1,gn,historical,1892,1892-08,8,6.8532662181236,6.675718806139756,0.47048654025838227,0.17754741198384405
CCCma,CanESM5,r1i1p1f1,gn,historical,1893,1893-08,8,6.721456502967455,6.675718806139756,0.47048654025838227,0.04573769682769946
CCCma,CanESM5,r1i1p1f1,gn,historical,1894,1894-08,8,6.549161302836307,6.675718806139756,0.47048654025838227,-0.12655750330344873
CCCma,CanESM5,r1i1p1f1,gn,historical,1895,1895-08,8,6.457714170040815,6.675718806139756,0.47048654025838227,-0.21800463609894027
CCCma,CanESM5,r1i1p1f1,gn,historical,1896,1896-08,8,5.676892614475867,6.675718806139756,0.47048654025838227,-0.9988261916638885
CCCma,CanESM5,r1i1p1f1,gn,historical,1897,1897-08,8,5.910086655681223,6.675718806139756,0.47048654025838227,-0.7656321504585328
CCCma,CanESM5,r1i1p1f1,gn,historical,1898,1898-08,8,6.084054722587129,6.675718806139756,0.47048654025838227,-0.5916640835526268
CCCma,CanESM5,r1i1p1f1,gn,historical,1899,1899-08,8,6.001978166369625,6.675718806139756,0.47048654025838227,-0.6737406397701307
CCCma,CanESM5,r1i1p1f1,gn,historical,1900,1900-08,8,6.061009784653127,6.675718806139756,0.47048654025838227,-0.6147090214866289
CCCma,CanESM5,r1i1p1f1,gn,historical,1901,1901-08,8,6.752381467565207,6.675718806139756,0.47048654025838227,0.07666266142545108
CCCma,CanESM5,r1i1p1f1,gn,historical,1902,1902-08,8,6.646122329606465,6.675718806139756,0.47048654025838227,-0.029596476533290783
CCCma,CanESM5,r1i1p1f1,gn,historical,1903,1903-08,8,6.647408243407097,6.675718806139756,0.47048654025838227,-0.028310562732658973
CCCma,CanESM5,r1i1p1f1,gn,historical,1904,1904-08,8,6.448913153298543,6.675718806139756,0.47048654025838227,-0.2268056528412128
CCCma,CanESM5,r1i1p1f1,gn,historical,1905,1905-08,8,6.653952199938822,6.675718806139756,0.47048654025838227,-0.021766606200933403
CCCma,CanESM5,r1i1p1f1,gn,historical,1906,1906-08,8,6.178712471853984,6.675718806139756,0.47048654025838227,-0.49700633428577135
CCCma,CanESM5,r1i1p1f1,gn,historical,1907,1907-08,8,6.187708878484117,6.675718806139756,0.47048654025838227,-0.48800992765563844
CCCma,CanESM5,r1i1p1f1,gn,historical,1908,1908-08,8,5.8200831063376866,6.675718806139756,0.47048654025838227,-0.8556356998020691
CCCma,CanESM5,r1i1p1f1,gn,historical,1909,1909-08,8,6.138004985205578,6.675718806139756,0.47048654025838227,-0.5377138209341776
CCCma,CanESM5,r1i1p1f1,gn,historical,1910,1910-08,8,6.480557517005096,6.675718806139756,0.47048654025838227,-0.1951612891346599
CCCma,CanESM5,r1i1p1f1,gn,historical,1911,1911-08,8,6.774464276883661,6.675718806139756,0.47048654025838227,0.09874547074390527
CCCma,CanESM5,r1i1p1f1,gn,historical,1912,1912-08,8,7.011925691753517,6.675718806139756,0.47048654025838227,0.33620688561376166
CCCma,CanESM5,r1i1p1f1,gn,historical,1913,1913-08,8,6.459121927628451,6.675718806139756,0.47048654025838227,-0.2165968785113046
CCCma,CanESM5,r1i1p1f1,gn,historical,1914,1914-08,8,6.726762944346641,6.675718806139756,0.47048654025838227,0.05104413820688514
CCCma,CanESM5,r1i1p1f1,gn,historical,1915,1915-08,8,6.969341090690596,6.675718806139756,0.47048654025838227,0.2936222845508407
CCCma,CanESM5,r1i1p1f1,gn,historical,1916,1916-08,8,6.6101018844915265,6.675718806139756,0.47048654025838227,-0.06561692164822919
CCCma,CanESM5,r1i1p1f1,gn,historical,1917,1917-08,8,6.201652121097803,6.675718806139756,0.47048654025838227,-0.4740666850419526
CCCma,CanESM5,r1i1p1f1,gn,historical,1918,1918-08,8,6.703407992799655,6.675718806139756,0.47048654025838227,0.02768918665989961
