institution,source,member,grid,experiment,year,seb_Wm2,seb_anom_Wm2
E3SM-Project,E3SM-1-0,r1i1p1f1,gr,historical,1850,-17.391941908003872,2.0433459217425542
E3SM-Project,E3SM-1-0,r1i1p1f1,gr,historical,1851,-21.101789304200754,-1.6665014744543303
E3SM-Project,E3SM-1-0,r1i1p1f1,gr,historical,1852,-21.55520657682963,-2.119918747083206
E3SM-Project,E3SM-1-0,r1i1p1f1,gr,historical,1853,-19.53117292658567,-0.09588509683924225
E3SM-Project,E3SM-1-0,r1i1p1f1,gr,historical,1854,-18.167786588572465,1.267501241173961
E3SM-Project,E3SM-1-0,r1i1p1f1,gr,historical,1855,-17.21827486199653,2.217012967749897
E3SM-Project,E3SM-1-0,r1i1p1f1,gr,historical,1856,-14.522841340588657,4.912446489157767
E3SM-Project,E3SM-1-0,r1i1p1f1,gr,historical,1857,-14.177037547562662,5.258250282183762
E3SM-Project,E3SM-1-0,r1i1p1f1,gr,historical,1858,-17.968255832068994,1.467031997677429
E3SM-Project,E3SM-1-0,r1i1p1f1,gr,historical,1859,-18.898476593750463,0.5368112359959617
E3SM-Project,E3SM-1-0,r1i1p1f1,gr,historical,1860,-18.375559368257086,1.0597284614893392
E3SM-Project,E3SM-1-0,r1i1p1f1,gr,historical,1861,-22.43435623599014,-2.999068406243717
E3SM-Project,E3SM-1-0,r1i1p1f1,gr,historical,1862,-19.13907558606592,0.29621224368050364
E3SM-Project,E3SM-1-0,r1i1p1f1,gr,historical,1863,-19.97237201679657,-0.5370841870501447
E3SM-Project,E3SM-1-0,r1i1p1f1,gr,historical,1864,-18.133960899303272,1.3013269304431516
E3SM-Project,E3SM-1-0,r1i1p1f1,gr,historical,1865,-16.30539982691487,3.129888002831558
E3SM-Project,E3SM-1-0,r1i1p1f1,gr,historical,1866,-18.2953782824368,1.139909547309624
E3SM-Project,E3SM-1-0,r1i1p1f1,gr,historical,1867,-20.370588751090583,-0.9353009213441581
E3SM-Project,E3SM-1-0,r1i1p1f1,gr,historical,1868,-24.056151762594748,-4.620863932848323
E3SM-Project,E3SM-1-0,r1i1p1f1,gr,historical,1869,-24.90100247158203,-5.4657146418356035
E3SM-Project,E3SM-1-0,r1i1p1f1,gr,historical,1870,-19.643716920433334,-0.2084290906869087
E3SM-Project,E3SM-1-0,r1i1p1f1,gr,historical,1871,-19.53102935683078,-0.0957415270843538
E3SM-Project,E3SM-1-0,r1i1p1f1,gr,historical,1872,-19.77508703353656,-0.3397992037901371
E3SM-Project,E3SM-1-0,r1i1p1f1,gr,historical,1873,-20.860872123270795,-1.4255842935243688
E3SM-Project,E3SM-1-0,r1i1p1f1,gr,historical,1874,-19.701574284704638,-0.266286454958212
E3SM-Project,E3SM-1-0,r1i1p1f1,gr,historical,1875,-21.08249310741539,-1.647205277668969
E3SM-Project,E3SM-1-0,r1i1p1f1,gr,historical,1876,-21.174097293707593,-1.7388094639611698
E3SM-Project,E3SM-1-0,r1i1p1f1,gr,historical,1877,-19.756022390741183,-0.32073456099475717
E3SM-Project,E3SM-1-0,r1i1p1f1,gr,historical,1878,-16.7087767089067,2.726511120839726
E3SM-Project,E3SM-1-0,r1i1p1f1,gr,historical,1879,-23.46661061781798,-4.031322788071555
E3SM-Project,E3SM-1-0,r1i1p1f1,gr,historical,1880,-21.170299596317857,-1.7350117665714333
E3SM-Project,E3SM-1-0,r1i1p1f1,gr,historical,1881,-20.400209031145845,-0.9649212013994205
E3SM-Project,E3SM-1-0,r1i1p1f1,gr,historical,1882,-21.48325958691297,-2.0479717571665432
E3SM-Project,E3SM-1-0,r1i1p1f1,gr,historical,1883,-19.72539545799047,-0.2901076282440454
E3SM-Project,E3SM-1-0,r1i1p1f1,gr,historical,1884,-20.507062827086035,-1.0717749973396113
E3SM-Project,E3SM-1-0,r1i1p1f1,gr,historical,1885,-19.897993560954422,-0.46270573120799713
E3SM-Project,E3SM-1-0,r1i1p1f1,gr,historical,1886,-18.591504052176973,0.8437837775694526
E3SM-Project,E3SM-1-0,r1i1p1f1,gr,historical,1887,-23.00403010245289,-3.5687422727064697
E3SM-Project,E3SM-1-0,r1i1p1f1,gr,historical,1888,-17.99912408440377,1.436163745342656
E3SM-Project,E3SM-1-0,r1i1p1f1,gr,historical,1889,-17.040874849802098,2.3944129799443252
E3SM-Project,E3SM-1-0,r1i1p1f1,gr,historical,1890,-14.406666932585798,5.0286208971606285
E3SM-Project,E3SM-1-0,r1i1p1f1,gr,historical,1891,-16.84199997907523,2.593287850671193
E3SM-Project,E3SM-1-0,r1i1p1f1,gr,historical,1892,-18.8557440369012,0.5795437928452264
E3SM-Project,E3SM-1-0,r1i1p1f1,gr,historical,1893,-19.56790317518003,-0.13261534543360862
E3SM-Project,E3SM-1-0,r1i1p1f1,gr,historical,1894,-25.611992037288292,-6.176704207541867
