institution,source,member,grid,experiment,time,year,month,rsds_into_surface_Wm2,rlds_into_surface_Wm2,rsus_into_surface_Wm2,rlus_into_surface_Wm2,hfss_into_surface_Wm2,hfls_into_surface_Wm2,seb_Wm2,pi_clim_rsds_into_surface_Wm2,pi_clim_rlds_into_surface_Wm2,pi_clim_rsus_into_surface_Wm2,pi_clim_rlus_into_surface_Wm2,pi_clim_hfss_into_surface_Wm2,pi_clim_hfls_into_surface_Wm2,pi_clim_seb_Wm2,rsds_into_surface_Wm2_anom,rlds_into_surface_Wm2_anom,rsus_into_surface_Wm2_anom,rlus_into_surface_Wm2_anom,hfss_into_surface_Wm2_anom,hfls_into_surface_Wm2_anom,seb_anom_Wm2
E3SM-Project,E3SM-1-0,r1i1p1f1,gr,historical,1850-01,1850,1,2.079985047789729,198.3695512490731,-1.1578444596221187,-238.4666000748489,-21.519281881808134,-21.10557343293989,-81.79976355235621,1.9803929953983805,206.38518933072731,-1.0584384970237013,-244.68922173683802,-23.59070553183827,-23.25515960896858,-84.22794304854285,0.09959205239134827,-8.015638081654203,-0.09940596259841739,6.222621661989109,2.0714236500301375,2.149586176028688,2.428179496186644
E3SM-Project,E3SM-1-0,r1i1p1f1,gr,historical,1850-02,1850,2,11.748620681584855,204.6486188970681,-6.999345757612401,-241.54319238598922,-15.170172996185846,-17.776357252982287,-65.09182881411677,11.499855979571697,202.57119220384334,-7.0678624015390135,-239.62390010561452,-21.31567340442744,-22.062301948780863,-75.99868967694684,0.24876470201315826,2.0774266932247656,0.06851664392661228,-1.919292280374691,6.145500408241594,4.285944695798577,10.906860862830072
E3SM-Project,E3SM-1-0,r1i1p1f1,gr,historical,1850-03,1850,3,53.91125918764936,201.66871747832482,-36.27280168350761,-240.11817967186613,-15.895353580049045,-17.31540896141215,-54.02176723086076,52.62025171782695,207.7701031640561,-35.25712787047671,-244.61899585662508,-17.74343650465198,-19.270102524447015,-56.49930787431771,1.2910074698224037,-6.101385685731287,-1.0156738130309009,4.500816184758946,1.8480829246029362,1.9546935630348656,2.4775406434569476
E3SM-Project,E3SM-1-0,r1i1p1f1,gr,historical,1850-04,1850,4,140.72140065853526,225.99511518628594,-95.73751751594101,-264.44171846402156,-13.838573378170755,-16.757574189479502,-24.058867702791666,138.57074550143616,229.44059288532702,-94.55641666967912,-265.871116331771,-13.125262677958926,-16.0054256109128,-21.546882903558632,2.150655157099095,-3.445477699041078,-1.1811008462618844,1.4293978677494579,-0.7133107002118297,-0.7521485785667039,-2.5119847992330335
E3SM-Project,E3SM-1-0,r1i1p1f1,gr,historical,1850-05,1850,5,213.75924774945878,273.12756348527347,-126.98081652102132,-305.21789190540994,-3.1212184921355863,-13.622403105864747,37.94448121030065,215.07722466567506,267.6238317120091,-131.9190062899738,-299.9456354669063,-5.746261212883994,-14.207474135563544,30.88267927235651,-1.3179769162162813,5.503731773264349,4.938189768952469,-5.272256438503632,2.6250427207484073,0.5850710296987973,7.061801937944143
E3SM-Project,E3SM-1-0,r1i1p1f1,gr,historical,1850-06,1850,6,216.31882487050933,300.0064366638678,-94.23057978134267,-321.79448419259796,0.37257068767591367,-7.269195675880951,93.40357257223154,220.77135707620587,296.33764834370476,-99.21917702368532,-320.6942890095195,-1.272451514743441,-10.790252819160635,85.13283505280175,-4.452532205696542,3.66878832016306,4.9885972423426495,-1.1001951830784833,1.6450222024193546,3.521057143279684,8.270737519429787
E3SM-Project,E3SM-1-0,r1i1p1f1,gr,historical,1850-07,1850,7,168.17124140570272,310.6586002741601,-51.88502801646275,-328.7231384658495,-1.335130320521549,-10.102611488959088,86.78393338806998,166.70019190970564,310.32685953499913,-50.4107420242293,-328.09110746123986,-0.5837518496373341,-8.600698065733846,89.34075204386441,1.4710494959970788,0.3317407391609777,-1.4742859922334475,-0.6320310046096438,-0.7513784708842149,-1.5019134232252416,-2.55681865579443
E3SM-Project,E3SM-1-0,r1i1p1f1,gr,historical,1850-08,1850,8,97.1249559144674,311.40381980692337,-21.71426738323,-329.4027419906758,-0.7615982527462711,-13.263383228191913,43.38678486654683,105.64779009335587,309.45042378581365,-24.22960461282379,-329.5172255992562,-0.8640484159641316,-11.76280419205408,48.72453105907134,-8.52283417888846,1.953396021109711,2.51533722959379,0.11448360858042861,0.10245016321786049,-1.5005790361378324,-5.337746192524506
E3SM-Project,E3SM-1-0,r1i1p1f1,gr,historical,1850-09,1850,9,51.06033589380866,301.19974244562997,-11.285338283210754,-324.350893969503,-3.113774629753298,-18.966540308724248,-5.456468851752664,53.68743577359356,297.0785265846577,-11.672498329493566,-323.80096392014366,-4.870209823595728,-21.074806744672447,-10.652516459654105,-2.6270998797849003,4.1212158609722565,0.387160046282812,-0.5499300493593182,1.7564351938424294,2.108266435948199,5.196047607901441
E3SM-Project,E3SM-1-0,r1i1p1f1,gr,historical,1850-10,1850,10,16.481543106358423,276.19735093780616,-3.714848481187366,-308.40993069272355,-12.885273296114317,-27.28859970404886,-59.61975812990951,15.982810130814185,274.80588406019496,-3.444666842545829,-307.12593092278354,-14.922772273638575,-27.97091481836721,-62.67559066632604,0.4987329755442378,1.391466877611208,-0.270181638641537,-1.28399976994001,2.0374989775242582,0.6823151143183495,3.055832536416524
