institution,source,member,grid,experiment,year,seb_Wm2,seb_anom_Wm2
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1850,-19.69238297548783,-1.5483445095510981
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1851,-17.008842894950426,1.1351955709863075
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1852,-19.234756183858252,-1.0907177179215177
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1853,-16.562715938193787,1.5813225277429483
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1854,-19.95738879419281,-1.8133503282560761
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1855,-21.05007231985438,-2.906033853917645
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1856,-18.625164349568145,-0.48112588363141057
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1857,-19.15557422317192,-1.011535757235186
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1858,-19.433343115830635,-1.289304649893899
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1859,-17.955345305622036,0.18869316031469582
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1860,-16.805379432594705,1.3386590333420287
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1861,-18.794483127880167,-0.6504446619434314
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1862,-18.23340312493156,-0.08936465899482442
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1863,-21.796321941696405,-3.6522834757596705
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1864,-20.374344121468358,-2.2303056555316227
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1865,-20.23567667683092,-2.0916382108941844
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1866,-17.67789188774599,0.46614657819074584
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1867,-17.733019118962474,0.4110193469742593
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1868,-22.0367320064739,-3.892693540537168
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1869,-24.227027570093053,-6.082989104156321
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1870,-17.380402765576964,0.7636357003597679
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1871,-15.750081538452788,2.393956927483947
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1872,-18.977166258602818,-0.8331277926660817
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1873,-17.116377773263803,1.0276606926729286
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1874,-24.356473411345934,-6.2124349454092025
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1875,-16.941801234456406,1.2022372314803276
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1876,-16.324623766235106,1.8194146997016258
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1877,-18.166020839639668,-0.021982373702931508
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1878,-17.889836646242745,0.25420181969398953
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1879,-17.395675703829564,0.7483627621071692
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1880,-20.170086625850384,-2.026048159913651
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1881,-18.515920023474866,-0.37188155753813296
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1882,-14.688061291183663,3.45597717475307
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1883,-17.78360736928261,0.36043109665412487
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1884,-23.025255284126064,-4.881216818189333
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1885,-22.554528603553265,-4.4104901376165335
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1886,-21.525550154998566,-3.3815116890618313
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1887,-19.138999000856725,-0.9949605349199918
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1888,-18.348793242990745,-0.2047547770540108
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1889,-16.486881470083162,1.6571569958535715
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1890,-23.205321402173496,-5.061282936236759
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1891,-19.275090828983785,-1.1310523630470513
