institution,source,member,grid,experiment,time,year,month,rsds_into_surface_Wm2,rlds_into_surface_Wm2,rsus_into_surface_Wm2,rlus_into_surface_Wm2,hfss_into_surface_Wm2,hfls_into_surface_Wm2,seb_Wm2,pi_clim_rsds_into_surface_Wm2,pi_clim_rlds_into_surface_Wm2,pi_clim_rsus_into_surface_Wm2,pi_clim_rlus_into_surface_Wm2,pi_clim_hfss_into_surface_Wm2,pi_clim_hfls_into_surface_Wm2,pi_clim_seb_Wm2,rsds_into_surface_Wm2_anom,rlds_into_surface_Wm2_anom,rsus_into_surface_Wm2_anom,rlus_into_surface_Wm2_anom,hfss_into_surface_Wm2_anom,hfls_into_surface_Wm2_anom,seb_anom_Wm2
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1850-01,1850,1,2.1125255158330085,201.6927116749094,-1.2658080917175054,-236.37742108815877,-25.912547150077632,-23.558530131902373,-83.30906927111388,2.013839893598153,201.97879290319,-1.1307697086135773,-238.5302556039666,-22.861786354319513,-20.967087246539666,-79.499861969985,0.09868562223485533,-0.286081228280608,-0.13503838310392813,2.1528345158078253,-3.0507607957581193,-2.5914428853627065,-3.809207301128879
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1850-02,1850,2,11.281774256945148,215.90224242053247,-6.996107648959687,-245.9567271653496,-17.139527090049665,-20.151954384931287,-63.060299611812624,11.675137615922567,197.74162322111363,-7.362345696515222,-233.5932879888294,-17.789076637597212,-18.379705923832724,-66.26391086661533,-0.39336335897741925,18.160619199418846,0.3662380475555347,-12.363439176520217,0.6495495475475472,-1.7722484610985632,3.203611254802709
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1850-03,1850,3,50.870597508940776,216.0492895973113,-34.72194943677461,-248.47555407837555,-22.550486507277196,-25.784661938778626,-64.6127648549539,53.44289815565798,202.950784844581,-36.54748703998287,-238.98845825945432,-14.48634858830078,-15.229565298833261,-49.11622475811516,-2.5723006467172027,13.098504752730292,1.8255376032082609,-9.487095818921233,-8.064137918976416,-10.555096639945365,-15.496540096838736
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1850-04,1850,4,137.0376057146618,234.00986622934002,-94.10864539007966,-267.8963036073209,-15.56319507035428,-17.275173306546318,-23.795845430299345,141.08695609252763,224.36612574594315,-98.42485638338633,-260.49000558623504,-11.456936898379713,-12.749794008529287,-18.742686029039806,-4.049350377865835,9.643740483396869,4.316210993306669,-7.406298021085831,-4.1062581719745666,-4.525379298017031,-5.053159401259538
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1850-05,1850,5,214.98933408162634,266.36111927553304,-134.13619455347185,-298.08348591404064,-5.700651970051047,-15.516568922549643,27.9135519970462,217.54378778768773,264.2816188578423,-138.9980046630149,-296.14392070836305,-5.444279738794196,-11.853455348838008,26.11336411884156,-2.5544537060613948,2.079500417690724,4.8618101095430575,-1.9395652056775816,-0.2563722312568508,-3.6631135737116356,1.800187878204639
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1850-06,1850,6,212.8568582819168,297.51829329419803,-94.76955239911784,-320.6856717431359,-0.8358596918493936,-10.085346476046237,83.99872126596543,222.64540616512954,293.5487363045522,-110.1892684352568,-318.03201298665687,-1.0338195382817372,-10.24792752834762,70.2850870367838,-9.788547883212743,3.9695569896458096,15.419716036138965,-2.6536587564790466,0.19795984643234366,0.16258105230138398,13.713634229181622
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1850-07,1850,7,163.41021369866604,309.5769241333246,-51.822715802538525,-327.16529046222274,-0.8592433183985279,-9.302539320172977,83.83734892865786,166.05144258870772,307.41584237819944,-57.27982093821807,-325.363418754959,-0.26100609378978956,-8.62568332559564,79.20552721273542,-2.641228890041674,2.161081755125167,5.457105135679548,-1.8018717072637287,-0.5982372246087383,-0.6768559945773376,4.631821715922442
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1850-08,1850,8,107.99186356349705,308.57045566995686,-28.630484137171706,-328.18213247421704,0.5492267025673125,-8.87223820357253,51.426691121059896,106.27676613708078,307.26321665311616,-30.02004134071294,-326.2589906556661,-0.6243046066472071,-10.578454842077722,44.15178402227942,1.7150974264162642,1.3072390168406969,1.3895572035412336,-1.9231418185509597,1.1735313092145196,1.7062166385051913,7.274907098780474
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1850-09,1850,9,56.27330685439428,295.549308587425,-15.488794650257354,-321.6283630320034,-5.060105721241591,-20.618418080288972,-10.973066041972064,54.94612387742435,293.48003971166025,-15.31158775162696,-319.3097888863337,-6.4415186007853675,-20.137103367938145,-13.86801550369199,1.3271829769699295,2.069268875764749,-0.17720689863039496,-2.318574145669686,1.3814128795437766,-0.48131471235082657,2.894949461719925
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1850-10,1850,10,16.505104736211216,266.891464524874,-5.092039039099811,-300.10488191107646,-14.749929689439904,-24.83251847286303,-61.38279985139402,16.48148701316319,268.4605584080157,-4.632854182112636,-300.1437790375393,-15.106271274691348,-24.05688514648307,-58.70399989890873,0.023617723048026562,-1.5690938831417043,-0.45918485698717504,0.03889712646281396,0.3563415852514442,-0.7756333263799604,-2.678799952485292
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1850-11,1850,11,2.888409561983008,235.23531066553602,-0.8130459540400754,-273.39607881842255,-24.766085460326657,-28.35485107547891,-89.20634108074917,2.957286102012466,237.70916863954596,-0.8118714003467553,-273.715360761808,-20.50225575764301,-22.093788856642067,-76.02177855287024,-0.06887654002945798,-2.4738579740099453,-0.0011745536933200906,0.3192819433854197,-4.263829702683648,-6.261062218836841,-13.184562527878924
