institution,source,member,siconc_grid,experiment,time,year,month,sia_Mkm2,pi_clim_sia_Mkm2,sia_anom_Mkm2
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1850-01,1850,1,12.866804545156269,12.71073050495603,0.15607404020023807
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1850-02,1850,2,12.927170285863935,13.080339320867374,-0.15316903500343848
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1850-03,1850,3,12.859427089859254,13.194749281081773,-0.3353221912225184
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1850-04,1850,4,12.811857209629057,12.935942411086883,-0.12408520145782553
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1850-05,1850,5,11.377090840549965,11.649231664066448,-0.2721408235164837
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1850-06,1850,6,9.484103535822145,9.959573801413983,-0.4754702655918379
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1850-07,1850,7,7.917863126348247,8.3000876816458,-0.3822245552975536
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1850-08,1850,8,6.435632723760974,6.692120761098942,-0.2564880373379683
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1850-09,1850,9,5.829659880112828,6.03406357736994,-0.20440369725711172
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1850-10,1850,10,7.8544235905814315,7.886854726076276,-0.032431135494844554
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1850-11,1850,11,10.076489345607284,10.153988238532676,-0.07749889292539258
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1850-12,1850,12,11.865143107441412,11.811870982691465,0.053272124749947025
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1851-01,1851,1,12.74589620755079,12.71073050495603,0.035165702594758486
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1851-02,1851,2,12.968660076837523,13.080339320867374,-0.11167924402985108
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1851-03,1851,3,13.056208436185154,13.194749281081773,-0.13854084489661922
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1851-04,1851,4,12.992644010562422,12.935942411086883,0.056701599475539766
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1851-05,1851,5,11.707129086531049,11.649231664066448,0.05789742246460072
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1851-06,1851,6,10.078368595517805,9.959573801413983,0.1187947941038221
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1851-07,1851,7,8.317843831939102,8.3000876816458,0.017756150293301687
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1851-08,1851,8,6.590657545436361,6.692120761098942,-0.10146321566258099
