institution,source,member,siconc_grid,experiment,year,summer_min_time,summer_min_month,summer_min_sia_Mkm2,piControl_mean_summer_min_sia_Mkm2,piControl_std_summer_min_sia_Mkm2,summer_min_sia_anom_Mkm2
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1850,1850-09,9,5.829659880112828,6.034063577369939,0.43618598217432203,-0.20440369725711083
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1851,1851-09,9,5.8603346763236015,6.034063577369939,0.43618598217432203,-0.17372890104633765
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1852,1852-09,9,6.1334471186385855,6.034063577369939,0.43618598217432203,0.09938354126864635
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1853,1853-09,9,6.137628540358799,6.034063577369939,0.43618598217432203,0.10356496298885975
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1854,1854-09,9,5.5014167041446305,6.034063577369939,0.43618598217432203,-0.5326468732253087
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1855,1855-09,9,5.828658263214131,6.034063577369939,0.43618598217432203,-0.20540531415580787
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1856,1856-09,9,5.6956862751401,6.034063577369939,0.43618598217432203,-0.33837730222983886
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1857,1857-09,9,5.78875282070729,6.034063577369939,0.43618598217432203,-0.2453107566626489
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1858,1858-09,9,6.486913465675691,6.034063577369939,0.43618598217432203,0.4528498883057521
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1859,1859-09,9,6.097617611348795,6.034063577369939,0.43618598217432203,0.06355403397885606
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1860,1860-09,9,6.540191610114119,6.034063577369939,0.43618598217432203,0.5061280327441802
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1861,1861-09,9,5.96784155755523,6.034063577369939,0.43618598217432203,-0.06622201981470877
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1862,1862-09,9,6.152286181935899,6.034063577369939,0.43618598217432203,0.11822260456596023
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,historical,1863,1863-09,9,6.651769879012839,6.034063577369939,0.43618598217432203,0.6177063016429001
