institution,source,member,siconc_grid,experiment,time,year,month,sia_Mkm2,pi_clim_sia_Mkm2,sia_anom_Mkm2
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,historical,1850-01,1850,1,14.561669479481958,14.35951370248691,0.20215577699504905
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,historical,1850-02,1850,2,15.018936132287266,14.799408023928843,0.21952810835842307
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,historical,1850-03,1850,3,15.110390514892117,14.89737057284081,0.21301994205130725
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,historical,1850-04,1850,4,14.691759586513543,14.426237005561758,0.26552258095178516
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,historical,1850-05,1850,5,13.147762945679656,12.662866575378182,0.4848963703014739
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,historical,1850-06,1850,6,11.065097929505848,10.606135874806176,0.458962054699672
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,historical,1850-07,1850,7,8.704703831491141,8.461509207317528,0.24319462417361315
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,historical,1850-08,1850,8,6.388846282754255,6.4175169418541405,-0.028670659099885754
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,historical,1850-09,1850,9,5.40143343159789,5.605723881188186,-0.20429044959029596
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,historical,1850-10,1850,10,7.6423886007172195,7.851835153899614,-0.2094465531823948
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,historical,1850-11,1850,11,10.846336844305435,10.892860812145306,-0.046523967839871005
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,historical,1850-12,1850,12,13.500727067703641,13.191488489771698,0.30923857793194287
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,historical,1851-01,1851,1,14.831558776278618,14.35951370248691,0.47204507379170835
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,historical,1851-02,1851,2,15.422262865490826,14.799408023928843,0.622854841561983
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,historical,1851-03,1851,3,15.409927385200978,14.89737057284081,0.5125568123601685
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,historical,1851-04,1851,4,14.407587330989063,14.426237005561758,-0.018649674572694508
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,historical,1851-05,1851,5,12.712593658651194,12.662866575378182,0.04972708327301234
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,historical,1851-06,1851,6,10.565219905956374,10.606135874806176,-0.0409159688498022
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,historical,1851-07,1851,7,8.059774958207084,8.461509207317528,-0.40173424911044364
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,historical,1851-08,1851,8,5.711803972132468,6.4175169418541405,-0.7057129697216729
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,historical,1851-09,1851,9,4.62311834937055,5.605723881188186,-0.9826055318176357
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,historical,1851-10,1851,10,7.1122271316410055,7.851835153899614,-0.7396080222586088
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,historical,1851-11,1851,11,10.687436272110784,10.892860812145306,-0.2054245400345227
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,historical,1851-12,1851,12,13.586053861358824,13.191488489771698,0.39456537158712557
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,historical,1852-01,1852,1,14.774113897449809,14.35951370248691,0.41460019496289924
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,historical,1852-02,1852,2,15.121927833909801,14.799408023928843,0.3225198099809585
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,historical,1852-03,1852,3,15.267647079556546,14.89737057284081,0.37027650671573653
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,historical,1852-04,1852,4,14.651201214693637,14.426237005561758,0.22496420913187976
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,historical,1852-05,1852,5,12.773698803793891,12.662866575378182,0.11083222841570972
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,historical,1852-06,1852,6,10.362303949868632,10.606135874806176,-0.24383192493754358
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,historical,1852-07,1852,7,7.753611563507305,8.461509207317528,-0.7078976438102229
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,historical,1852-08,1852,8,5.681499147804329,6.4175169418541405,-0.7360177940498112
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,historical,1852-09,1852,9,4.859369755539942,5.605723881188186,-0.746354125648244
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,historical,1852-10,1852,10,6.820282528649804,7.851835153899614,-1.0315526252498106
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,historical,1852-11,1852,11,9.831653066900115,10.892860812145306,-1.0612077452451913
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,historical,1852-12,1852,12,12.578837855686698,13.191488489771698,-0.612650634085
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,historical,1853-01,1853,1,14.144140103687882,14.35951370248691,-0.21537359879902773
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,historical,1853-02,1853,2,14.25914539645266,14.799408023928843,-0.5402626274761833
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,historical,1853-03,1853,3,14.3286975952176,14.89737057284081,-0.5686729776232102
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,historical,1853-04,1853,4,14.121025828721336,14.426237005561758,-0.3052111768404213
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,historical,1853-05,1853,5,12.376807644816065,12.662866575378182,-0.28605893056211684
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,historical,1853-06,1853,6,10.113964738812955,10.606135874806176,-0.49217113599322104
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,historical,1853-07,1853,7,7.638036443315087,8.461509207317528,-0.8234727640024406
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,historical,1853-08,1853,8,5.450956879216251,6.4175169418541405,-0.9665600626378898
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,historical,1853-09,1853,9,4.464374736964779,5.605723881188186,-1.1413491442234065
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,historical,1853-10,1853,10,6.225056965261331,7.851835153899614,-1.6267781886382835
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,historical,1853-11,1853,11,9.216866677483221,10.892860812145306,-1.6759941346620852
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,historical,1853-12,1853,12,12.479620775760681,13.191488489771698,-0.7118677140110172
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,historical,1854-01,1854,1,14.048810736600853,14.35951370248691,-0.3107029658860565
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,historical,1854-02,1854,2,14.717498581332633,14.799408023928843,-0.08190944259620991
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,historical,1854-03,1854,3,14.868212831083575,14.89737057284081,-0.029157741757234845
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,historical,1854-04,1854,4,14.486555822988809,14.426237005561758,0.06031881742705103
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,historical,1854-05,1854,5,12.699578321207126,12.662866575378182,0.036711745828943876
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,historical,1854-06,1854,6,10.409888975546494,10.606135874806176,-0.1962468992596822
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,historical,1854-07,1854,7,7.8729798930748185,8.461509207317528,-0.5885293142427095
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,historical,1854-08,1854,8,5.596259543309683,6.4175169418541405,-0.8212573985444571
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,historical,1854-09,1854,9,4.66161982046499,5.605723881188186,-0.9441040607231956
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,historical,1854-10,1854,10,7.002480557679395,7.851835153899614,-0.8493545962202189
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,historical,1854-11,1854,11,10.386714175300792,10.892860812145306,-0.5061466368445142
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,historical,1854-12,1854,12,13.081852298242099,13.191488489771698,-0.10963619152959936
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,historical,1855-01,1855,1,14.154603449715406,14.35951370248691,-0.2049102527715032
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,historical,1855-02,1855,2,14.700695933398476,14.799408023928843,-0.09871209053036623
