institution,source,member,grid,experiment,year,seb_Wm2,seb_anom_Wm2
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,historical,1850,-18.904798914335686,-1.9181179361532117
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,historical,1851,-15.614599719561786,1.3720812586206865
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,historical,1852,-14.618457202193255,2.368223775989217
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,historical,1853,-19.22720301591202,-2.2405220377295496
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,historical,1854,-20.967408084591934,-3.9807271064094603
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,historical,1855,-17.11709143125472,-0.1304104530722463
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,historical,1856,-17.407420138361786,-0.420739160179314
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,historical,1857,-17.883111835768876,-0.8964308575864042
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,historical,1858,-19.13800693845352,-2.151325960271046
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,historical,1859,-20.13997215220934,-3.1532911740268665
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,historical,1860,-16.818932349432284,0.16774862875018867
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,historical,1861,-19.13673290324765,-2.15005192506518
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,historical,1862,-18.48896553937816,-1.502284561195686
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,historical,1863,-18.06256314457575,-1.0758821663932794
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,historical,1864,-19.45628500391673,-2.4696040257342555
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,historical,1865,-18.498681498551573,-1.5120005203691003
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,historical,1866,-18.56477513841155,-1.5780941602290781
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,historical,1867,-19.349103558721165,-2.362422580538693
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,historical,1868,-22.900250559322625,-5.9135695811401545
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,historical,1869,-21.236075447229524,-4.2493944690470515
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,historical,1870,-17.6681516242793,-0.6814706460968272
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,historical,1871,-22.573972673230724,-5.587291695048253
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,historical,1872,-22.26602929663551,-5.279348318453039
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,historical,1873,-21.08351805962201,-4.096837081439534
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,historical,1874,-20.128020823713303,-3.141339845530831
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,historical,1875,-22.231921167107647,-5.245240188925176
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,historical,1876,-23.589329479997122,-6.602648501814649
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,historical,1877,-21.058988169902396,-4.072307191719925
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,historical,1878,-18.20766355815513,-1.2209825799726566
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,historical,1879,-22.88940038119775,-5.902719403015278
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,historical,1880,-17.05052121413136,-0.06384023594888862
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,historical,1881,-20.164619137325996,-3.177938159143521
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,historical,1882,-22.352987190009813,-5.36630621182734
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,historical,1883,-20.870925028007086,-3.884244049824613
