institution,source,member,grid,experiment,year,seb_Wm2,seb_anom_Wm2
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,historical,1850,-19.873435540442628,-0.3700842945244191
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,historical,1851,-20.844904065840705,-1.3415528199224929
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,historical,1852,-22.131360105225372,-2.628008859307165
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,historical,1853,-20.49197634881337,-0.9886251028951595
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,historical,1854,-23.499194132670482,-3.995842886752273
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,historical,1855,-18.061036338110338,1.442314907807873
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,historical,1856,-19.740112048512497,-0.2367608025942897
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,historical,1857,-23.92980977123435,-4.426458525316142
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,historical,1858,-21.444732943678748,-1.9413816977605398
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,historical,1859,-23.696814338715246,-4.193463092797039
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,historical,1860,-21.8533389249944,-2.3499876790761878
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,historical,1861,-22.38938848382548,-2.8860372379072694
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,historical,1862,-21.924232373441907,-2.4208811275236974
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,historical,1863,-22.427153637595968,-2.923802391677757
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,historical,1864,-23.67624981649973,-4.172898570581521
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,historical,1865,-24.554662893799815,-5.051311647881604
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,historical,1866,-23.433739093329333,-3.930387847411124
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,historical,1867,-23.272732748248444,-3.7693815023302366
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,historical,1868,-24.85392489289141,-5.350573646973203
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,historical,1869,-23.92686079002313,-4.423509544104922
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,historical,1870,-23.941416856408164,-4.438065610489953
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,historical,1871,-22.011248538926754,-2.5078972930085466
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,historical,1872,-21.76413908143654,-2.260787835518331
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,historical,1873,-21.103649033353676,-1.6002977874354667
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,historical,1874,-19.881567654481604,-0.37821640856339583
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,historical,1875,-22.14765695347803,-2.6443057075598175
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,historical,1876,-22.557885129297873,-3.0545338833796642
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,historical,1877,-15.98975466612275,3.513596579795459
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,historical,1878,-21.27073491740801,-1.7673836714897995
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,historical,1879,-19.01197566775147,0.49137557816673755
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,historical,1880,-21.48868577979387,-1.9853345338756598
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,historical,1881,-19.98592344729095,-0.48257220137274154
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,historical,1882,-17.39341455981502,2.1099366861031874
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,historical,1883,-24.642098093249274,-5.138746847331063
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,historical,1884,-27.11007887687607,-7.6067276309578595
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,historical,1885,-21.085024704176977,-1.5816734582587693
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,historical,1886,-19.209885162301678,0.2934660836165304
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,historical,1887,-21.847755570136126,-2.3444043242179156
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,historical,1888,-18.064341480756138,1.4390097651620721
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,historical,1889,-18.609643929977608,0.8937073159406013
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,historical,1890,-19.298099242334484,0.20525200358372478
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,historical,1891,-22.09396859876253,-2.590617352844324
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,historical,1892,-22.53868809766351,-3.0353368517452988
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,historical,1893,-20.568864599938937,-1.0655133540207273
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,historical,1894,-18.50520317149945,0.9981480744187592
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,historical,1895,-18.810777355334682,0.6925738905835249
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,historical,1896,-19.31885787015157,0.18449337576663835
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,historical,1897,-20.39018474320127,-0.8868334972830595
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,historical,1898,-21.343473177729663,-1.840121931811453
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,historical,1899,-21.05097814983479,-1.5476269039165806
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,historical,1900,-18.784884289022376,0.7184669568958344
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,historical,1901,-17.450006197840462,2.0533450480777486
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,historical,1902,-23.11328509561166,-3.6099338496934474
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,historical,1903,-19.424362319708365,0.07898892620984392
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,historical,1904,-21.9237280061987,-2.420376760280494
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,historical,1905,-19.311945638049437,0.19140560786877256
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,historical,1906,-15.35806171715449,4.14528952876372
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,historical,1907,-19.409364843757533,0.09398640216067526
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,historical,1908,-20.114158580271063,-0.6108073343528536
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,historical,1909,-19.75163715593673,-0.24828591001852138
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,historical,1910,-17.577801409264055,1.9255498366541535
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,historical,1911,-18.58880327727289,0.9145479686453156
