institution,source,member,siconc_grid,experiment,time,year,month,sia_Mkm2,pi_clim_sia_Mkm2,sia_anom_Mkm2
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gn,historical,1850-01,1850,1,13.318422550284176,13.795031720786051,-0.47660917050187557
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gn,historical,1850-02,1850,2,13.62022393198571,13.990164531841064,-0.36994059985535444
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gn,historical,1850-03,1850,3,13.575954405810922,14.004688261260165,-0.42873385544924325
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gn,historical,1850-04,1850,4,13.160984010089585,13.781427102951977,-0.6204430928623914
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gn,historical,1850-05,1850,5,12.00959150854631,12.808329137433642,-0.7987376288873325
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gn,historical,1850-06,1850,6,10.077283355554487,10.720934638389092,-0.6436512828346057
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gn,historical,1850-07,1850,7,8.020858818661896,8.494459305557134,-0.47360048689523815
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gn,historical,1850-08,1850,8,6.799495453162417,7.0526463238385,-0.253150870676083
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gn,historical,1850-09,1850,9,8.015004707100566,8.105197231611642,-0.0901925245110764
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gn,historical,1850-10,1850,10,9.501752984748144,10.12573489317978,-0.6239819084316363
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gn,historical,1850-11,1850,11,11.31708097797593,12.082138855982901,-0.7650578780069708
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gn,historical,1850-12,1850,12,12.545614229945926,13.270253347252748,-0.7246391173068218
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gn,historical,1851-01,1851,1,12.923374346731409,13.795031720786051,-0.8716573740546423
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gn,historical,1851-02,1851,2,12.923505261836334,13.990164531841064,-1.0666592700047293
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gn,historical,1851-03,1851,3,12.971904661982864,14.004688261260165,-1.0327835992773018
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gn,historical,1851-04,1851,4,13.028835505787631,13.781427102951977,-0.7525915971643453
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gn,historical,1851-05,1851,5,12.241640062788496,12.808329137433642,-0.5666890746451454
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gn,historical,1851-06,1851,6,10.134186750719858,10.720934638389092,-0.5867478876692349
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gn,historical,1851-07,1851,7,7.837173768341112,8.494459305557134,-0.6572855372160227
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gn,historical,1851-08,1851,8,6.2361938754496515,7.0526463238385,-0.8164524483888487
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gn,historical,1851-09,1851,9,7.380867447747015,8.105197231611642,-0.7243297838646274
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gn,historical,1851-10,1851,10,9.84314517270952,10.12573489317978,-0.282589720470261
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gn,historical,1851-11,1851,11,11.330267992315703,12.082138855982901,-0.7518708636671985
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gn,historical,1851-12,1851,12,12.233528618333226,13.270253347252748,-1.0367247289195216
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gn,historical,1852-01,1852,1,13.262453625988442,13.795031720786051,-0.5325780947976089
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gn,historical,1852-02,1852,2,13.434074219727938,13.990164531841064,-0.5560903121131258
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gn,historical,1852-03,1852,3,13.780059831913793,14.004688261260165,-0.22462842934637273
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gn,historical,1852-04,1852,4,13.553736089586742,13.781427102951977,-0.22769101336523434
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gn,historical,1852-05,1852,5,12.23891269644995,12.808329137433642,-0.5694164409836926
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gn,historical,1852-06,1852,6,10.09428358759766,10.720934638389092,-0.6266510507914322
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gn,historical,1852-07,1852,7,7.757928569666168,8.494459305557134,-0.7365307358909661
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gn,historical,1852-08,1852,8,6.547801182446412,7.0526463238385,-0.5048451413920878
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gn,historical,1852-09,1852,9,6.884357121802625,8.105197231611642,-1.220840109809017
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gn,historical,1852-10,1852,10,8.327464897334233,10.12573489317978,-1.7982699958455477
