institution,source,member,grid,experiment,year,seb_Wm2,seb_anom_Wm2
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1850,-21.25034297273149,0.24486707784789866
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1851,-21.03762088322335,0.4575891673560406
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1852,-22.265970622304582,-0.7707605717251962
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1853,-20.08549293324001,1.4097171173393788
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1854,-21.70219606726968,-0.2069860166902866
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1855,-21.10620931896624,0.38900073161314835
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1856,-17.53648575119239,3.9587242993869975
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1857,-20.0870219506809,1.4081880998984897
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1858,-21.069964973016496,0.4252450775628942
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1859,-17.452691565553042,4.0425184850263465
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1860,-23.12978515725385,-1.6345751066744612
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1861,-21.15207361772173,0.34313643285765866
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1862,-21.936566212111885,-0.4413561615324957
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1863,-24.24213082892045,-2.746920778341057
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1864,-24.514289598253214,-3.019079547673821
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1865,-25.18775098077208,-3.6925409301926906
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1866,-20.09464915137583,1.40056089920356
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1867,-21.211163275832813,0.2840467747465767
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1868,-20.181837390396982,1.3133726601824096
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1869,-24.48217900446946,-2.986968953890072
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1870,-23.452346335178245,-1.9571362845988525
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1871,-19.98000762721976,1.5152024233596306
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1872,-21.411141734397773,0.08406831618161477
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1873,-20.978220922503922,0.5169891280754665
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1874,-22.51023406377472,-1.015024013195333
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1875,-18.111947096101662,3.3832629544777273
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1876,-22.603804213578275,-1.108594162998889
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1877,-19.324073784987267,2.1711362655921254
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1878,-22.029547640306234,-0.5343375897268424
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1879,-20.58838801909086,0.9068220314885287
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1880,-19.674861257627185,1.8203487929522044
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1881,-21.917639575571528,-0.42242952499213837
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1882,-18.31359021118659,3.1816198393928006
