institution,source,member,grid,experiment,time,year,month,rsds_into_surface_Wm2,rlds_into_surface_Wm2,rsus_into_surface_Wm2,rlus_into_surface_Wm2,hfss_into_surface_Wm2,hfls_into_surface_Wm2,seb_Wm2,pi_clim_rsds_into_surface_Wm2,pi_clim_rlds_into_surface_Wm2,pi_clim_rsus_into_surface_Wm2,pi_clim_rlus_into_surface_Wm2,pi_clim_hfss_into_surface_Wm2,pi_clim_hfls_into_surface_Wm2,pi_clim_seb_Wm2,rsds_into_surface_Wm2_anom,rlds_into_surface_Wm2_anom,rsus_into_surface_Wm2_anom,rlus_into_surface_Wm2_anom,hfss_into_surface_Wm2_anom,hfls_into_surface_Wm2_anom,seb_anom_Wm2
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1850-01,1850,1,1.9156202786726257,148.81234043776578,-1.0123561631346578,-194.08093501210232,-11.148310003868342,-14.068395959329997,-69.58203642199689,1.8874779521945015,150.63579087708905,-1.0159150283794933,-194.47372872451973,-10.174915026770043,-13.338119177133633,-66.47940912751936,0.028142326478124202,-1.823450439323267,0.0035588652448355074,0.392793712417415,-0.9733949770982999,-0.7302767821963645,-3.1026272944775286
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1850-02,1850,2,11.77781737742772,160.87001041137174,-7.492245357553425,-203.3249529603125,-8.561751498187082,-12.675030958070458,-59.406152985324006,11.949909368109298,152.08676249313095,-7.55490545026998,-194.571567138781,-8.298759074884785,-12.537736325765612,-58.92629612846117,-0.17209199068157766,8.78324791824079,0.06266009271655548,-8.75338582153148,-0.2629924233022969,-0.13729463230484562,-0.4798568568628383
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1850-03,1850,3,57.788225749949554,165.52536829743096,-41.19286343694634,-209.02804571883811,-6.585241960415687,-11.349739038752023,-44.84229610757164,58.25222189759429,160.3535591169056,-41.18205243977837,-203.61446859905422,-6.771281558546,-11.426244372802726,-44.388265955681405,-0.4639961476447354,5.171809180525372,-0.010810997167972403,-5.413577119783895,0.18603959813031246,0.0765053340507027,-0.45403015189023677
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1850-04,1850,4,160.79802099586203,181.58291095294405,-118.2215466299168,-229.21516118675387,-5.902499144975749,-10.287797197884965,-21.24607221072535,160.70062667808514,181.83119394722468,-117.85089919880946,-229.0374739652781,-5.674292385093888,-10.156911938244583,-20.187756862116238,0.09739431777688878,-0.24828299428062905,-0.37064743110734355,-0.17768722147576455,-0.22820675988186157,-0.13088525964038134,-1.0583153486091135
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1850-05,1850,5,262.39530035409996,221.5857355382602,-188.003445367606,-268.5328430934039,-4.746057939817335,-9.384043279217922,13.31464621231501,259.462372756689,223.02127650574738,-188.10932996709553,-269.2034320868119,-4.741533747925083,-9.327434483444064,11.101918977159793,2.9329275974109805,-1.435540967487185,0.1058845994895421,0.6705889934079892,-0.004524191892251395,-0.056608795773858134,2.212727235155217
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1850-06,1850,6,285.15349100386527,263.3108965007401,-186.84529458552637,-300.176530205637,-5.357938651714795,-9.967410986897754,46.117213074829436,278.01031595389145,267.1929938657856,-181.75214724619707,-301.54819202989717,-5.743930187539476,-9.823892397055165,46.335147958988166,7.14317504997382,-3.8820973650454675,-5.093147339329306,1.3716618242601726,0.38599153582468126,-0.14351858984258925,-0.21793488415872986
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1850-07,1850,7,224.89115905259771,286.71057125645046,-108.43808611485117,-313.44255787129504,-6.278789264629162,-10.006295251973572,73.43600180629927,221.34602070336925,286.90613128533926,-116.8600474256379,-312.3891970914304,-5.308387789885974,-9.114989960584172,64.57952972117003,3.5451383492284663,-0.1955600288887922,8.421961310786727,-1.0533607798646472,-0.9704014747431877,-0.8913052913894006,8.85647208512924
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1850-08,1850,8,140.52744012222666,279.01529077870174,-63.428664538234294,-307.73782942113934,-7.124692380732729,-10.798958447596425,30.452586113225635,142.6466170504716,277.7333675592987,-69.58036730176674,-306.1187028941003,-5.891328319938774,-9.990175462028182,28.799410631936293,-2.11917692824494,1.2819232194030405,6.151702763532448,-1.6191265270390431,-1.2333640607939556,-0.8087829855682429,1.6531754812893418
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1850-09,1850,9,67.11652103069493,246.87659507157593,-30.82022131297044,-285.05255701801104,-7.507250199187662,-13.207244679418633,-22.594157107316924,68.56111371316099,244.5131987216941,-33.18334126145079,-282.6260576421684,-7.179982401682222,-13.437002882261043,-23.35207175270739,-1.444592682466066,2.363396349881839,2.363119948480353,-2.4264993758426385,-0.3272677975054403,0.2297582028424099,0.7579146453904642
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1850-10,1850,10,18.94787607630255,206.2466539331677,-8.548095800750074,-249.86895827490238,-12.11353742491308,-16.71914552581832,-62.05520701691361,19.151116867762923,203.75321166694766,-8.599268712758045,-246.7972752439399,-9.586726702158742,-15.543751769734452,-57.622693893880545,-0.20324079146037377,2.493442266220029,0.051172912007970695,-3.0716830309624754,-2.5268107227543375,-1.1753937560838672,-4.432513123033068
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1850-11,1850,11,3.1738393021879836,179.06216644859146,-1.1350602029764982,-223.34334515269788,-7.971871843920859,-12.876591820325853,-63.090863269141636,3.1394516911790835,176.52068458780397,-1.1187233813828106,-220.94654820705173,-11.520216587553385,-15.05093419698643,-68.97628609399132,0.03438761100890009,2.541481860787485,-0.016336821593687656,-2.3967969456461446,3.5483447436325264,2.1743423766605776,5.885422824849684
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1850-12,1850,12,0.7350260062057943,155.60363111499228,-0.31856512157679207,-201.98128212258842,-14.549428879703017,-14.997158757787032,-75.50777776045719,0.7402579678297367,158.58433321210802,-0.31791339102206423,-203.11332277472155,-10.963581185181576,-13.755521910862122,-68.82574808184954,-0.0052319616239424604,-2.9807020971157385,-0.0006517305547278363,1.1320406521331279,-3.5858476945214406,-1.2416368469249104,-6.682029678607648
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1851-01,1851,1,1.9671098568706626,140.86721680992787,-1.1092665360194058,-188.30300025088994,-14.639622165499835,-14.163832658590199,-75.38139494420088,1.8874779521945015,150.63579087708905,-1.0159150283794933,-194.47372872451973,-10.174915026770043,-13.338119177133633,-66.47940912751936,0.0796319046761611,-9.768574067161182,-0.09335150763991251,6.170728473629794,-4.464707138729793,-0.8257134814565656,-8.901985816681517
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1851-02,1851,2,12.02795156682038,147.8573621996664,-7.728175667632369,-192.83161343142237,-12.333468850039914,-14.254199225451682,-67.26214340805956,11.949909368109298,152.08676249313095,-7.55490545026998,-194.571567138781,-8.298759074884785,-12.537736325765612,-58.92629612846117,0.07804219871108309,-4.2294002934645505,-0.173270217362389,1.7399537073586373,-4.034709775155129,-1.7164628996860696,-8.33584727959839
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1851-03,1851,3,58.376818778062926,159.10142661460603,-41.56592420801083,-204.03799644466577,-7.326832155615004,-11.319058949911467,-46.77156636553409,58.25222189759429,160.3535591169056,-41.18205243977837,-203.61446859905422,-6.771281558546,-11.426244372802726,-44.388265955681405,0.12459688046863704,-1.2521325022995597,-0.38387176823245994,-0.4235278456115452,-0.5555505970690042,0.10718542289125921,-2.383300409852687
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1851-04,1851,4,160.25217607441604,183.56529671274038,-118.23777608484993,-230.98245932503565,-5.568427564633255,-9.303686308336529,-20.274876495698955,160.70062667808514,181.83119394722468,-117.85089919880946,-229.0374739652781,-5.674292385093888,-10.156911938244583,-20.187756862116238,-0.4484506036691016,1.7341027655157006,-0.38687688604046855,-1.9449853597575384,0.10586482046063317,0.8532256299080547,-0.08711963358271646
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1851-05,1851,5,261.4848104603873,215.7451507664288,-191.10274285082627,-263.7210425367323,-5.797771784232189,-9.91324457868888,6.6951594763363875,259.462372756689,223.02127650574738,-188.10932996709553,-269.2034320868119,-4.741533747925083,-9.327434483444064,11.101918977159793,2.0224377036983014,-7.276125739318587,-2.993412883730741,5.482389550079631,-1.0562380363071062,-0.5858100952448169,-4.406759500823405
