institution,source,member,siconc_grid,experiment,year,summer_min_time,summer_min_month,summer_min_sia_Mkm2,piControl_mean_summer_min_sia_Mkm2,piControl_std_summer_min_sia_Mkm2,summer_min_sia_anom_Mkm2
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1850,1850-08,8,0.6341359500417381,0.7121244655923354,0.07537889575894338,-0.07798851555059738
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1851,1851-08,8,0.7016708593654766,0.7121244655923354,0.07537889575894338,-0.01045360622685887
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1852,1852-09,9,0.8156225741737725,0.7121244655923354,0.07537889575894338,0.10349810858143704
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1853,1853-08,8,0.6891298642207407,0.7121244655923354,0.07537889575894338,-0.022994601371594703
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1854,1854-08,8,0.6153145340301693,0.7121244655923354,0.07537889575894338,-0.09680993156216611
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1855,1855-09,9,0.7680219340792261,0.7121244655923354,0.07537889575894338,0.0558974684868907
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1856,1856-08,8,0.6607447160363402,0.7121244655923354,0.07537889575894338,-0.051379749555995224
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1857,1857-09,9,0.824113835681613,0.7121244655923354,0.07537889575894338,0.11198937008927756
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1858,1858-08,8,0.6784386969427098,0.7121244655923354,0.07537889575894338,-0.03368576864962569
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1859,1859-08,8,0.6288126218972246,0.7121244655923354,0.07537889575894338,-0.0833118436951108
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1860,1860-08,8,0.7708583248038818,0.7121244655923354,0.07537889575894338,0.05873385921154639
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1861,1861-08,8,0.6353339688052948,0.7121244655923354,0.07537889575894338,-0.07679049678704064
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1862,1862-08,8,0.6346089197817282,0.7121244655923354,0.07537889575894338,-0.07751554581060727
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1863,1863-09,9,0.7691434752675101,0.7121244655923354,0.07537889575894338,0.0570190096751747
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1864,1864-08,8,0.6447854710090942,0.7121244655923354,0.07537889575894338,-0.06733899458324122
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1865,1865-08,8,0.6230974790978584,0.7121244655923354,0.07537889575894338,-0.08902698649447705
