institution,source,member,grid,experiment,year,seb_Wm2,seb_anom_Wm2
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gr1,historical,1850,-21.675255483727558,-1.2591878671378458
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gr1,historical,1851,-22.167613553375933,-1.7515459367862194
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gr1,historical,1852,-21.363325064979588,-0.9472574483898729
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gr1,historical,1853,-21.363727943854773,-0.9476603272650603
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gr1,historical,1854,-18.101769759782574,2.314297856807138
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gr1,historical,1855,-23.123016298464858,-2.706948681875145
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gr1,historical,1856,-21.46985003038888,-1.053782413799168
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gr1,historical,1857,-23.318649574766287,-2.9025819581765773
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gr1,historical,1858,-22.100725869662217,-1.6846582530725034
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gr1,historical,1859,-17.102454535926636,3.3136130806630795
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gr1,historical,1860,-19.435928930636162,0.9801386859535496
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gr1,historical,1861,-18.120926523070263,2.2951410935194527
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gr1,historical,1862,-19.491182162668512,0.9248854539212003
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gr1,historical,1863,-17.514467822183644,2.9015997944060703
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gr1,historical,1864,-20.28668848110782,0.1293791354818928
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gr1,historical,1865,-20.85454042210498,-0.4384728055152687
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gr1,historical,1866,-21.55585696074911,-1.139789344159398
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gr1,historical,1867,-19.309217525028064,1.1068500915616484
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gr1,historical,1868,-17.63560021089265,2.7804674056970597
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gr1,historical,1869,-20.199079495410082,0.2169881211796305
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gr1,historical,1870,-18.461344160229277,1.954723456360434
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gr1,historical,1871,-21.107983737821417,-0.6919161212317059
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gr1,historical,1872,-18.328141211026033,2.0879264055636786
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gr1,historical,1873,-20.894155634355144,-0.4780880177654323
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gr1,historical,1874,-23.66434333423109,-3.248275717641382
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gr1,historical,1875,-20.902371736029192,-0.48630411943948104
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gr1,historical,1876,-19.537950560993,0.8781170555967135
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gr1,historical,1877,-17.670879489551318,2.745188127038394
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gr1,historical,1878,-20.384808526778343,0.031259089811370266
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gr1,historical,1879,-17.924359930640776,2.4917076859489358
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gr1,historical,1880,-19.920536935319173,0.4955306812705416
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gr1,historical,1881,-20.330887849681414,0.08517976690830083
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gr1,historical,1882,-18.905456011560123,1.510611605029588
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gr1,historical,1883,-24.01372768763629,-3.5976600710465774
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gr1,historical,1884,-22.146704416122805,-1.7306367995330925
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gr1,historical,1885,-17.448636653924876,2.9674309626648387
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gr1,historical,1886,-20.694682323882386,-0.2786147072926746
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gr1,historical,1887,-18.375959568446643,2.040108048143071
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gr1,historical,1888,-20.73407956302243,-0.3180119464327138
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gr1,historical,1889,-21.099916878611182,-0.6838492620214679
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gr1,historical,1890,-20.38866897997656,0.027398636613151783
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gr1,historical,1891,-18.339109228614966,2.0769583879747464
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gr1,historical,1892,-19.48036854783784,0.9356990687518737
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gr1,historical,1893,-22.14396389939265,-1.727896282802936
