institution,source,member,grid,experiment,time,year,month,rsds_into_surface_Wm2,rlds_into_surface_Wm2,rsus_into_surface_Wm2,rlus_into_surface_Wm2,hfss_into_surface_Wm2,hfls_into_surface_Wm2,seb_Wm2,pi_clim_rsds_into_surface_Wm2,pi_clim_rlds_into_surface_Wm2,pi_clim_rsus_into_surface_Wm2,pi_clim_rlus_into_surface_Wm2,pi_clim_hfss_into_surface_Wm2,pi_clim_hfls_into_surface_Wm2,pi_clim_seb_Wm2,rsds_into_surface_Wm2_anom,rlds_into_surface_Wm2_anom,rsus_into_surface_Wm2_anom,rlus_into_surface_Wm2_anom,hfss_into_surface_Wm2_anom,hfls_into_surface_Wm2_anom,seb_anom_Wm2
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gr1,historical,1850-01,1850,1,2.0468972684535944,190.24305205819402,-0.8977653020696154,-232.28076640689696,-23.498196037931677,-21.350972206262803,-85.73775062651345,1.934180380600121,186.2182850748089,-0.8433485871341058,-228.28359963496996,-21.001260543138372,-20.152409217790975,-82.12815252762438,0.11271688785347345,4.0247669833851205,-0.05441671493550959,-3.9971667719269988,-2.4969354947933056,-1.1985629884718279,-3.609598098889066
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gr1,historical,1850-02,1850,2,11.733048467585084,179.2644124705884,-6.51058006306331,-221.68317473034807,-21.190282479165177,-19.679495836848538,-78.06607217125159,11.665940430965511,184.885117016664,-6.374280965510644,-225.53209156765251,-19.054629664030575,-18.468448145712234,-72.87839289527642,0.06710803661957243,-5.6207045460755864,-0.13629909755266656,3.8489168373044436,-2.135652815134602,-1.2110476911363044,-5.187679275975171
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gr1,historical,1850-03,1850,3,54.264380329588526,189.97851365160147,-34.20966145943286,-232.21545994243448,-21.860591477501682,-19.510417071651002,-63.55323596983001,55.20159341881698,190.2606030398768,-34.779705105389,-231.7358091906767,-16.93215336728145,-16.60445983280745,-54.58993103746082,-0.9372130892284503,-0.2820893882753239,0.5700436459561402,-0.47965075175778793,-4.928438110220231,-2.905957238843552,-8.96330493236919
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gr1,historical,1850-04,1850,4,147.19383152020532,213.78991906719452,-96.56326644017709,-256.780556692144,-14.979349503131676,-14.767282921742352,-22.106704969795224,149.22236232055397,211.83452313220275,-97.2739649736637,-255.09013232745212,-14.101879667684027,-14.823626479918335,-20.23271799596146,-2.0285308003486477,1.9553959349917704,0.7106985334866067,-1.6904243646918644,-0.8774698354476484,0.05634355817598369,-1.873986973833766
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gr1,historical,1850-05,1850,5,227.89097291755482,259.8384361669907,-135.02052431726764,-296.3667509581124,-7.107914411301789,-13.306836874536558,35.92738252332714,228.725959168533,258.571477060907,-138.0028903004875,-295.0083508880299,-9.272933838028319,-14.947921010378318,30.06534019251594,-0.8349862509781758,1.2669591060836751,2.9823659832198643,-1.3584000700824959,2.1650194267265297,1.6410841358417603,5.8620423308111995
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gr1,historical,1850-06,1850,6,231.55102714907815,294.9730789851956,-104.11961349324703,-320.7300910114017,-2.858456715585195,-12.086874136165926,86.72907077787391,234.75527108790382,292.9164679325475,-108.14942761980647,-320.0566413723268,-3.30703068138271,-12.690565402670448,83.46807394426486,-3.2042439388256696,2.0566110526481225,4.029814126559444,-0.6734496390749314,0.44857396579751496,0.6036912665045211,3.260996833609056
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gr1,historical,1850-07,1850,7,179.54853603238536,308.1660397575592,-52.07570671408322,-328.80420234035574,-2.0139156780879794,-12.34102768194052,92.4797233754771,181.34397403360472,307.75694402925694,-54.93769845334185,-328.5318746995089,-1.8177028725681514,-11.478829669406753,92.334812368036,-1.7954380012193667,0.4090957283022476,2.8619917392586345,-0.2723276408468678,-0.196212805519828,-0.8621980125337672,0.14491100744110952
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gr1,historical,1850-08,1850,8,114.0616970843048,304.74163203816903,-29.846296167379414,-328.8835615790574,-3.3937421183644867,-15.664502601599038,41.015226656073466,115.13296374107708,305.1095414143398,-30.50981207075979,-328.78093730292625,-3.0605614699713666,-15.020969246559995,42.87022506519949,-1.0712666567722806,-0.3679093761707577,0.6635159033803752,-0.10262427613116643,-0.3331806483931201,-0.6435333550390432,-1.8549984091260256
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gr1,historical,1850-09,1850,9,55.067155238351425,284.6639918783451,-14.573291009072824,-316.5038062702875,-9.404670471440951,-22.300603315948187,-23.051223950052965,55.59682738026294,284.5275173349914,-15.153917438066095,-316.4626995340868,-8.869515109599783,-21.528447749958552,-21.890235116456925,-0.5296721419115116,0.13647454335369957,0.5806264289932717,-0.04110673620067473,-0.5351553618411682,-0.7721555659896353,-1.1609888335960399
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gr1,historical,1850-10,1850,10,16.39746589980173,253.53823616707726,-4.053860514634068,-291.98336022919483,-16.044209082172948,-24.53422939110068,-66.67995715022354,16.532423146036887,246.90414898779036,-4.426068002613146,-286.42935984852636,-16.386337540668595,-23.656787248876835,-67.46198050685766,-0.1349572462351567,6.634087179286894,0.372207487979078,-5.5540003806684695,0.34212845849564744,-0.8774421422238454,0.782023356634113
