institution,source,member,siconc_grid,experiment,time,year,month,sia_Mkm2,pi_clim_sia_Mkm2,sia_anom_Mkm2
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1850-01,1850,1,12.959087918647324,13.233739558939883,-0.27465164029255895
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1850-02,1850,2,13.36833015275025,13.519040083020629,-0.15070993027037893
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1850-03,1850,3,13.443453691061054,13.586352929575071,-0.1428992385140173
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1850-04,1850,4,13.228270339689576,13.31667904137869,-0.0884087016891133
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1850-05,1850,5,11.688642904332912,12.006627342220678,-0.3179844378877661
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1850-06,1850,6,9.473790459823771,9.731637992339106,-0.2578475325153349
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1850-07,1850,7,7.243096619108787,7.619170533032279,-0.3760739139234923
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1850-08,1850,8,5.786517606377244,6.241096497339808,-0.4545788909625639
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1850-09,1850,9,5.7726815372854645,6.355832230318761,-0.5831506930332964
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1850-10,1850,10,8.52883886318029,8.860114706664033,-0.33127584348374306
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1850-11,1850,11,10.870258352494423,11.00449629659024,-0.13423794409581724
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1850-12,1850,12,12.466760116893148,12.555519119636603,-0.08875900274345483
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1851-01,1851,1,13.155778787077539,13.233739558939883,-0.07796077186234385
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1851-02,1851,2,13.436730011648127,13.519040083020629,-0.08231007137250224
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1851-03,1851,3,13.361876046298313,13.586352929575071,-0.22447688327675763
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1851-04,1851,4,13.122300444099928,13.31667904137869,-0.19437859727876194
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1851-05,1851,5,11.733699801883393,12.006627342220678,-0.2729275403372853
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1851-06,1851,6,9.350161955386161,9.731637992339106,-0.38147603695294485
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1851-07,1851,7,7.222309002829467,7.619170533032279,-0.3968615302028118
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1851-08,1851,8,5.970910739649677,6.241096497339808,-0.27018575769013164
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1851-09,1851,9,5.917472041198575,6.355832230318761,-0.4383601891201856
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1851-10,1851,10,8.32464641144049,8.860114706664033,-0.5354682952235432
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1851-11,1851,11,10.327779860532017,11.00449629659024,-0.6767164360582232
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1851-12,1851,12,12.003627574231873,12.555519119636603,-0.5518915454047306
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1852-01,1852,1,13.008955449623693,13.233739558939883,-0.22478410931618953
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1852-02,1852,2,13.37643509519918,13.519040083020629,-0.14260498782144815
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1852-03,1852,3,13.503096353281396,13.586352929575071,-0.08325657629367456
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1852-04,1852,4,13.349010453587722,13.31667904137869,0.03233141220903235
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1852-05,1852,5,11.753053306896465,12.006627342220678,-0.2535740353242133
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1852-06,1852,6,9.382499245254454,9.731637992339106,-0.34913874708465187
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1852-07,1852,7,7.27900303392545,7.619170533032279,-0.34016749910682886
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1852-08,1852,8,5.881182705922401,6.241096497339808,-0.35991379141740687
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1852-09,1852,9,6.055002112951922,6.355832230318761,-0.3008301173668393
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1852-10,1852,10,8.704873643815898,8.860114706664033,-0.15524106284813577
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1852-11,1852,11,11.144164935327462,11.00449629659024,0.13966863873722168
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1852-12,1852,12,12.774565100425114,12.555519119636603,0.21904598078851123
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1853-01,1853,1,13.325997104397848,13.233739558939883,0.09225754545796505
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1853-02,1853,2,13.512623057775098,13.519040083020629,-0.006417025245530894
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1853-03,1853,3,13.719500721201417,13.586352929575071,0.13314779162634593
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1853-04,1853,4,13.499415546475742,13.31667904137869,0.18273650509705242
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1853-05,1853,5,12.23911727178332,12.006627342220678,0.23248992956264125
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1853-06,1853,6,9.894663109783169,9.731637992339106,0.16302511744406267
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1853-07,1853,7,7.3994621401340135,7.619170533032279,-0.21970839289826571
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1853-08,1853,8,5.72189274869961,6.241096497339808,-0.5192037486401979
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1853-09,1853,9,5.841494016478375,6.355832230318761,-0.5143382138403858
