institution,source,member,siconc_grid,experiment,year,summer_min_time,summer_min_month,summer_min_sia_Mkm2,piControl_mean_summer_min_sia_Mkm2,piControl_std_summer_min_sia_Mkm2,summer_min_sia_anom_Mkm2
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1850,1850-09,9,5.7726815372854645,6.200310823264455,0.39548067394815484,-0.4276292859789903
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1851,1851-09,9,5.917472041198575,6.200310823264455,0.39548067394815484,-0.28283878206587953
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1852,1852-08,8,5.881182705922401,6.200310823264455,0.39548067394815484,-0.3191281173420535
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1853,1853-08,8,5.72189274869961,6.200310823264455,0.39548067394815484,-0.47841807456484453
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1854,1854-08,8,6.1925174403345675,6.200310823264455,0.39548067394815484,-0.007793382929887294
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1855,1855-08,8,5.4709096010472615,6.200310823264455,0.39548067394815484,-0.7294012222171933
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1856,1856-08,8,5.97365780283144,6.200310823264455,0.39548067394815484,-0.22665302043301505
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1857,1857-08,8,5.926012355600867,6.200310823264455,0.39548067394815484,-0.2742984676635878
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1858,1858-09,9,5.6672196361936225,6.200310823264455,0.39548067394815484,-0.5330911870708324
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1859,1859-08,8,5.4141235758535675,6.200310823264455,0.39548067394815484,-0.7861872474108873
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1860,1860-09,9,5.854545219224995,6.200310823264455,0.39548067394815484,-0.34576560403945944
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1861,1861-09,9,6.7022231178159775,6.200310823264455,0.39548067394815484,0.5019122945515226
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1862,1862-08,8,6.636555321702223,6.200310823264455,0.39548067394815484,0.4362444984377678
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1863,1863-08,8,6.290136957077574,6.200310823264455,0.39548067394815484,0.08982613381311921
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1864,1864-09,9,6.643352639867346,6.200310823264455,0.39548067394815484,0.4430418166028911
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1865,1865-08,8,6.097201723758443,6.200310823264455,0.39548067394815484,-0.10310909950601221
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1866,1866-09,9,6.13872712818578,6.200310823264455,0.39548067394815484,-0.06158369507867523
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1867,1867-09,9,5.37510330507925,6.200310823264455,0.39548067394815484,-0.8252075181852048
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1868,1868-09,9,5.825511270294281,6.200310823264455,0.39548067394815484,-0.374799552970174
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1869,1869-09,9,5.2308129806833135,6.200310823264455,0.39548067394815484,-0.9694978425811414
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1870,1870-09,9,5.701619163592828,6.200310823264455,0.39548067394815484,-0.49869165967162665
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1871,1871-08,8,6.0440943496659685,6.200310823264455,0.39548067394815484,-0.15621647359848634
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1872,1872-08,8,5.674220359173637,6.200310823264455,0.39548067394815484,-0.5260904640908182
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1873,1873-08,8,6.202181765205911,6.200310823264455,0.39548067394815484,0.0018709419414557615
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1874,1874-09,9,5.6125118629638235,6.200310823264455,0.39548067394815484,-0.5877989603006313
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1875,1875-09,9,6.8192234483822345,6.200310823264455,0.39548067394815484,0.6189126251177797
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1876,1876-08,8,6.211293303750711,6.200310823264455,0.39548067394815484,0.010982480486256385
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1877,1877-08,8,6.648947755118804,6.200310823264455,0.39548067394815484,0.44863693185434883
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1878,1878-08,8,6.715724093802436,6.200310823264455,0.39548067394815484,0.515413270537981
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1879,1879-08,8,6.1289882321569085,6.200310823264455,0.39548067394815484,-0.07132259110754635
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1880,1880-08,8,6.587906482434061,6.200310823264455,0.39548067394815484,0.38759565916960614
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1881,1881-08,8,6.252598385130156,6.200310823264455,0.39548067394815484,0.05228756186570127
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1882,1882-08,8,5.710236648807189,6.200310823264455,0.39548067394815484,-0.4900741744572654
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1883,1883-08,8,5.9932842293626925,6.200310823264455,0.39548067394815484,-0.20702659390176237
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1884,1884-08,8,6.2013094508852395,6.200310823264455,0.39548067394815484,0.000998627620784731
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1885,1885-08,8,6.2590303113792,6.200310823264455,0.39548067394815484,0.05871948811474503
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1886,1886-09,9,5.978117535604384,6.200310823264455,0.39548067394815484,-0.22219328766007074
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1887,1887-09,9,5.688755751465252,6.200310823264455,0.39548067394815484,-0.5115550717992026
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1888,1888-08,8,6.201037408338147,6.200310823264455,0.39548067394815484,0.0007265850736919433
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1889,1889-08,8,5.566043829914699,6.200310823264455,0.39548067394815484,-0.6342669933497556
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1890,1890-09,9,6.129071715581429,6.200310823264455,0.39548067394815484,-0.07123910768302544
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1891,1891-08,8,6.267682382952133,6.200310823264455,0.39548067394815484,0.06737155968767805
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1892,1892-08,8,7.054069947754761,6.200310823264455,0.39548067394815484,0.8537591244903062
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1893,1893-08,8,6.027592830960217,6.200310823264455,0.39548067394815484,-0.17271799230423746
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1894,1894-08,8,6.74756339838498,6.200310823264455,0.39548067394815484,0.5472525751205248
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1895,1895-08,8,6.838270925222256,6.200310823264455,0.39548067394815484,0.637960101957801
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1896,1896-08,8,6.111694522088445,6.200310823264455,0.39548067394815484,-0.0886163011760095
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1897,1897-08,8,6.341452901601933,6.200310823264455,0.39548067394815484,0.14114207833747816
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1898,1898-08,8,6.721636906634219,6.200310823264455,0.39548067394815484,0.5213260833697646
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1899,1899-09,9,6.625805650031955,6.200310823264455,0.39548067394815484,0.4254948267675003
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1900,1900-08,8,6.857501388204258,6.200310823264455,0.39548067394815484,0.6571905649398033
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1901,1901-08,8,6.7303175380388405,6.200310823264455,0.39548067394815484,0.5300067147743857
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1902,1902-08,8,5.899909176578459,6.200310823264455,0.39548067394815484,-0.3004016466859962
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1903,1903-08,8,6.232533404106678,6.200310823264455,0.39548067394815484,0.03222258084222318
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1904,1904-08,8,5.9088729206589425,6.200310823264455,0.39548067394815484,-0.2914379026055123
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1905,1905-08,8,6.446400345507004,6.200310823264455,0.39548067394815484,0.2460895222425492
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1906,1906-09,9,5.903676243778505,6.200310823264455,0.39548067394815484,-0.29663457948594996
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1907,1907-09,9,5.7000211014868665,6.200310823264455,0.39548067394815484,-0.5002897217775883
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1908,1908-08,8,5.770102861044967,6.200310823264455,0.39548067394815484,-0.4302079622194874
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1909,1909-08,8,6.353202799224478,6.200310823264455,0.39548067394815484,0.15289197596002335
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1910,1910-08,8,5.336484980785207,6.200310823264455,0.39548067394815484,-0.8638258424792475
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1911,1911-08,8,6.564426762730911,6.200310823264455,0.39548067394815484,0.3641159394664566
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1912,1912-08,8,6.377024888773528,6.200310823264455,0.39548067394815484,0.17671406550907331
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1913,1913-08,8,6.4085172371049355,6.200310823264455,0.39548067394815484,0.20820641384048066
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1914,1914-08,8,6.659863007927717,6.200310823264455,0.39548067394815484,0.459552184663262
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1915,1915-09,9,6.294917034554712,6.200310823264455,0.39548067394815484,0.09460621129025704
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1916,1916-08,8,6.329140387754345,6.200310823264455,0.39548067394815484,0.12882956448989002
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1917,1917-09,9,6.751467073513185,6.200310823264455,0.39548067394815484,0.5511562502487299
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1918,1918-08,8,7.445009521319737,6.200310823264455,0.39548067394815484,1.2446986980552825
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1919,1919-08,8,6.550733883862795,6.200310823264455,0.39548067394815484,0.35042306059833983
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1920,1920-08,8,6.859962732770642,6.200310823264455,0.39548067394815484,0.659651909506187
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1921,1921-08,8,5.978198692580339,6.200310823264455,0.39548067394815484,-0.22211213068411606
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1922,1922-09,9,6.589942482249124,6.200310823264455,0.39548067394815484,0.3896316589846691
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1923,1923-09,9,6.341923054341781,6.200310823264455,0.39548067394815484,0.14161223107732646
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1924,1924-09,9,5.712625031135973,6.200310823264455,0.39548067394815484,-0.48768579212848184
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1925,1925-09,9,5.513000491344935,6.200310823264455,0.39548067394815484,-0.6873103319195195
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1926,1926-09,9,6.2697676912282,6.200310823264455,0.39548067394815484,0.06945686796374506
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1927,1927-08,8,5.897254189303975,6.200310823264455,0.39548067394815484,-0.30305663396047944
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1928,1928-09,9,5.965480816741137,6.200310823264455,0.39548067394815484,-0.23483000652331754
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1929,1929-08,8,6.344062975857526,6.200310823264455,0.39548067394815484,0.1437521525930716
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1930,1930-08,8,6.3008256196761785,6.200310823264455,0.39548067394815484,0.10051479641172367
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1931,1931-08,8,6.158590342303474,6.200310823264455,0.39548067394815484,-0.04172048096098102
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1932,1932-08,8,6.030529527054765,6.200310823264455,0.39548067394815484,-0.16978129620969007
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1933,1933-08,8,5.698681261314424,6.200310823264455,0.39548067394815484,-0.5016295619500308
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1934,1934-09,9,5.484154248988435,6.200310823264455,0.39548067394815484,-0.7161565742760194
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1935,1935-08,8,6.132904081998475,6.200310823264455,0.39548067394815484,-0.06740674126598023
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1936,1936-08,8,5.7947954205696535,6.200310823264455,0.39548067394815484,-0.40551540269480135
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1937,1937-08,8,6.4301595552804685,6.200310823264455,0.39548067394815484,0.22984873201601363
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1938,1938-08,8,5.583775245770512,6.200310823264455,0.39548067394815484,-0.6165355774939432
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1939,1939-08,8,5.859748887154816,6.200310823264455,0.39548067394815484,-0.3405619361096388
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1940,1940-08,8,5.758037002936974,6.200310823264455,0.39548067394815484,-0.44227382032748075
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1941,1941-09,9,5.449962468034894,6.200310823264455,0.39548067394815484,-0.7503483552295611
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1942,1942-09,9,5.623479600154677,6.200310823264455,0.39548067394815484,-0.5768312231097781
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1943,1943-08,8,5.774830508503696,6.200310823264455,0.39548067394815484,-0.4254803147607591
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1944,1944-09,9,5.596321954978367,6.200310823264455,0.39548067394815484,-0.6039888682860877
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1945,1945-08,8,5.903306753901488,6.200310823264455,0.39548067394815484,-0.2970040693629672
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1946,1946-08,8,6.261483562181016,6.200310823264455,0.39548067394815484,0.06117273891656083
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1947,1947-08,8,6.5906722799135125,6.200310823264455,0.39548067394815484,0.39036145664905764
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1948,1948-08,8,6.47399022777934,6.200310823264455,0.39548067394815484,0.27367940451488515
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1949,1949-08,8,5.667067214355339,6.200310823264455,0.39548067394815484,-0.5332436089091157
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1950,1950-08,8,6.187101486481514,6.200310823264455,0.39548067394815484,-0.013209336782940895
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1951,1951-08,8,5.915378383682492,6.200310823264455,0.39548067394815484,-0.28493243958196324
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1952,1952-08,8,6.023151353204593,6.200310823264455,0.39548067394815484,-0.17715947005986177
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1953,1953-08,8,5.769249633512921,6.200310823264455,0.39548067394815484,-0.4310611897515342
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1954,1954-08,8,6.800660754632661,6.200310823264455,0.39548067394815484,0.6003499313682061
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1955,1955-08,8,5.8894963188933165,6.200310823264455,0.39548067394815484,-0.31081450437113833
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1956,1956-08,8,6.200974421998514,6.200310823264455,0.39548067394815484,0.0006635987340590788
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1957,1957-08,8,5.986016556946436,6.200310823264455,0.39548067394815484,-0.21429426631801896
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1958,1958-08,8,6.342015781972362,6.200310823264455,0.39548067394815484,0.14170495870790756
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1959,1959-08,8,6.5493051721813,6.200310823264455,0.39548067394815484,0.348994348916845
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1960,1960-08,8,5.465915960240643,6.200310823264455,0.39548067394815484,-0.7343948630238115
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1961,1961-08,8,6.230571460468553,6.200310823264455,0.39548067394815484,0.03026063720409855
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1962,1962-08,8,6.076748567185032,6.200310823264455,0.39548067394815484,-0.12356225607942317
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1963,1963-08,8,6.624192856433184,6.200310823264455,0.39548067394815484,0.42388203316872897
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1964,1964-08,8,7.06418122299054,6.200310823264455,0.39548067394815484,0.8638703997260855
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1965,1965-08,8,6.354229133747396,6.200310823264455,0.39548067394815484,0.15391831048294158
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1966,1966-08,8,6.548891916476166,6.200310823264455,0.39548067394815484,0.3485810932117115
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1967,1967-08,8,6.102019972698046,6.200310823264455,0.39548067394815484,-0.09829085056640885
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1968,1968-08,8,6.870247950459692,6.200310823264455,0.39548067394815484,0.6699371271952375
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1969,1969-08,8,6.478571306920555,6.200310823264455,0.39548067394815484,0.27826048365610045
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1970,1970-08,8,5.872829504860867,6.200310823264455,0.39548067394815484,-0.32748131840358763
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1971,1971-08,8,6.508501291050295,6.200310823264455,0.39548067394815484,0.30819046778584
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1972,1972-08,8,6.413583953658204,6.200310823264455,0.39548067394815484,0.21327313039374918
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1973,1973-08,8,7.339310983445918,6.200310823264455,0.39548067394815484,1.139000160181463
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1974,1974-08,8,6.509333688279259,6.200310823264455,0.39548067394815484,0.30902286501480436
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1975,1975-08,8,6.454201486290084,6.200310823264455,0.39548067394815484,0.25389066302562924
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1976,1976-08,8,7.054281628766361,6.200310823264455,0.39548067394815484,0.8539708055019064
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1977,1977-08,8,6.293029549773428,6.200310823264455,0.39548067394815484,0.0927187265089735
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1978,1978-09,9,6.8444423169611355,6.200310823264455,0.39548067394815484,0.6441314936966807
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1979,1979-08,8,6.898556257631947,6.200310823264455,0.39548067394815484,0.6982454343674922
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1980,1980-08,8,6.506977081808582,6.200310823264455,0.39548067394815484,0.3066662585441273
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gn,historical,1981,1981-08,8,7.452230025081773,6.200310823264455,0.39548067394815484,1.2519192018173184
