institution,source,member,grid,experiment,year,seb_Wm2,seb_anom_Wm2
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gr1,historical,1850,-23.60715447650909,-0.9650109473961003
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gr1,historical,1851,-24.669577036795488,-2.0274335076824923
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gr1,historical,1852,-24.165487795770606,-1.523344266657614
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gr1,historical,1853,-21.714098263411824,0.9280452657011719
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gr1,historical,1854,-21.870157840046875,0.7719856890661138
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gr1,historical,1855,-22.162950261144545,0.4791932679684452
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gr1,historical,1856,-23.296549805702615,-0.6544062765896212
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gr1,historical,1857,-21.976993785437077,0.665149743675916
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gr1,historical,1858,-22.689647116843044,-0.047503587730051734
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gr1,historical,1859,-23.688755313519323,-1.046611784406332
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gr1,historical,1860,-24.73604528996228,-2.0939017608492905
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gr1,historical,1861,-22.817823461473036,-0.17567993236004295
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gr1,historical,1862,-21.8398063729328,0.8023371561801912
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gr1,historical,1863,-22.12367468205367,0.5184688470593217
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gr1,historical,1864,-24.179004925822834,-1.53686139670984
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gr1,historical,1865,-21.401037754283227,1.241105774829764
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gr1,historical,1866,-20.644532856732237,1.997610672380756
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gr1,historical,1867,-21.26250616371543,1.3796373653975642
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gr1,historical,1868,-20.43268944403017,2.2094540850828213
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gr1,historical,1869,-22.61802011084286,0.02412341827013294
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gr1,historical,1870,-23.7213756306422,-1.0792321015292066
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gr1,historical,1871,-21.6550811194188,0.9870624096941912
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gr1,historical,1872,-22.1776319084039,0.4645116207090901
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gr1,historical,1873,-22.538752399994447,0.10339112911854749
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gr1,historical,1874,-24.343079204920084,-1.700935675807089
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gr1,historical,1875,-23.224888303239414,-0.5827447741264238
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gr1,historical,1876,-23.032682920101816,-0.39053939098882395
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gr1,historical,1877,-21.89594642605155,0.7461971030614406
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gr1,historical,1878,-23.140673874955592,-0.498530345842599
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gr1,historical,1879,-24.03635077231583,-1.3942072432028416
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gr1,historical,1880,-23.905464919647372,-1.2633213905343785
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gr1,historical,1881,-22.226799480668234,0.41534404844475564
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gr1,historical,1882,-22.86141478873188,-0.2192712596188914
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gr1,historical,1883,-23.431443496958142,-0.7892999678451499
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gr1,historical,1884,-28.86955669113227,-6.227413162019278
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gr1,historical,1885,-25.917978375289263,-3.2758348461762687
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gr1,historical,1886,-23.629380092140707,-0.9872365630277171
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gr1,historical,1887,-21.229087716593728,1.4130558125192634
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gr1,historical,1888,-22.850212290964873,-0.20806876185187959
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gr1,historical,1889,-25.551488611650438,-2.9093450825374454
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gr1,historical,1890,-22.623394605992264,0.01874892312072814
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gr1,historical,1891,-21.77665779979904,0.8654857293139505
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gr1,historical,1892,-25.26878288172665,-2.626639352613657
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gr1,historical,1893,-22.81933475774237,-0.1771912286293776
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gr1,historical,1894,-22.95967830702511,-0.31753477791211804
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gr1,historical,1895,-22.139882853063142,0.5022606760498478
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gr1,historical,1896,-21.685267258699145,0.9568762704138457
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gr1,historical,1897,-22.848601435827003,-0.20645790671401118
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gr1,historical,1898,-24.251848877369273,-1.6097053482562822
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gr1,historical,1899,-25.179899061363503,-2.5377555322505128
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gr1,historical,1900,-22.00606981690581,0.6360737122071821
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gr1,historical,1901,-20.732908345372767,1.9092351837402248
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gr1,historical,1902,-26.538400711214397,-3.8962571821014067
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gr1,historical,1903,-24.878829210895333,-2.236685681782339
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gr1,historical,1904,-23.20947252316893,-0.5673289940559375
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gr1,historical,1905,-21.340941244492218,1.301202284620776
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gr1,historical,1906,-21.822445289180365,0.8196982399326274
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gr1,historical,1907,-27.00235826392581,-4.360214734812814
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gr1,historical,1908,-24.829357879691077,-2.1872143505780883
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gr1,historical,1909,-23.822403235691706,-1.1802597065787117
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gr1,historical,1910,-22.730853296478738,-0.08870976736574754
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gr1,historical,1911,-23.693878357092007,-1.0517348279790184
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gr1,historical,1912,-24.364669786249,-1.7225262571360094
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gr1,historical,1913,-28.43502045375295,-5.792876924639955
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gr1,historical,1914,-21.993587750386045,0.6485557787269455
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gr1,historical,1915,-22.589408527049965,0.05273500206302669
