institution,source,member,grid,experiment,time,year,month,rsds_into_surface_Wm2,rlds_into_surface_Wm2,rsus_into_surface_Wm2,rlus_into_surface_Wm2,hfss_into_surface_Wm2,hfls_into_surface_Wm2,seb_Wm2,pi_clim_rsds_into_surface_Wm2,pi_clim_rlds_into_surface_Wm2,pi_clim_rsus_into_surface_Wm2,pi_clim_rlus_into_surface_Wm2,pi_clim_hfss_into_surface_Wm2,pi_clim_hfls_into_surface_Wm2,pi_clim_seb_Wm2,rsds_into_surface_Wm2_anom,rlds_into_surface_Wm2_anom,rsus_into_surface_Wm2_anom,rlus_into_surface_Wm2_anom,hfss_into_surface_Wm2_anom,hfls_into_surface_Wm2_anom,seb_anom_Wm2
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gr1,historical,1850-01,1850,1,1.9224486093896997,196.19663743963216,-0.7091340749187123,-239.25718536996848,-18.570437753688125,-21.4916758832807,-81.90934703283418,1.8713907269805825,193.0332131118107,-0.6830488387007105,-237.20963327066855,-24.609349346607363,-25.28958295791527,-92.88701057510058,0.05105788240911724,3.1634243278214456,-0.02608523621800174,-2.047552099299935,6.038911592919238,3.797907074634569,10.977663542266399
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gr1,historical,1850-02,1850,2,11.791294058913252,193.2604452652681,-5.340505936560209,-238.22766299238734,-23.881109628924936,-27.361388585293287,-89.75892781898443,11.325121660466651,191.4616178936654,-5.448996981926965,-234.03256256762148,-22.036539858496308,-23.31217142215101,-82.04353127606373,0.4661723984466004,1.7988273716026981,0.10849104536675558,-4.1951004247658545,-1.8445697704286275,-4.049217163142277,-7.7153965429207005
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gr1,historical,1850-03,1850,3,53.81140433154272,198.79060212727643,-30.689137787179675,-243.83335721145096,-19.473185549160203,-23.375398926867874,-64.76907301583957,53.182973158109306,198.29966059003658,-30.958580973077016,-240.6370604543157,-19.009452306894246,-20.842142074749955,-59.96460206089105,0.6284311734334125,0.49094153723984846,0.26944318589734095,-3.196296757135258,-0.46373324226595614,-2.533256852117919,-4.804470954948513
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gr1,historical,1850-04,1850,4,141.34191801376662,225.53171078823442,-85.69683435973654,-268.12702897010763,-15.688839703694187,-19.225881983485024,-21.86495621502239,144.88836116402257,221.39340486209386,-89.47044577659788,-264.23104964819015,-14.026093225313833,-17.703195699408486,-19.149018323393953,-3.5464431502559535,4.138305926140561,3.7736114168613426,-3.89597932191748,-1.6627464783803543,-1.5226862840765385,-2.7159378916284354
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gr1,historical,1850-05,1850,5,226.54308877083918,265.03550732702496,-124.45633646527344,-302.677216363685,-7.859152558891339,-15.569880528875808,41.016010181138604,226.39835125945316,263.7530228098699,-128.18592547360313,-300.74479102967524,-8.054174635432993,-15.685814781252839,37.48066814935884,0.14473751138601187,1.2824845171550692,3.7295890083296968,-1.9324253340097357,0.1950220765416537,0.11593425237703059,3.535342031779763
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gr1,historical,1850-06,1850,6,236.4016250958077,295.79239765119166,-92.73559155995846,-325.92792098238533,-3.9493100870792266,-15.478774933208923,94.10242518436742,233.9992238694562,296.82088137528933,-95.42432115385999,-324.46916205036104,-3.4398008292443993,-13.510434280392257,93.97638693088784,2.4024012263515147,-1.0284837240976685,2.6887295939015274,-1.4587589320242955,-0.5095092578348273,-1.968340652816666,0.1260382534795781
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gr1,historical,1850-07,1850,7,189.71413290632148,310.7511632297672,-49.59766211405639,-334.65603447573494,-2.0897779490273054,-13.396296198330077,100.72552539893996,185.46804600158512,310.49201645251645,-50.764866812768474,-333.0378263277201,-2.2638581866589913,-12.383464178167454,97.51004694878652,4.246086904736359,0.25914677725074853,1.1672046987120837,-1.618208148014844,0.1740802376316859,-1.012832020162623,3.215478450153441
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gr1,historical,1850-08,1850,8,115.9912207392941,310.0337075977553,-26.78283726248772,-335.07864037156406,-3.596343510397555,-17.248788481394996,43.318318711205144,116.30682647296912,308.3980420932867,-27.545306617928397,-333.52846312169333,-3.0202045166674196,-16.36396675330051,44.24692755666611,-0.31560573367501377,1.6356655044686477,0.7624693554406754,-1.5501772498707282,-0.5761389937301353,-0.8848217280944866,-0.928608845460964
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gr1,historical,1850-09,1850,9,54.795107810368954,292.4442650944964,-12.073040425949294,-324.78964621735525,-7.948547077872307,-23.924976152394574,-21.496836968706035,54.971199831182446,289.2738349882522,-13.376047720075237,-322.2724618988706,-8.701894455253807,-24.101499572694873,-24.206868827459896,-0.17609202081349196,3.1704301062442255,1.3030072941259423,-2.5171843184846807,0.7533473773815,0.176523420300299,2.7100318587538617
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gr1,historical,1850-10,1850,10,16.125934593616332,256.55846387429,-3.4583731196596226,-296.2712032401952,-16.483698333047503,-25.98282815203324,-69.5117043770292,16.356652969622623,254.24225049277445,-3.75904984401249,-295.3004617974394,-17.21601167360001,-27.646745360541793,-73.32336521319668,-0.23071837600629053,2.316213381515553,0.30067672435286763,-0.9707414427557524,0.7323133405525084,1.663917208508554,3.8116608361674764
