institution,source,member,siconc_grid,experiment,time,year,month,sia_Mkm2,pi_clim_sia_Mkm2,sia_anom_Mkm2
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1850-01,1850,1,11.826106476017657,12.089859432350998,-0.2637529563333416
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1850-02,1850,2,12.153552136567813,12.419453745250543,-0.2659016086827304
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1850-03,1850,3,12.149951239616414,12.506079325491523,-0.3561280858751097
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1850-04,1850,4,11.856186815472036,12.206785204990855,-0.3505983895188187
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1850-05,1850,5,10.537352547742243,10.879779579803733,-0.34242703206149017
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1850-06,1850,6,8.356939739823321,8.70951231897764,-0.3525725791543195
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1850-07,1850,7,6.594067194898397,6.785201290613562,-0.1911340957151655
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1850-08,1850,8,5.036025868795941,5.277619989934482,-0.24159412113854017
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1850-09,1850,9,4.96166596030446,5.276312248353305,-0.314646288048845
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1850-10,1850,10,7.698665224245309,7.678481015890773,0.020184208354535826
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1850-11,1850,11,9.907127071528985,9.91742863958779,-0.010301568058805444
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1850-12,1850,12,11.212591908839252,11.29262406487404,-0.08003215603478786
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1851-01,1851,1,11.971651938623758,12.089859432350998,-0.11820749372724038
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1851-02,1851,2,12.224422424516472,12.419453745250543,-0.1950313207340706
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1851-03,1851,3,12.218906400897561,12.506079325491523,-0.28717292459396226
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1851-04,1851,4,11.967717535160254,12.206785204990855,-0.23906766983060024
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1851-05,1851,5,10.808073266541017,10.879779579803733,-0.07170631326271604
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1851-06,1851,6,8.864176002852965,8.70951231897764,0.1546636838753237
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1851-07,1851,7,7.051429400343823,6.785201290613562,0.26622810973026034
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1851-08,1851,8,5.495782340748403,5.277619989934482,0.21816235081392144
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1851-09,1851,9,5.17894202774264,5.276312248353305,-0.09737022061066458
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1851-10,1851,10,7.812685714572359,7.678481015890773,0.1342046986815859
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1851-11,1851,11,10.271963853310416,9.91742863958779,0.35453521372262564
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1851-12,1851,12,11.311382543791085,11.29262406487404,0.01875847891704474
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1852-01,1852,1,12.220335083565077,12.089859432350998,0.13047565121407878
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1852-02,1852,2,12.389152983881571,12.419453745250543,-0.030300761368971862
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1852-03,1852,3,12.391066760776152,12.506079325491523,-0.11501256471537147
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1852-04,1852,4,12.188671148054777,12.206785204990855,-0.018114056936077816
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1852-05,1852,5,10.88028094755482,10.879779579803733,0.0005013677510863346
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1852-06,1852,6,8.818017861214981,8.70951231897764,0.10850554223734044
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1852-07,1852,7,7.324565773025715,6.785201290613562,0.5393644824121528
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1852-08,1852,8,5.900322274592871,5.277619989934482,0.6227022846583896
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1852-09,1852,9,5.7991989518252165,5.276312248353305,0.5228867034719116
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1852-10,1852,10,8.22403709173766,7.678481015890773,0.5455560758468874
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1852-11,1852,11,9.876501625289801,9.91742863958779,-0.04092701429798851
