institution,source,member,siconc_grid,experiment,year,summer_min_time,summer_min_month,summer_min_sia_Mkm2,piControl_mean_summer_min_sia_Mkm2,piControl_std_summer_min_sia_Mkm2,summer_min_sia_anom_Mkm2
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1850,1850-09,9,4.96166596030446,5.195310757798253,0.4349392568789693,-0.23364479749379274
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1851,1851-09,9,5.17894202774264,5.195310757798253,0.4349392568789693,-0.016368730055612346
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1852,1852-09,9,5.7991989518252165,5.195310757798253,0.4349392568789693,0.6038881940269638
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1853,1853-08,8,5.440790230669303,5.195310757798253,0.4349392568789693,0.24547947287105032
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1854,1854-09,9,4.859448309781325,5.195310757798253,0.4349392568789693,-0.3358624480169281
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1855,1855-09,9,4.505399569879073,5.195310757798253,0.4349392568789693,-0.6899111879191793
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1856,1856-09,9,4.371300170823269,5.195310757798253,0.4349392568789693,-0.8240105869749836
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1857,1857-09,9,4.601325298240313,5.195310757798253,0.4349392568789693,-0.5939854595579392
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1858,1858-08,8,5.144692905850141,5.195310757798253,0.4349392568789693,-0.05061785194811197
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1859,1859-08,8,5.074979678364852,5.195310757798253,0.4349392568789693,-0.12033107943340049
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1860,1860-09,9,4.476223950387758,5.195310757798253,0.4349392568789693,-0.7190868074104948
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1861,1861-08,8,5.133705639849689,5.195310757798253,0.4349392568789693,-0.06160511794856394
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1862,1862-09,9,4.549453973614131,5.195310757798253,0.4349392568789693,-0.6458567841841214
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1863,1863-08,8,4.995338726328538,5.195310757798253,0.4349392568789693,-0.19997203146971465
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1864,1864-09,9,4.754970725461879,5.195310757798253,0.4349392568789693,-0.44034003233637353
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1865,1865-09,9,4.525193810895217,5.195310757798253,0.4349392568789693,-0.6701169469030352
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1866,1866-08,8,4.867809637467336,5.195310757798253,0.4349392568789693,-0.3275011203309166
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1867,1867-09,9,4.425138924874244,5.195310757798253,0.4349392568789693,-0.7701718329240084
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1868,1868-08,8,4.967765972054827,5.195310757798253,0.4349392568789693,-0.22754478574342585
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1869,1869-08,8,4.676834010738568,5.195310757798253,0.4349392568789693,-0.5184767470596849
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1870,1870-09,9,4.803165234089871,5.195310757798253,0.4349392568789693,-0.39214552370838174
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1871,1871-08,8,5.471527648218722,5.195310757798253,0.4349392568789693,0.2762168904204696
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1872,1872-09,9,4.542859518398819,5.195310757798253,0.4349392568789693,-0.6524512393994337
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1873,1873-09,9,4.539416704115031,5.195310757798253,0.4349392568789693,-0.6558940536832214
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1874,1874-09,9,4.6691394212262445,5.195310757798253,0.4349392568789693,-0.5261713365720082
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1875,1875-09,9,4.317365879037292,5.195310757798253,0.4349392568789693,-0.8779448787609603
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1876,1876-09,9,5.194537259371416,5.195310757798253,0.4349392568789693,-0.0007734984268363831
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1877,1877-08,8,5.301315311243769,5.195310757798253,0.4349392568789693,0.10600455344551651
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1878,1878-08,8,5.644834171591143,5.195310757798253,0.4349392568789693,0.44952341379289074
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1879,1879-08,8,5.1442049448647325,5.195310757798253,0.4349392568789693,-0.051105812933520234
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1880,1880-09,9,4.772620033597056,5.195310757798253,0.4349392568789693,-0.422690724201197
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1881,1881-09,9,5.205894294979126,5.195310757798253,0.4349392568789693,0.01058353718087357
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1882,1882-09,9,5.007619521236651,5.195310757798253,0.4349392568789693,-0.18769123656160147
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1883,1883-09,9,4.328862260531378,5.195310757798253,0.4349392568789693,-0.8664484972668749
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1884,1884-08,8,5.09084927150313,5.195310757798253,0.4349392568789693,-0.10446148629512297
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1885,1885-08,8,5.992291892230389,5.195310757798253,0.4349392568789693,0.7969811344321363
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1886,1886-08,8,5.623651522838109,5.195310757798253,0.4349392568789693,0.42834076503985674
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1887,1887-09,9,5.796764131438434,5.195310757798253,0.4349392568789693,0.6014533736401813
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1888,1888-09,9,5.709479950208032,5.195310757798253,0.4349392568789693,0.5141691924097795
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1889,1889-08,8,5.505008144509835,5.195310757798253,0.4349392568789693,0.30969738671158265
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1890,1890-08,8,4.818525009970652,5.195310757798253,0.4349392568789693,-0.37678574782760066
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1891,1891-09,9,4.985100889621513,5.195310757798253,0.4349392568789693,-0.21020986817673926
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1892,1892-08,8,4.874084120661571,5.195310757798253,0.4349392568789693,-0.3212266371366814
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1893,1893-09,9,5.151265978272322,5.195310757798253,0.4349392568789693,-0.044044779525930444
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1894,1894-09,9,4.713994325888197,5.195310757798253,0.4349392568789693,-0.4813164319100558
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1895,1895-09,9,4.459188143388821,5.195310757798253,0.4349392568789693,-0.7361226144094317
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1896,1896-08,8,5.199658329161862,5.195310757798253,0.4349392568789693,0.004347571363608971
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1897,1897-09,9,4.944539981534469,5.195310757798253,0.4349392568789693,-0.2507707762637841
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1898,1898-09,9,4.558528196913259,5.195310757798253,0.4349392568789693,-0.6367825608849937
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1899,1899-09,9,4.867284921516865,5.195310757798253,0.4349392568789693,-0.3280258362813875
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1900,1900-08,8,5.051994564066897,5.195310757798253,0.4349392568789693,-0.14331619373135585
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1901,1901-09,9,4.08543743940277,5.195310757798253,0.4349392568789693,-1.1098733183954828
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1902,1902-08,8,4.933124761359417,5.195310757798253,0.4349392568789693,-0.262185996438836
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1903,1903-09,9,5.033120945153646,5.195310757798253,0.4349392568789693,-0.1621898126446064
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1904,1904-09,9,4.965217329257598,5.195310757798253,0.4349392568789693,-0.23009342854065462
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1905,1905-08,8,5.19731733882819,5.195310757798253,0.4349392568789693,0.0020065810299376707
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1906,1906-08,8,5.552796293367058,5.195310757798253,0.4349392568789693,0.3574855355688049
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1907,1907-08,8,4.340163033747236,5.195310757798253,0.4349392568789693,-0.855147724051017
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1908,1908-09,9,4.862565890737993,5.195310757798253,0.4349392568789693,-0.33274486706025996
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1909,1909-09,9,5.023851428726582,5.195310757798253,0.4349392568789693,-0.17145932907167083
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1910,1910-09,9,4.794397020383693,5.195310757798253,0.4349392568789693,-0.4009137374145597
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1911,1911-09,9,4.689123423539603,5.195310757798253,0.4349392568789693,-0.5061873342586498
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1912,1912-09,9,4.524584177664256,5.195310757798253,0.4349392568789693,-0.670726580133997
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1913,1913-09,9,4.520181702710075,5.195310757798253,0.4349392568789693,-0.6751290550881777
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1914,1914-09,9,5.443947073707414,5.195310757798253,0.4349392568789693,0.24863631590916135
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1915,1915-09,9,4.44297617063311,5.195310757798253,0.4349392568789693,-0.7523345871651426
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1916,1916-09,9,4.854563257182576,5.195310757798253,0.4349392568789693,-0.3407475006156764
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1917,1917-08,8,5.18642226569035,5.195310757798253,0.4349392568789693,-0.008888492107902657
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1918,1918-09,9,5.382810298290687,5.195310757798253,0.4349392568789693,0.18749954049243467
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1919,1919-08,8,4.862334477949165,5.195310757798253,0.4349392568789693,-0.3329762798490874
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1920,1920-09,9,4.587421088397659,5.195310757798253,0.4349392568789693,-0.6078896694005937
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1921,1921-09,9,4.2343248443025985,5.195310757798253,0.4349392568789693,-0.9609859134956542
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1922,1922-09,9,4.67718468785386,5.195310757798253,0.4349392568789693,-0.518126069944393
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1923,1923-09,9,4.764453803690949,5.195310757798253,0.4349392568789693,-0.43085695410730374
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gn,historical,1924,1924-08,8,4.868953522021671,5.195310757798253,0.4349392568789693,-0.32635723577658204
