institution,source,member,grid,experiment,year,seb_Wm2,seb_anom_Wm2
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gn,historical,1850,-21.796420876686387,-3.8810549048810437
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gn,historical,1851,-18.773977908664754,-0.8586119368594108
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gn,historical,1852,-16.7278991420509,1.1874668297544428
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gn,historical,1853,-19.207580202617248,-1.292214230811905
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gn,historical,1854,-19.001525806774016,-1.086159834968673
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gn,historical,1855,-19.87395108711725,-1.9585851153119052
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gn,historical,1856,-15.30934301593229,2.6060229558730543
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gn,historical,1857,-17.93543587530213,-0.020069903496785873
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gn,historical,1858,-16.99148590296363,0.9238800688417177
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gn,historical,1859,-16.61120769590131,1.304158275904036
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gn,historical,1860,-19.93815291093146,-2.022786939126114
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gn,historical,1861,-17.41975737962552,0.4956085921798241
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gn,historical,1862,-15.838170979026577,2.0771949927787676
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gn,historical,1863,-16.80208148345555,1.1132844883497934
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gn,historical,1864,-19.826283720651826,-1.9109177488464821
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gn,historical,1865,-15.658347312975124,2.2570186588302215
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gn,historical,1866,-17.64708975984253,0.2682762119628152
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gn,historical,1867,-21.051444413380924,-3.1360784415755822
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gn,historical,1868,-16.83213438661423,1.0832315851911132
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gn,historical,1869,-19.5376212966242,-1.6222553248188538
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gn,historical,1870,-17.565832644781576,0.34953332702376666
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gn,historical,1871,-20.946278663521436,-3.0309126917160913
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gn,historical,1872,-17.51155237370365,0.40381359810169126
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gn,historical,1873,-21.128021965693208,-3.2126559938878625
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gn,historical,1874,-15.557849597799953,2.3575163740053906
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gn,historical,1875,-20.127989653513847,-2.2126236817085037
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gn,historical,1876,-18.31165029314391,-0.3962843213385668
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gn,historical,1877,-19.058729037879996,-1.1433630660746517
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gn,historical,1878,-20.437501750947337,-2.5221357791419963
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gn,historical,1879,-21.62581676695866,-3.710450795153317
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gn,historical,1880,-20.566603087940425,-2.651237116135083
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gn,historical,1881,-19.6126863778894,-1.6973204060840539
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gn,historical,1882,-18.2047724408006,-0.28940646899525585
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gn,historical,1883,-17.75504669339866,0.16031927840668306
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gn,historical,1884,-20.587838816556243,-2.6724728447508976
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gn,historical,1885,-19.572612474900946,-1.6572465030956032
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gn,historical,1886,-19.5946823716224,-1.679316399817058
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gn,historical,1887,-18.811578337989392,-0.896212366184049
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gn,historical,1888,-21.094594359780963,-3.1792283879756194
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gn,historical,1889,-17.113312323640667,0.8020536481646782
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gn,historical,1890,-17.81076823083946,0.10459774096588159
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gn,historical,1891,-17.141984183643206,0.7733817881621389
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gn,historical,1892,-18.825722109512483,-0.9103561377071406
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gn,historical,1893,-17.11218053098355,0.8031854408217937
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gn,historical,1894,-19.837548500196707,-1.922182528391362
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gn,historical,1895,-18.70679901673014,-0.7914330449247954
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gn,historical,1896,-18.3073414660071,-0.3919754942017571
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gn,historical,1897,-20.16579806222577,-2.2504320904204254
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gn,historical,1898,-19.572888174778196,-1.6575222029728511
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gn,historical,1899,-19.087837971969524,-1.1724720001641808
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gn,historical,1900,-19.245732294818648,-1.330366323013303
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gn,historical,1901,-16.76356019358693,1.1518057782184148
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gn,historical,1902,-17.292855286915742,0.6225106848896026
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gn,historical,1903,-19.45007296924274,-1.5347069974373975
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gn,historical,1904,-18.40965374034526,-0.4942877685399143
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gn,historical,1905,-17.599136204966808,0.31622976683853743
