institution,source,member,siconc_grid,experiment,time,year,month,sia_Mkm2,pi_clim_sia_Mkm2,sia_anom_Mkm2
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1850-01,1850,1,17.687980761197473,17.285416074381462,0.4025646868160102
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1850-02,1850,2,18.256128366965196,17.497225499721495,0.7589028672437017
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1850-03,1850,3,17.236374943647977,17.60969609089558,-0.37332114724760146
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1850-04,1850,4,17.308619672405104,17.508402586686373,-0.19978291428126838
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1850-05,1850,5,17.16428949952116,16.952739049028573,0.21155045049258803
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1850-06,1850,6,16.368451449208358,16.03691494424298,0.3315365049653778
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1850-07,1850,7,13.166731884367021,13.658673164792788,-0.4919412804257668
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1850-08,1850,8,10.855696511607716,11.210154309328562,-0.35445779772084585
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1850-09,1850,9,11.695907683423492,11.518504364536321,0.17740331888717087
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1850-10,1850,10,13.781287770729556,14.501066403089025,-0.7197786323594695
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1850-11,1850,11,16.141578188575508,16.592202051104046,-0.4506238625285377
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1850-12,1850,12,17.51985555616279,17.10286750398201,0.41698805218077695
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1851-01,1851,1,17.574103603274814,17.285416074381462,0.2886875288933517
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1851-02,1851,2,16.798066598107805,17.497225499721495,-0.6991589016136892
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1851-03,1851,3,17.017735479850817,17.60969609089558,-0.5919606110447617
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1851-04,1851,4,17.40270547520547,17.508402586686373,-0.10569711148090377
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1851-05,1851,5,16.929896242306132,16.952739049028573,-0.022842806722440656
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1851-06,1851,6,15.068463664617484,16.03691494424298,-0.968451279625496
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1851-07,1851,7,13.440472786269533,13.658673164792788,-0.2182003785232549
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1851-08,1851,8,11.26267118455527,11.210154309328562,0.05251687522670778
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1851-09,1851,9,10.248689967669685,11.518504364536321,-1.2698143968666358
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1851-10,1851,10,13.138231203169918,14.501066403089025,-1.3628351999191075
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1851-11,1851,11,16.518831612790276,16.592202051104046,-0.07337043831376988
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1851-12,1851,12,17.35470686947875,17.10286750398201,0.251839365496739
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1852-01,1852,1,17.072812368782667,17.285416074381462,-0.21260370559879505
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1852-02,1852,2,18.05741020641242,17.497225499721495,0.5601847066909258
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1852-03,1852,3,17.739621626694376,17.60969609089558,0.1299255357987974
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1852-04,1852,4,18.345298056894546,17.508402586686373,0.836895470208173
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1852-05,1852,5,16.278353288095687,16.952739049028573,-0.6743857609328856
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1852-06,1852,6,15.645627829444773,16.03691494424298,-0.39128711479820666
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1852-07,1852,7,14.25023231709414,13.658673164792788,0.5915591523013521
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1852-08,1852,8,11.848160562939968,11.210154309328562,0.6380062536114064
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1852-09,1852,9,11.872270753355114,11.518504364536321,0.3537663888187925
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1852-10,1852,10,14.089781817634417,14.501066403089025,-0.41128458545460767
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1852-11,1852,11,16.97424292235467,16.592202051104046,0.3820408712506236
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1852-12,1852,12,16.557048387412284,17.10286750398201,-0.5458191165697279
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1853-01,1853,1,17.9261951388674,17.285416074381462,0.6407790644859368
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1853-02,1853,2,17.43852472865521,17.497225499721495,-0.058700771066284574
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1853-03,1853,3,17.723096139652647,17.60969609089558,0.1134000487570681
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1853-04,1853,4,17.86337327893222,17.508402586686373,0.3549706922458462
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1853-05,1853,5,16.94334767477555,16.952739049028573,-0.009391374253024054
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1853-06,1853,6,16.6789706397307,16.03691494424298,0.6420556954877199
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1853-07,1853,7,14.73825839116252,13.658673164792788,1.0795852263697316
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1853-08,1853,8,13.026572285132596,11.210154309328562,1.8164179758040344
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1853-09,1853,9,12.927717938813851,11.518504364536321,1.4092135742775298
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1853-10,1853,10,15.042981509369364,14.501066403089025,0.5419151062803387
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1853-11,1853,11,17.12149323192355,16.592202051104046,0.5292911808195058
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1853-12,1853,12,17.22964519075009,17.10286750398201,0.12677768676807943
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1854-01,1854,1,17.643853357639234,17.285416074381462,0.35843728325777136
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1854-02,1854,2,17.760669337452203,17.497225499721495,0.26344383773070845
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1854-03,1854,3,17.568929445229475,17.60969609089558,-0.04076664566610333
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1854-04,1854,4,17.814627510611867,17.508402586686373,0.3062249239254946
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1854-05,1854,5,16.97240284002377,16.952739049028573,0.019663790995195995
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1854-06,1854,6,16.500164427376045,16.03691494424298,0.46324948313306535
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1854-07,1854,7,14.574994535890344,13.658673164792788,0.9163213710975562
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1854-08,1854,8,12.816047378806573,11.210154309328562,1.605893069478011
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1854-09,1854,9,12.549265893005604,11.518504364536321,1.0307615284692826
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1854-10,1854,10,14.336752594474525,14.501066403089025,-0.16431380861449973
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1854-11,1854,11,16.60747285738146,16.592202051104046,0.01527080627741384
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1854-12,1854,12,17.64355586712782,17.10286750398201,0.5406883631458079
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1855-01,1855,1,17.111698838073142,17.285416074381462,-0.17371723630832037
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1855-02,1855,2,17.12632612955095,17.497225499721495,-0.37089937017054453
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1855-03,1855,3,17.759691309844275,17.60969609089558,0.14999521894869616
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1855-04,1855,4,17.605914542165923,17.508402586686373,0.0975119554795505
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1855-05,1855,5,16.39562728080205,16.952739049028573,-0.5571117682265232
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1855-06,1855,6,14.95354895387924,16.03691494424298,-1.08336599036374
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1855-07,1855,7,14.65875014180844,13.658673164792788,1.0000769770156523
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1855-08,1855,8,12.843018178074592,11.210154309328562,1.6328638687460302
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1855-09,1855,9,12.565965270446906,11.518504364536321,1.0474609059105848
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1855-10,1855,10,15.29119990812747,14.501066403089025,0.7901335050384457
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1855-11,1855,11,17.02118845675704,16.592202051104046,0.42898640565299573
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1855-12,1855,12,17.430896020990122,17.10286750398201,0.32802851700811075
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1856-01,1856,1,16.831539319524477,17.285416074381462,-0.4538767548569851
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1856-02,1856,2,17.810170328070726,17.497225499721495,0.3129448283492309
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1856-03,1856,3,18.01779078028009,17.60969609089558,0.4080946893845123
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1856-04,1856,4,17.13647365362236,17.508402586686373,-0.3719289330640123
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1856-05,1856,5,17.372973172567143,16.952739049028573,0.42023412353857026
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1856-06,1856,6,15.500279057374827,16.03691494424298,-0.5366358868681527
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1856-07,1856,7,12.820213362082402,13.658673164792788,-0.8384598027103856
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1856-08,1856,8,10.32367074137233,11.210154309328562,-0.8864835679562315
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1856-09,1856,9,10.732637552856701,11.518504364536321,-0.7858668116796199
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1856-10,1856,10,13.767849022413934,14.501066403089025,-0.7332173806750912
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1856-11,1856,11,17.213044969475487,16.592202051104046,0.6208429183714408
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1856-12,1856,12,17.012892881849957,17.10286750398201,-0.0899746221320541
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1857-01,1857,1,17.536450209723558,17.285416074381462,0.2510341353420955
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1857-02,1857,2,15.76166374370381,17.497225499721495,-1.7355617560176846
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1857-03,1857,3,17.714125435178094,17.60969609089558,0.10442934428251505
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1857-04,1857,4,17.619679719316164,17.508402586686373,0.111277132629791
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1857-05,1857,5,17.29917177750531,16.952739049028573,0.34643272847673856
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1857-06,1857,6,16.188423419734285,16.03691494424298,0.15150847549130475
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1857-07,1857,7,14.740771395203453,13.658673164792788,1.082098230410665
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1857-08,1857,8,12.154093787073988,11.210154309328562,0.9439394777454257
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1857-09,1857,9,12.187290687973613,11.518504364536321,0.6687863234372919
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1857-10,1857,10,14.240944236079683,14.501066403089025,-0.2601221670093423
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1857-11,1857,11,16.684944816975076,16.592202051104046,0.09274276587103003
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1857-12,1857,12,17.823495000466455,17.10286750398201,0.7206274964844432
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1858-01,1858,1,17.443670642913684,17.285416074381462,0.15825456853222164
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1858-02,1858,2,16.71872840454506,17.497225499721495,-0.7784970951764336
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1858-03,1858,3,17.396359671272947,17.60969609089558,-0.21333641962263172
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1858-04,1858,4,17.873340250420316,17.508402586686373,0.36493766373394365
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1858-05,1858,5,16.485885251822616,16.952739049028573,-0.46685379720595677
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1858-06,1858,6,16.071085131683024,16.03691494424298,0.03417018744004352
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1858-07,1858,7,13.393033936944265,13.658673164792788,-0.26563922784852245
