institution,source,member,siconc_grid,experiment,year,summer_min_time,summer_min_month,summer_min_sia_Mkm2,piControl_mean_summer_min_sia_Mkm2,piControl_std_summer_min_sia_Mkm2,summer_min_sia_anom_Mkm2
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1850,1850-08,8,10.855696511607716,11.116128378796006,0.7748322059602997,-0.2604318671882897
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1851,1851-09,9,10.248689967669685,11.116128378796006,0.7748322059602997,-0.8674384111263205
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1852,1852-08,8,11.848160562939968,11.116128378796006,0.7748322059602997,0.7320321841439625
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1853,1853-09,9,12.927717938813851,11.116128378796006,0.7748322059602997,1.811589560017845
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1854,1854-09,9,12.549265893005604,11.116128378796006,0.7748322059602997,1.433137514209598
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1855,1855-09,9,12.565965270446906,11.116128378796006,0.7748322059602997,1.4498368916509001
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1856,1856-08,8,10.32367074137233,11.116128378796006,0.7748322059602997,-0.7924576374236754
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1857,1857-08,8,12.154093787073988,11.116128378796006,0.7748322059602997,1.037965408277982
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1858,1858-09,9,10.696281725484118,11.116128378796006,0.7748322059602997,-0.41984665331188786
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1859,1859-08,8,10.498541277605135,11.116128378796006,0.7748322059602997,-0.6175871011908711
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1860,1860-08,8,11.016131622598657,11.116128378796006,0.7748322059602997,-0.09999675619734916
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1861,1861-08,8,10.628434334453454,11.116128378796006,0.7748322059602997,-0.48769404434255215
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1862,1862-08,8,10.648996276912445,11.116128378796006,0.7748322059602997,-0.4671321018835606
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1863,1863-08,8,10.834207732858008,11.116128378796006,0.7748322059602997,-0.2819206459379977
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1864,1864-08,8,12.363808643152968,11.116128378796006,0.7748322059602997,1.247680264356962
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1865,1865-08,8,9.892705370194475,11.116128378796006,0.7748322059602997,-1.2234230086015305
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1866,1866-08,8,10.06169074647333,11.116128378796006,0.7748322059602997,-1.054437632322676
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1867,1867-08,8,10.72013874414104,11.116128378796006,0.7748322059602997,-0.3959896346549652
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1868,1868-08,8,11.319207509084697,11.116128378796006,0.7748322059602997,0.20307913028869073
