institution,source,member,grid,experiment,year,seb_Wm2,seb_anom_Wm2
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1850,-20.24240981686464,2.17515605062916
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1851,-20.418153438194164,1.9994124292996374
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1852,-23.906698195785257,-1.4891323282914568
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1853,-22.812756155943585,-0.3951902884497853
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1854,-21.320222895226085,1.0973429722677164
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1855,-23.191629819073956,-0.7740639515801586
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1856,-22.53749544963038,-0.11992958213657919
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1857,-22.87601317357534,-0.4584473060815422
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1858,-22.86692318516602,-0.44935731767222037
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1859,-22.661723908929336,-0.24415804143553585
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1860,-23.315197813102106,-0.8976319456083077
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1861,-19.23718934619772,3.1803765212960813
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1862,-23.068949643374008,-0.6513837758802042
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1863,-22.287357197282006,0.13020867021179564
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1864,-22.137333891022717,0.2802319764710835
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1865,-21.458651733718813,0.9589141337749849
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1866,-19.476496903147513,2.9410689643462873
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1867,-20.62894385338897,1.7886220141048284
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1868,-21.646003764942318,0.7715621025514828
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1869,-25.750034771287243,-3.332468903793444
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1870,-20.16222120864901,2.255344658844789
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1871,-24.492631833133455,-2.0750659656396526
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1872,-22.711753956798674,-0.29418808930487206
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1873,-21.36308651462169,1.0544793528721124
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1874,-19.75947377575362,2.6580920917401794
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1875,-21.03617579048675,1.3813900770070469
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1876,-23.214411833728764,-0.7968459662349675
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1877,-24.72107819789802,-2.3035123304042187
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1878,-22.03969223971963,0.3778736277741685
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1879,-23.341323186828465,-0.9237573193346661
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1880,-24.14564981383597,-1.728083946342168
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1881,-24.98448173503752,-2.5669158675437207
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1882,-20.671132541419833,1.7464333260739682
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1883,-20.540964753628483,1.876601113865317
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1884,-24.53149886951015,-2.1139330020163514
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1885,-22.28495087773751,0.1326149897562896
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1886,-24.40127542402033,-1.9837095565265308
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1887,-23.39040698026106,-0.9728411127672564
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1888,-25.218364016686284,-2.8007981491924827
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1889,-23.181770417527318,-0.7642045500335154
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1890,-26.026840743711315,-3.609274876217514
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1891,-19.901401054968108,2.5161648125256906
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1892,-21.956136419353935,0.4614294481398688
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1893,-21.059225581081567,1.3583402864122318
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1894,-20.654138996610346,1.7634268708834533
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1895,-20.960956750060458,1.456609117433346
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1896,-20.01098475181362,2.4065811156801815
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1897,-16.709426035072344,5.708139832421455
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1898,-22.049894375599973,0.3676714918938308
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1899,-21.25354317331177,1.1640226941820326
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1900,-20.20946922901973,2.208096638474069
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1901,-19.3356708693495,3.081894998144301
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1902,-25.12183746789047,-2.7042716003966643
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1903,-23.79245374533559,-1.3748878778417877
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1904,-25.43173562519262,-3.014169757698818
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1905,-24.24111781808187,-1.823551950588069
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1906,-24.85315695988174,-2.435591092387938
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1907,-21.987287956093,0.43027791140080307
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1908,-21.291478108200764,1.126087759293035
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1909,-23.4213686588413,-1.0038027913474983
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1910,-23.08099460675092,-0.6634287392571189
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1911,-20.574817439664454,1.8427484278293473
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1912,-23.084373346025547,-0.6668074785317492
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1913,-27.079321050547133,-4.661755183053331
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1914,-23.471407447089717,-1.05384157959592
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1915,-21.18578669286803,1.2317791746257694
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1916,-24.054016282755615,-1.6364504152618153
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1917,-23.633309995297555,-1.215744127803756
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1918,-22.263092839801033,0.15447302769276808
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1919,-20.80452756222948,1.6130383052643207
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1920,-21.008948162677616,1.4086177048161848
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1921,-24.078574762737816,-1.6610088952440167
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1922,-21.957850752743713,0.459715114750086
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1923,-21.268771957949294,1.1487939095445092
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1924,-21.42196886987902,0.9955969976147822
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1925,-22.90257352812021,-0.48500766062641176
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1926,-23.767671756482525,-1.350105888988721
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1927,-21.235481580064175,1.1820842874296265
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1928,-22.99018941659908,-0.5726235491052784
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1929,-24.52351103459833,-2.1059451671045255
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1930,-21.008949920311466,1.408615947182336
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1931,-22.51115645313897,-0.09359058564517042
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1932,-24.218968200206998,-1.801402332713197
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1933,-21.245269986150888,1.172295881342911
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1934,-23.627973760284515,-1.2104078927907158
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1935,-23.09643459290366,-0.6788687254098553
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1936,-18.84218508508373,3.575380782410067
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1937,-22.68374777540171,-0.2661819079079096
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1938,-21.21379877214078,1.203767095353018
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1939,-23.49464091824217,-1.0770750507483688
