institution,source,member,siconc_grid,experiment,time,year,month,sia_Mkm2,pi_clim_sia_Mkm2,sia_anom_Mkm2
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1850-01,1850,1,12.932397509705233,12.442276298783865,0.49012121092136773
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1850-02,1850,2,12.891687195552,12.734928227892057,0.15675896765994324
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1850-03,1850,3,12.984380705156457,12.800302515476398,0.18407818968005962
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1850-04,1850,4,12.717417741618922,12.594364298995112,0.12305344262381013
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1850-05,1850,5,11.912859129690778,11.71072661806188,0.20213251162889811
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1850-06,1850,6,10.227046895870943,9.96964121137867,0.25740568449227297
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1850-07,1850,7,7.601279238022251,7.311782786145561,0.2894964518766896
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1850-08,1850,8,5.49852730709816,5.1287070884261095,0.36982021867205095
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1850-09,1850,9,5.659194414748529,5.352475925832218,0.30671848891631104
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1850-10,1850,10,7.800188553620955,7.2861834244739025,0.5140051291470522
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1850-11,1850,11,10.281756171376035,9.780014806758455,0.5017413646175797
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1850-12,1850,12,11.910187523631395,11.59952428382166,0.31066323980973465
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1851-01,1851,1,12.62561959103477,12.442276298783865,0.18334329225090507
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1851-02,1851,2,12.918471668058894,12.734928227892057,0.18354344016683655
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1851-03,1851,3,12.905976326890086,12.800302515476398,0.1056738114136877
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1851-04,1851,4,12.817374167597047,12.594364298995112,0.2230098686019346
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1851-05,1851,5,12.031697018146547,11.71072661806188,0.3209704000846667
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1851-06,1851,6,10.47064707675891,9.96964121137867,0.5010058653802396
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1851-07,1851,7,8.142083322732503,7.311782786145561,0.8303005365869423
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1851-08,1851,8,5.986350353617074,5.1287070884261095,0.8576432651909647
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1851-09,1851,9,6.161181218190846,5.352475925832218,0.8087052923586278
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1851-10,1851,10,8.345081222506366,7.2861834244739025,1.0588977980324632
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1851-11,1851,11,10.545300274328742,9.780014806758455,0.7652854675702869
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1851-12,1851,12,11.830218579538506,11.59952428382166,0.2306942957168463
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1852-01,1852,1,12.759559923134931,12.442276298783865,0.3172836243510666
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1852-02,1852,2,13.002526211383026,12.734928227892057,0.26759798349096897
