institution,source,member,siconc_grid,experiment,year,summer_min_time,summer_min_month,summer_min_sia_Mkm2,piControl_mean_summer_min_sia_Mkm2,piControl_std_summer_min_sia_Mkm2,summer_min_sia_anom_Mkm2
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1850,1850-08,8,5.49852730709816,5.118003376518104,0.602836235779717,0.38052393058005674
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1851,1851-08,8,5.986350353617074,5.118003376518104,0.602836235779717,0.8683469770989705
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1852,1852-08,8,6.212466577675895,5.118003376518104,0.602836235779717,1.094463201157791
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1853,1853-08,8,6.506074657571142,5.118003376518104,0.602836235779717,1.3880712810530387
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1854,1854-08,8,6.0702799177517734,5.118003376518104,0.602836235779717,0.9522765412336698
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1855,1855-08,8,5.8474494215734305,5.118003376518104,0.602836235779717,0.7294460450553268
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1856,1856-08,8,5.868697081875797,5.118003376518104,0.602836235779717,0.7506937053576932
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1857,1857-09,9,5.127539645886517,5.118003376518104,0.602836235779717,0.009536269368413564
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1858,1858-08,8,5.865990620555549,5.118003376518104,0.602836235779717,0.7479872440374455
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1859,1859-08,8,5.647645202706366,5.118003376518104,0.602836235779717,0.5296418261882625
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1860,1860-08,8,5.302038708648462,5.118003376518104,0.602836235779717,0.1840353321303585
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1861,1861-08,8,5.375699133323272,5.118003376518104,0.602836235779717,0.25769575680516876
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1862,1862-08,8,5.539697755850082,5.118003376518104,0.602836235779717,0.42169437933197873
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1863,1863-08,8,5.562606814088524,5.118003376518104,0.602836235779717,0.44460343757042065
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1864,1864-08,8,4.83861158738943,5.118003376518104,0.602836235779717,-0.2793917891286739
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1865,1865-08,8,5.47610071728853,5.118003376518104,0.602836235779717,0.358097340770426
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1866,1866-08,8,5.48471391282557,5.118003376518104,0.602836235779717,0.3667105363074663
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1867,1867-09,9,5.73457723288833,5.118003376518104,0.602836235779717,0.6165738563702261
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,1868,1868-08,8,5.916972759119016,5.118003376518104,0.602836235779717,0.7989693826009123
