institution,source,member,grid,experiment,year,seb_Wm2,seb_anom_Wm2
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1850,-22.965295308209942,-0.5955261894651311
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1851,-19.33460097096297,3.035168147781839
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1852,-23.142602318164403,-0.7728331994195893
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1853,-22.155399068976653,0.21437004976815763
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1854,-22.356857712330008,0.012911406414805112
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1855,-22.005760258664846,0.3640088600799662
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1856,-26.733141343259827,-4.363372224515014
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1857,-21.144054666941077,1.225714451803732
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1858,-22.360716722010412,0.009052396734399023
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1859,-19.818836721246498,2.550932397498312
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1860,-20.774824403896762,1.5949447148480485
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1861,-24.883590230159825,-2.51382111141501
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1862,-25.29656432700024,-2.9267952082554305
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1863,-23.052487522688594,-0.6827184039437816
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1864,-22.3998590349323,-0.030089916187486427
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1865,-24.357577687078493,-1.9878085683336837
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1866,-22.56530310855098,-0.19553398980617023
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1867,-22.24753017236701,0.12223894637779804
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1868,-22.61854478385959,-0.24877566511477944
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1869,-23.487502389520817,-1.1177332707760061
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1870,-22.060634198952528,0.30913491979228347
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1871,-22.185840271972854,0.18392884677195878
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1872,-22.057497994825212,0.31227112391960016
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1873,-20.63669503542197,1.7330740833228422
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1874,-21.361388627047248,1.0083804916975632
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1875,-22.678950475956867,-0.30918135721205875
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1876,-22.893529322866076,-0.5237602041212659
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1877,-21.4909311239868,0.8788379947580097
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1878,-19.755452915592898,2.614316203151913
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1879,-21.030734074876246,1.3390350438685659
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1880,-21.678296723809222,0.6914723949355887
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1881,-23.120827390957697,-0.7510582722128843
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1882,-19.946891625075462,2.422877493669351
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1883,-21.188448461822897,1.1813206569219175
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1884,-25.706258088364574,-3.336488969619763
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1885,-19.305830305711734,3.0639388130330807
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1886,-20.9434139632825,1.4263551554623148
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1887,-22.48643278779005,-0.11666366904523635
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1888,-20.08670259701457,2.283066521730243
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1889,-20.46531465855138,1.9044544601934297
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1890,-23.291622205585213,-0.9218530868403993
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1891,-23.621654216052033,-1.2518850973072206
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1892,-21.90538559771497,0.46438352102983727
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1893,-21.753587593523317,0.6161815252214954
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1894,-24.102455014530793,-1.7326858957859834
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1895,-21.546081416809752,0.8236877019350614
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1896,-22.403717734691014,-0.033948615946200654
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1897,-24.198556726085396,-1.8287876073405844
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1898,-21.645827862697242,0.7239412560475706
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1899,-21.80048603410427,0.5692830846405389
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1900,-25.793285920125992,-3.4235168013811794
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1901,-22.851711170842332,-0.48194205209752045
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1902,-23.950543770643396,-1.5807746518985832
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1903,-23.16100393255593,-0.7912348138111144
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1904,-22.530953610876807,-0.1611844921319975
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1905,-21.27798503198979,1.0917840867550206
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1906,-21.37520000870695,0.994569110037863
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1907,-23.286533168644127,-0.9167640498993133
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1908,-23.101614821550793,-0.73184570280598
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1909,-21.161014622705096,1.2087544960397159
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1910,-20.962681723599346,1.407087395145467
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1911,-23.934525775115645,-1.564756656370833
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1912,-24.09849993194557,-1.7287308132007588
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1913,-24.441375916051538,-2.071606797306726
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1914,-24.209991695171976,-1.840222576427163
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1915,-23.023883342342085,-0.6541142235972709
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1916,-25.149617617069357,-2.7798484983245473
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1917,-22.16084267033749,0.20892644840731775
