institution,source,member,siconc_grid,experiment,time,year,month,sia_Mkm2,pi_clim_sia_Mkm2,sia_anom_Mkm2
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1850-01,1850,1,12.417131029865766,12.46439324807196,-0.04726221820619436
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1850-02,1850,2,12.837630063635505,12.763345495202323,0.07428456843318187
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1850-03,1850,3,12.92418935571569,12.85003905745385,0.07415029826183961
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1850-04,1850,4,12.604240279846763,12.628508977721728,-0.024268697874964218
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1850-05,1850,5,11.739048238452225,11.66691685986157,0.07213137859065633
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1850-06,1850,6,10.06121822757318,9.976523623563297,0.08469460400988282
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1850-07,1850,7,7.2536356888192435,7.6331252214191965,-0.379489532599953
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1850-08,1850,8,5.108869479879491,5.735170216478646,-0.6263007365991546
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1850-09,1850,9,5.334376787347233,5.907398760841263,-0.5730219734940292
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1850-10,1850,10,7.1623438070011165,7.708548746192416,-0.5462049391912993
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1850-11,1850,11,10.206002293982039,10.054588232460844,0.1514140615211943
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1850-12,1850,12,11.889689732321699,11.70504233648607,0.18464739583562917
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1851-01,1851,1,12.585470202084508,12.46439324807196,0.12107695401254759
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1851-02,1851,2,13.064083317434303,12.763345495202323,0.3007378222319801
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1851-03,1851,3,13.257032396819973,12.85003905745385,0.4069933393661227
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1851-04,1851,4,13.10455955190241,12.628508977721728,0.4760505741806824
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1851-05,1851,5,12.013848634040732,11.66691685986157,0.3469317741791631
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1851-06,1851,6,10.231360537562642,9.976523623563297,0.2548369139993447
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1851-07,1851,7,7.868922361117222,7.6331252214191965,0.2357971396980254
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1851-08,1851,8,6.04783591586512,5.735170216478646,0.31266569938647404
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1851-09,1851,9,6.249746527929503,5.907398760841263,0.3423477670882402
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1851-10,1851,10,8.15757715545274,7.708548746192416,0.4490284092603245
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1851-11,1851,11,10.21463816052868,10.054588232460844,0.1600499280678349
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1851-12,1851,12,12.036919265226814,11.70504233648607,0.33187692874074415
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1852-01,1852,1,12.65135701468819,12.46439324807196,0.1869637666162287
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1852-02,1852,2,13.050171143013378,12.763345495202323,0.2868256478110549
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1852-03,1852,3,13.14558996137547,12.85003905745385,0.29555090392161887
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1852-04,1852,4,12.885103540758266,12.628508977721728,0.25659456303653805
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1852-05,1852,5,11.732656517111337,11.66691685986157,0.06573965724976816
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1852-06,1852,6,9.97997029514886,9.976523623563297,0.003446671585562555
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1852-07,1852,7,7.3927397718503585,7.6331252214191965,-0.240385449568838
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1852-08,1852,8,5.5536291803333,5.735170216478646,-0.18154103614534556
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1852-09,1852,9,5.885957241729765,5.907398760841263,-0.021441519111497165
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1852-10,1852,10,7.425401463459002,7.708548746192416,-0.28314728273341405
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1852-11,1852,11,10.12275691967459,10.054588232460844,0.06816868721374547
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1852-12,1852,12,11.954450156342014,11.70504233648607,0.24940781985594462
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1853-01,1853,1,12.99690137813833,12.46439324807196,0.5325081300663701
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1853-02,1853,2,13.189873632786023,12.763345495202323,0.42652813758370023
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1853-03,1853,3,13.270308553529935,12.85003905745385,0.42026949607608444
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1853-04,1853,4,12.881610884556556,12.628508977721728,0.2531019068348286
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1853-05,1853,5,12.142910710448087,11.66691685986157,0.47599385058651755
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1853-06,1853,6,10.417849210083373,9.976523623563297,0.44132558652007603
