institution,source,member,siconc_grid,experiment,year,summer_min_time,summer_min_month,summer_min_sia_Mkm2,piControl_mean_summer_min_sia_Mkm2,piControl_std_summer_min_sia_Mkm2,summer_min_sia_anom_Mkm2
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1850,1850-08,8,5.108869479879491,5.7180324747327225,0.493814940647838,-0.6091629948532313
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1851,1851-08,8,6.04783591586512,5.7180324747327225,0.493814940647838,0.32980344113239735
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1852,1852-08,8,5.5536291803333,5.7180324747327225,0.493814940647838,-0.16440329439942225
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1853,1853-08,8,5.964524121089252,5.7180324747327225,0.493814940647838,0.24649164635652987
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1854,1854-08,8,6.4421200693667675,5.7180324747327225,0.493814940647838,0.724087594634045
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1855,1855-08,8,5.524507652768792,5.7180324747327225,0.493814940647838,-0.19352482196393073
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1856,1856-08,8,6.2461932127424085,5.7180324747327225,0.493814940647838,0.528160738009686
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1857,1857-08,8,6.211601477687186,5.7180324747327225,0.493814940647838,0.49356900295446327
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1858,1858-08,8,6.276755840226453,5.7180324747327225,0.493814940647838,0.5587233654937309
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1859,1859-08,8,5.961172661779722,5.7180324747327225,0.493814940647838,0.24314018704699958
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1860,1860-08,8,6.37563614217079,5.7180324747327225,0.493814940647838,0.6576036674380674
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1861,1861-08,8,5.811391053097236,5.7180324747327225,0.493814940647838,0.09335857836451389
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1862,1862-08,8,5.908135430125279,5.7180324747327225,0.493814940647838,0.19010295539255662
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1863,1863-08,8,6.027954575696054,5.7180324747327225,0.493814940647838,0.3099221009633313
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1864,1864-08,8,5.749450330061919,5.7180324747327225,0.493814940647838,0.031417855329196165
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1865,1865-09,9,5.646759797102476,5.7180324747327225,0.493814940647838,-0.07127267763024658
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1866,1866-08,8,5.783356641909822,5.7180324747327225,0.493814940647838,0.06532416717709921
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1867,1867-09,9,5.272742341105975,5.7180324747327225,0.493814940647838,-0.44529013362674785
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1868,1868-08,8,5.510900094698495,5.7180324747327225,0.493814940647838,-0.20713238003422774
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1869,1869-08,8,6.2020646545509805,5.7180324747327225,0.493814940647838,0.4840321798182581
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1870,1870-08,8,6.129246220429849,5.7180324747327225,0.493814940647838,0.4112137456971263
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1871,1871-09,9,6.498579851426837,5.7180324747327225,0.493814940647838,0.7805473766941144
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1872,1872-08,8,6.182996746364489,5.7180324747327225,0.493814940647838,0.4649642716317661
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1873,1873-09,9,6.040581055299768,5.7180324747327225,0.493814940647838,0.3225485805670454
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1874,1874-08,8,5.99533303924915,5.7180324747327225,0.493814940647838,0.2773005645164277
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1875,1875-08,8,6.213348387389595,5.7180324747327225,0.493814940647838,0.49531591265687247
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1876,1876-08,8,6.355539838814015,5.7180324747327225,0.493814940647838,0.6375073640812925
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1877,1877-08,8,5.991586361985183,5.7180324747327225,0.493814940647838,0.27355388725246055
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1878,1878-08,8,6.630526390388957,5.7180324747327225,0.493814940647838,0.9124939156562348
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1879,1879-08,8,6.396092258211507,5.7180324747327225,0.493814940647838,0.6780597834787843
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1880,1880-08,8,6.82342875671817,5.7180324747327225,0.493814940647838,1.1053962819854473
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1881,1881-08,8,6.738211889381636,5.7180324747327225,0.493814940647838,1.0201794146489132
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1882,1882-08,8,6.91607154053868,5.7180324747327225,0.493814940647838,1.1980390658059576
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1883,1883-08,8,6.289596574030227,5.7180324747327225,0.493814940647838,0.5715640992975048
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1884,1884-08,8,6.5531365265753045,5.7180324747327225,0.493814940647838,0.8351040518425821
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1885,1885-08,8,6.338859410316393,5.7180324747327225,0.493814940647838,0.6208269355836702
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1886,1886-08,8,6.946921456054128,5.7180324747327225,0.493814940647838,1.228888981321406
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1887,1887-08,8,6.817463345186064,5.7180324747327225,0.493814940647838,1.0994308704533413
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1888,1888-08,8,6.63813891115967,5.7180324747327225,0.493814940647838,0.9201064364269476
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1889,1889-09,9,6.41218857597032,5.7180324747327225,0.493814940647838,0.6941561012375974
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1890,1890-08,8,6.040424172968049,5.7180324747327225,0.493814940647838,0.3223916982353261
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1891,1891-08,8,6.592424418244652,5.7180324747327225,0.493814940647838,0.8743919435119292
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1892,1892-09,9,6.121892179870309,5.7180324747327225,0.493814940647838,0.4038597051375863
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1893,1893-08,8,5.958220919939207,5.7180324747327225,0.493814940647838,0.24018844520648486
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1894,1894-08,8,5.454086480853535,5.7180324747327225,0.493814940647838,-0.2639459938791875
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1895,1895-08,8,5.836141575118309,5.7180324747327225,0.493814940647838,0.11810910038558653
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1896,1896-08,8,6.03594997204959,5.7180324747327225,0.493814940647838,0.31791749731686725
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1897,1897-08,8,5.914157547985525,5.7180324747327225,0.493814940647838,0.19612507325280237
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1898,1898-08,8,6.26970878494557,5.7180324747327225,0.493814940647838,0.5516763102128479
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1899,1899-08,8,6.428804434145632,5.7180324747327225,0.493814940647838,0.7107719594129094
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1900,1900-08,8,5.685509307643679,5.7180324747327225,0.493814940647838,-0.03252316708904335
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1901,1901-09,9,6.295241721784967,5.7180324747327225,0.493814940647838,0.5772092470522443
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1902,1902-09,9,6.318542914240205,5.7180324747327225,0.493814940647838,0.6005104395074827
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1903,1903-08,8,6.807065489901015,5.7180324747327225,0.493814940647838,1.089033015168292
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,1904,1904-08,8,6.849944154558174,5.7180324747327225,0.493814940647838,1.1319116798254516
