institution,source,member,grid,experiment,year,seb_Wm2,seb_anom_Wm2
INM,INM-CM4-8,r1i1p1f1,gr1,historical,1850,-23.930277118222403,-1.9655254428941367
INM,INM-CM4-8,r1i1p1f1,gr1,historical,1851,-22.968413773815744,-1.0036620984874791
INM,INM-CM4-8,r1i1p1f1,gr1,historical,1852,-19.277231312234203,2.687520363094064
INM,INM-CM4-8,r1i1p1f1,gr1,historical,1853,-23.70165141587729,-1.7368997405490256
INM,INM-CM4-8,r1i1p1f1,gr1,historical,1854,-22.2200356201645,-0.2552839448362354
INM,INM-CM4-8,r1i1p1f1,gr1,historical,1855,-21.10231968605421,0.8624319892740555
INM,INM-CM4-8,r1i1p1f1,gr1,historical,1856,-24.07528027759925,-2.1105286022709864
INM,INM-CM4-8,r1i1p1f1,gr1,historical,1857,-21.285892084379707,0.6788595909485563
INM,INM-CM4-8,r1i1p1f1,gr1,historical,1858,-23.15283118238395,-1.1880795070556844
INM,INM-CM4-8,r1i1p1f1,gr1,historical,1859,-17.884951633476195,4.07980004185207
INM,INM-CM4-8,r1i1p1f1,gr1,historical,1860,-21.74104688227081,0.2237047930574564
INM,INM-CM4-8,r1i1p1f1,gr1,historical,1861,-19.123218317979532,2.841533357348732
INM,INM-CM4-8,r1i1p1f1,gr1,historical,1862,-23.071935740387037,-1.1071840650587725
INM,INM-CM4-8,r1i1p1f1,gr1,historical,1863,-21.90149156909511,0.06326010623315466
INM,INM-CM4-8,r1i1p1f1,gr1,historical,1864,-20.169171488322984,1.7955801870052832
INM,INM-CM4-8,r1i1p1f1,gr1,historical,1865,-18.834840040884824,3.129911634443438
INM,INM-CM4-8,r1i1p1f1,gr1,historical,1866,-22.60889137311854,-0.6441396977902748
INM,INM-CM4-8,r1i1p1f1,gr1,historical,1867,-22.098987259880744,-0.13423558455247755
INM,INM-CM4-8,r1i1p1f1,gr1,historical,1868,-19.981870047634605,1.9828816276936603
INM,INM-CM4-8,r1i1p1f1,gr1,historical,1869,-22.78739793538436,-0.8226462600560943
INM,INM-CM4-8,r1i1p1f1,gr1,historical,1870,-24.58373353370089,-2.6189818583726248
