institution,source,member,siconc_grid,experiment,time,year,month,sia_Mkm2,pi_clim_sia_Mkm2,sia_anom_Mkm2
INM,INM-CM5-0,r1i1p1f1,gr1,historical,1850-01,1850,1,12.083773749514398,12.368626109673055,-0.28485236015865745
INM,INM-CM5-0,r1i1p1f1,gr1,historical,1850-02,1850,2,12.420368367593493,12.683026215744967,-0.2626578481514734
INM,INM-CM5-0,r1i1p1f1,gr1,historical,1850-03,1850,3,12.697837824570462,12.80613809318659,-0.10830026861612829
INM,INM-CM5-0,r1i1p1f1,gr1,historical,1850-04,1850,4,12.156041468033575,12.489833551217346,-0.33379208318377174
INM,INM-CM5-0,r1i1p1f1,gr1,historical,1850-05,1850,5,11.030772731159525,11.488438212078824,-0.4576654809192995
INM,INM-CM5-0,r1i1p1f1,gr1,historical,1850-06,1850,6,9.591486962242454,9.995494250429955,-0.40400728818750054
INM,INM-CM5-0,r1i1p1f1,gr1,historical,1850-07,1850,7,8.004032346244438,8.301891117998641,-0.2978587717542034
INM,INM-CM5-0,r1i1p1f1,gr1,historical,1850-08,1850,8,6.677694129564823,6.965601210895638,-0.28790708133081555
INM,INM-CM5-0,r1i1p1f1,gr1,historical,1850-09,1850,9,6.320331515021743,6.825254537392732,-0.5049230223709893
INM,INM-CM5-0,r1i1p1f1,gr1,historical,1850-10,1850,10,7.691139835464071,8.419052273804844,-0.7279124383407733
INM,INM-CM5-0,r1i1p1f1,gr1,historical,1850-11,1850,11,9.909712194603564,10.348799503406418,-0.4390873088028542
INM,INM-CM5-0,r1i1p1f1,gr1,historical,1850-12,1850,12,11.053953397557155,11.724529103628203,-0.6705757060710482
INM,INM-CM5-0,r1i1p1f1,gr1,historical,1851-01,1851,1,11.863042422769324,12.368626109673055,-0.5055836869037318
INM,INM-CM5-0,r1i1p1f1,gr1,historical,1851-02,1851,2,12.250902175003331,12.683026215744967,-0.4321240407416358
INM,INM-CM5-0,r1i1p1f1,gr1,historical,1851-03,1851,3,12.396248474226047,12.80613809318659,-0.409889618960543
INM,INM-CM5-0,r1i1p1f1,gr1,historical,1851-04,1851,4,11.979914302268112,12.489833551217346,-0.5099192489492346
INM,INM-CM5-0,r1i1p1f1,gr1,historical,1851-05,1851,5,10.720625780306758,11.488438212078824,-0.7678124317720663
