institution,source,member,siconc_grid,experiment,year,summer_min_time,summer_min_month,summer_min_sia_Mkm2,piControl_mean_summer_min_sia_Mkm2,piControl_std_summer_min_sia_Mkm2,summer_min_sia_anom_Mkm2
INM,INM-CM5-0,r1i1p1f1,gr1,historical,1850,1850-09,9,6.320331515021743,6.80992213276042,0.513249438368017,-0.48959061773867685
INM,INM-CM5-0,r1i1p1f1,gr1,historical,1851,1851-09,9,6.2936077532032355,6.80992213276042,0.513249438368017,-0.5163143795571843
INM,INM-CM5-0,r1i1p1f1,gr1,historical,1852,1852-08,8,6.609308266767157,6.80992213276042,0.513249438368017,-0.20061386599326259
INM,INM-CM5-0,r1i1p1f1,gr1,historical,1853,1853-09,9,6.70420729292504,6.80992213276042,0.513249438368017,-0.10571483983537977
INM,INM-CM5-0,r1i1p1f1,gr1,historical,1854,1854-08,8,6.758443148903882,6.80992213276042,0.513249438368017,-0.05147898385653793
INM,INM-CM5-0,r1i1p1f1,gr1,historical,1855,1855-09,9,7.09759493565056,6.80992213276042,0.513249438368017,0.28767280289013986
INM,INM-CM5-0,r1i1p1f1,gr1,historical,1856,1856-09,9,7.124942735293154,6.80992213276042,0.513249438368017,0.31502060253273445
INM,INM-CM5-0,r1i1p1f1,gr1,historical,1857,1857-08,8,6.676791411022474,6.80992213276042,0.513249438368017,-0.13313072173794538
INM,INM-CM5-0,r1i1p1f1,gr1,historical,1858,1858-09,9,7.20593289078831,6.80992213276042,0.513249438368017,0.39601075802788976
INM,INM-CM5-0,r1i1p1f1,gr1,historical,1859,1859-09,9,6.872771737698439,6.80992213276042,0.513249438368017,0.06284960493801961
INM,INM-CM5-0,r1i1p1f1,gr1,historical,1860,1860-09,9,6.0451696248107805,6.80992213276042,0.513249438368017,-0.7647525079496393
INM,INM-CM5-0,r1i1p1f1,gr1,historical,1861,1861-09,9,6.858991090088469,6.80992213276042,0.513249438368017,0.049068957328048945
INM,INM-CM5-0,r1i1p1f1,gr1,historical,1862,1862-08,8,6.590111624190465,6.80992213276042,0.513249438368017,-0.21981050856995488
INM,INM-CM5-0,r1i1p1f1,gr1,historical,1863,1863-09,9,7.562730585118348,6.80992213276042,0.513249438368017,0.7528084523579279
INM,INM-CM5-0,r1i1p1f1,gr1,historical,1864,1864-08,8,6.644819322163542,6.80992213276042,0.513249438368017,-0.1651028105968777
INM,INM-CM5-0,r1i1p1f1,gr1,historical,1865,1865-09,9,6.6578853398391695,6.80992213276042,0.513249438368017,-0.15203679292125027
INM,INM-CM5-0,r1i1p1f1,gr1,historical,1866,1866-09,9,6.913505448540692,6.80992213276042,0.513249438368017,0.10358331578027258
INM,INM-CM5-0,r1i1p1f1,gr1,historical,1867,1867-09,9,6.574505576589954,6.80992213276042,0.513249438368017,-0.23541655617046597
INM,INM-CM5-0,r1i1p1f1,gr1,historical,1868,1868-09,9,6.56598565400833,6.80992213276042,0.513249438368017,-0.24393647875209012
INM,INM-CM5-0,r1i1p1f1,gr1,historical,1869,1869-09,9,6.649022120333848,6.80992213276042,0.513249438368017,-0.1609000124265716
INM,INM-CM5-0,r1i1p1f1,gr1,historical,1870,1870-09,9,7.033379027818288,6.80992213276042,0.513249438368017,0.22345689505786837
INM,INM-CM5-0,r1i1p1f1,gr1,historical,1871,1871-09,9,6.734678620846559,6.80992213276042,0.513249438368017,-0.07524351191386103
INM,INM-CM5-0,r1i1p1f1,gr1,historical,1872,1872-09,9,6.70538197692463,6.80992213276042,0.513249438368017,-0.10454015583578968
INM,INM-CM5-0,r1i1p1f1,gr1,historical,1873,1873-09,9,6.525068820188679,6.80992213276042,0.513249438368017,-0.28485331257174096
INM,INM-CM5-0,r1i1p1f1,gr1,historical,1874,1874-09,9,6.8675225057905935,6.80992213276042,0.513249438368017,0.057600373030173735
INM,INM-CM5-0,r1i1p1f1,gr1,historical,1875,1875-08,8,7.4115836889704285,6.80992213276042,0.513249438368017,0.6016615562100087
