institution,source,member,grid,experiment,year,seb_Wm2,seb_anom_Wm2
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1850,-16.394599934639476,2.4330529623434827
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1851,-17.70990351831928,1.117749378663678
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1852,-18.755154991133185,0.07249790584976967
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1853,-23.265178002481708,-4.437525105498749
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1854,-19.38917079823787,-0.5615179012549124
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1855,-16.065371350246895,2.762281546736061
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1856,-18.930170303248506,-0.10251740626554835
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1857,-19.909081723816566,-1.0814288268336087
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1858,-18.56753348292907,0.2601194140538894
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1859,-19.383736662995428,-0.556083766012469
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1860,-18.660555015728804,0.1670978812541528
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1861,-21.41021618569377,-2.5825632887108108
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1862,-22.692888860980684,-3.865235963997725
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1863,-20.36628176990656,-1.538628872923602
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1864,-16.87449381381037,1.9531590831725876
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1865,-23.6056646627404,-4.7780117657574435
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1866,-20.6603683145824,-1.8327154175994425
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1867,-20.9609796392112,-2.1333267422282405
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1868,-19.146486762846965,-0.3188338658640098
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1869,-17.307288606282935,1.520364290700024
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1870,-20.622714614723645,-1.7950617177406887
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1871,-18.490442784810867,0.33721011217209096
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1872,-20.668090525744077,-1.8404376287611182
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1873,-25.754480420136478,-6.926827523153523
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1874,-22.828022991103534,-4.000370094120574
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1875,-18.652695430907556,0.1749574660754011
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1876,-18.09886239383845,0.7287905031445089
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1877,-18.20930295382415,0.6183499431588076
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1878,-18.75946687311698,0.06818602386597276
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1879,-22.320972262658927,-3.4933193656759727
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1880,-17.38688133825886,1.4407715587240972
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1881,-23.9743514482862,-5.146698551303239
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1882,-19.30457896751783,-0.47692607053487573
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1883,-18.801529093552006,0.026123803430950332
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1884,-21.86423341607069,-3.0365805190877317
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1885,-19.738720432883884,-0.9110675359009269
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1886,-17.519592805138412,1.308060091844543
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1887,-17.349803689287402,1.477849207695553
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1888,-15.06292083453497,3.7647320624479867
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1889,-19.297964993063346,-0.4703120960803873
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1890,-17.46433238328524,1.3633205136977191
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1891,-17.1902610996208,1.6373917973621592
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1892,-16.415410678880473,2.412242218102485
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1893,-18.699884680393048,0.12776821658990953
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1894,-19.282519345954245,-0.4548664489712877
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1895,-20.463177861721906,-1.6355249647389511
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1896,-19.91996610336748,-1.0923132063845216
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1897,-22.660690510676478,-3.83303761369352
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1898,-17.484482940334775,1.3431699566481805
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1899,-18.074635065888756,0.7530178310941995
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1900,-20.310032542592353,-1.482379645609395
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1901,-19.211949882963534,-0.38429698598057777
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1902,-16.729386307842606,2.098266589140351
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1903,-20.491710848079578,-1.6640579510966207
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1904,-17.076144196140234,1.7515087008427255
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1905,-16.38618516728684,2.441467729696116
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1906,-16.58190745506991,2.2457454419130474
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1907,-17.165286505704785,1.662366391278172
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1908,-16.213321613184313,2.614331283798645
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1909,-20.90492543515884,-2.0772725381758836
