institution,source,member,grid,experiment,time,year,month,rsds_into_surface_Wm2,rlds_into_surface_Wm2,rsus_into_surface_Wm2,rlus_into_surface_Wm2,hfss_into_surface_Wm2,hfls_into_surface_Wm2,seb_Wm2,pi_clim_rsds_into_surface_Wm2,pi_clim_rlds_into_surface_Wm2,pi_clim_rsus_into_surface_Wm2,pi_clim_rlus_into_surface_Wm2,pi_clim_hfss_into_surface_Wm2,pi_clim_hfls_into_surface_Wm2,pi_clim_seb_Wm2,rsds_into_surface_Wm2_anom,rlds_into_surface_Wm2_anom,rsus_into_surface_Wm2_anom,rlus_into_surface_Wm2_anom,hfss_into_surface_Wm2_anom,hfls_into_surface_Wm2_anom,seb_anom_Wm2
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1850-01,1850,1,1.4071020633114402,176.552107296165,-0.7021947392469603,-226.7462350616938,-22.610084323870293,-25.903331267081846,-98.00263603241646,1.312831520498936,184.4046235989899,-0.6504690083046897,-230.4431739194702,-18.324392791067698,-23.303892736152008,-87.00447333550575,0.09427054281250413,-7.85251630282491,-0.05172573094227062,3.6969388577764164,-4.285691532802595,-2.599438530929838,-10.998162696910711
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1850-02,1850,2,10.133548878687058,181.7813742939082,-6.051931014867353,-226.18646363433083,-14.985876746949963,-19.55468453393461,-74.86403275748752,10.134918449794124,183.00233533180176,-5.894508530509232,-227.93396157854312,-16.044463560492623,-21.711650424732266,-78.44733031268136,-0.0013695711070660366,-1.2209610378935736,-0.15742248435812112,1.7474979442122844,1.0585868135426608,2.1569658907976574,3.5832975551938375
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1850-03,1850,3,56.33427820449893,184.4878259316717,-36.786676551439456,-230.8338061570234,-10.160571984996073,-17.492186552184535,-54.45113710947283,54.092806291519665,188.06797862968583,-35.49560423649597,-233.96499959716866,-12.849913767591977,-19.59824621505587,-59.74797889510697,2.2414719129792644,-3.580152698014132,-1.2910723149434844,3.1311934401452675,2.6893417825959034,2.106059662871335,5.296841785634136
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1850-04,1850,4,157.86781973919668,206.75007287520333,-107.22742914717527,-255.2656926149861,-5.758339807376857,-15.417193744555057,-19.050762699693244,153.85297733527165,209.50018751526287,-103.91349209612389,-257.15609699210785,-7.231252400997411,-15.68121571347275,-20.62889235216735,4.01484240392503,-2.750114640059536,-3.313937051051383,1.8904043771217403,1.4729125936205536,0.26402196891769236,1.5781296524741073
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1850-05,1850,5,244.99916248746078,255.07049174267414,-147.36338230319203,-296.93656024216676,-2.7275658196196693,-14.053586997133117,38.98855886802337,246.70169500271564,251.0877509758891,-149.22398744547607,-294.09121110661533,-3.5740003779165477,-15.43610176618813,35.4641452824087,-1.702532515254859,3.9827407667850423,1.8606051422840437,-2.84534913555143,0.8464345582968784,1.382514769055014,3.524413585614667
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1850-06,1850,6,267.24158497671067,285.9064039724608,-121.25788646730932,-319.1905706173897,-1.0119620309031512,-12.161903832237059,99.52566600133221,262.85967388536494,287.5439359862113,-118.0808217040136,-319.1397551813616,-0.4218753871641016,-12.337941570683821,100.42321602835318,4.381911091345728,-1.6375320137505014,-3.177064763295718,-0.05081543602813099,-0.5900866437390495,0.1760377384467624,-0.8975500270209693
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1850-07,1850,7,214.72719042432436,301.5812065933208,-74.71896140158624,-325.77430827953316,0.3549529846810262,-8.385141340167065,107.78493898103969,215.66988252964234,300.5301923815116,-73.02995970405915,-325.46176212074056,0.41270860793022107,-8.39102748653027,109.73003420775422,-0.942692105317974,1.0510142118092176,-1.6890016975270896,-0.3125461587925997,-0.057755623249194865,0.005886146363204503,-1.9450952267145283
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1850-08,1850,8,134.0654540979176,296.33758638051404,-38.499123659899496,-324.47078684720844,-0.7764804426658235,-11.531536015945004,55.12511351271286,135.16208166491174,295.50242311597475,-37.03752417522527,-324.68498651157415,-0.464213324470985,-11.852725721887758,56.625055047728296,-1.0966275669941297,0.8351632645392897,-1.461599484674224,0.21419966436570803,-0.3122671181948385,0.32118970594275353,-1.499941535015438
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1850-09,1850,9,61.69735933701553,270.955770158079,-18.932140588085733,-309.1770329416154,-4.92442383427017,-21.632590166580233,-22.01305803545698,61.876713892617204,271.0061090726583,-17.776445273780446,-310.46478726779867,-5.377540528891009,-21.999781321033964,-22.735731426228572,-0.17935455560167668,-0.0503389145792994,-1.1556953143052873,1.2877543261832898,0.4531166946208387,0.3671911544537316,0.7226733907715932
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1850-10,1850,10,15.984906468684796,231.32930575840726,-5.258321461378755,-276.25722280828546,-15.050887734136074,-27.498984696909808,-76.75120447361806,16.046420071477925,235.3408133578954,-5.013446595779057,-280.3624820651788,-13.7920859904137,-26.972101580576677,-74.75288280257493,-0.061513602793128896,-4.011507599488141,-0.24487486559969796,4.105259256893362,-1.2588017437223744,-0.5268831163331313,-1.9983216710431293
