institution,source,member,siconc_grid,experiment,time,year,month,sia_Mkm2,pi_clim_sia_Mkm2,sia_anom_Mkm2
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1850-01,1850,1,11.598133664870357,11.393101120283909,0.20503254458644804
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1850-02,1850,2,11.886710820090519,11.68004137215119,0.20666944793932807
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1850-03,1850,3,11.926503488621131,11.74565528903226,0.18084819958887088
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1850-04,1850,4,11.715742446588143,11.484218481053126,0.23152396553501653
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1850-05,1850,5,10.590707279410209,10.401509285918172,0.18919799349203714
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1850-06,1850,6,8.332262853483929,8.127775267479151,0.20448758600477746
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1850-07,1850,7,6.024736312387609,5.775235079059171,0.24950123332843788
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1850-08,1850,8,4.517668496305221,4.232808706200082,0.2848597901051395
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1850-09,1850,9,5.12437495932815,4.864474429591945,0.25990052973620514
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1850-10,1850,10,7.978477928069062,7.697803894706126,0.2806740333629367
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1850-11,1850,11,9.737421299505737,9.432187898797288,0.30523340070844895
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1850-12,1850,12,11.084520899154327,10.62120195771389,0.4633189414404377
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1851-01,1851,1,11.669052852075916,11.393101120283909,0.2759517317920075
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1851-02,1851,2,11.878479629329027,11.68004137215119,0.1984382571778358
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1851-03,1851,3,11.950369762162707,11.74565528903226,0.204714473130446
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1851-04,1851,4,11.70726321199334,11.484218481053126,0.22304473094021304
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1851-05,1851,5,10.626252625526465,10.401509285918172,0.22474333960829362
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1851-06,1851,6,8.060596743538051,8.127775267479151,-0.06717852394110047
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1851-07,1851,7,5.653077159017825,5.775235079059171,-0.12215792004134585
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1851-08,1851,8,4.201644651171599,4.232808706200082,-0.03116405502848263
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1851-09,1851,9,4.762322206710947,4.864474429591945,-0.10215222288099746
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1851-10,1851,10,7.73125319613141,7.697803894706126,0.033449301425284794
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1851-11,1851,11,9.46625173341176,9.432187898797288,0.03406383461447149
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1851-12,1851,12,10.537591541711167,10.62120195771389,-0.08361041600272223
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1852-01,1852,1,11.465330471074827,11.393101120283909,0.07222935079091819
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1852-02,1852,2,11.77400597534441,11.68004137215119,0.09396460319321953
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1852-03,1852,3,11.51255963691681,11.74565528903226,-0.23309565211545014
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1852-04,1852,4,11.304424143344301,11.484218481053126,-0.17979433770882558
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1852-05,1852,5,10.076651885996766,10.401509285918172,-0.32485739992140594
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1852-06,1852,6,7.716379782797934,8.127775267479151,-0.41139548468121756
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1852-07,1852,7,5.368198208752413,5.775235079059171,-0.40703687030675795
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1852-08,1852,8,3.9264775019584612,4.232808706200082,-0.30633120424162064
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1852-09,1852,9,4.490345125169285,4.864474429591945,-0.37412930442265946
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1852-10,1852,10,7.286237355686477,7.697803894706126,-0.411566539019649
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1852-11,1852,11,9.263691619485105,9.432187898797288,-0.16849627931218336
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1852-12,1852,12,10.62982504624523,10.62120195771389,0.008623088531340528
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1853-01,1853,1,11.49334117573534,11.393101120283909,0.10024005545143133
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1853-02,1853,2,11.701301700805042,11.68004137215119,0.021260328653850635
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1853-03,1853,3,11.70250466385364,11.74565528903226,-0.04315062517862067
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1853-04,1853,4,11.488459089900955,11.484218481053126,0.004240608847828398
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1853-05,1853,5,10.534869782209638,10.401509285918172,0.1333604962914663
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1853-06,1853,6,8.202012245905738,8.127775267479151,0.07423697842658683
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1853-07,1853,7,5.646834813419971,5.775235079059171,-0.12840026563920048
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1853-08,1853,8,3.9278085430943896,4.232808706200082,-0.3050001631056922
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1853-09,1853,9,4.560296422379934,4.864474429591945,-0.3041780072120108
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1853-10,1853,10,7.689615364041324,7.697803894706126,-0.008188530664801519
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1853-11,1853,11,9.375718088228997,9.432187898797288,-0.05646981056829148
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1853-12,1853,12,10.485493609247937,10.62120195771389,-0.13570834846595226
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1854-01,1854,1,11.2578081959507,11.393101120283909,-0.13529292433320883
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1854-02,1854,2,11.517241292872939,11.68004137215119,-0.16280007927825224
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1854-03,1854,3,11.459875142894573,11.74565528903226,-0.28578014613768765
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1854-04,1854,4,11.2510877838637,11.484218481053126,-0.23313069718942714
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1854-05,1854,5,10.115260309148733,10.401509285918172,-0.28624897676943917
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1854-06,1854,6,8.041913382039828,8.127775267479151,-0.08586188543932316
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1854-07,1854,7,5.861385158189938,5.775235079059171,0.08615007913076678
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1854-08,1854,8,4.370569196389809,4.232808706200082,0.13776049018972714
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1854-09,1854,9,5.125595048372932,4.864474429591945,0.26112061878098736
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1854-10,1854,10,7.928142610898018,7.697803894706126,0.23033871619189217
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1854-11,1854,11,9.363077901646044,9.432187898797288,-0.06910999715124433
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1854-12,1854,12,10.580347146199804,10.62120195771389,-0.040854811514085654
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1855-01,1855,1,11.201321019980815,11.393101120283909,-0.19178010030309345
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1855-02,1855,2,11.55500729111059,11.68004137215119,-0.1250340810406012
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1855-03,1855,3,11.654790455652758,11.74565528903226,-0.09086483337950213
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1855-04,1855,4,11.42907128192598,11.484218481053126,-0.05514719912714661
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1855-05,1855,5,10.141440394295156,10.401509285918172,-0.26006889162301583
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1855-06,1855,6,7.600163395733202,8.127775267479151,-0.5276118717459495
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1855-07,1855,7,5.197012590036024,5.775235079059171,-0.5782224890231475
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1855-08,1855,8,3.681840390888641,4.232808706200082,-0.5509683153114411
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1855-09,1855,9,4.1835916822205865,4.864474429591945,-0.6808827473713581
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1855-10,1855,10,7.095500610361695,7.697803894706126,-0.6023032843444307
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1855-11,1855,11,9.124827680993748,9.432187898797288,-0.3073602178035397
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1855-12,1855,12,10.259329990757431,10.62120195771389,-0.36187196695645873
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1856-01,1856,1,11.262641952032592,11.393101120283909,-0.13045916825131698
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1856-02,1856,2,11.513845953383473,11.68004137215119,-0.16619541876771748
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1856-03,1856,3,11.607462445985817,11.74565528903226,-0.13819284304644341
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1856-04,1856,4,11.378142010499252,11.484218481053126,-0.10607647055387481
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1856-05,1856,5,10.14831338256725,10.401509285918172,-0.253195903350921
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1856-06,1856,6,7.76626810663917,8.127775267479151,-0.3615071608399818
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1856-07,1856,7,5.434125518361813,5.775235079059171,-0.3411095606973582
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1856-08,1856,8,3.836094083736967,4.232808706200082,-0.39671462246311506
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1856-09,1856,9,4.2629392254768455,4.864474429591945,-0.6015352041150992
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1856-10,1856,10,7.042399914059888,7.697803894706126,-0.6554039806462377
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1856-11,1856,11,9.073158414401016,9.432187898797288,-0.359029484396272
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1856-12,1856,12,10.198410970960477,10.62120195771389,-0.4227909867534123
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1857-01,1857,1,11.168328413988045,11.393101120283909,-0.2247727062958642
