institution,source,member,siconc_grid,experiment,year,summer_min_time,summer_min_month,summer_min_sia_Mkm2,piControl_mean_summer_min_sia_Mkm2,piControl_std_summer_min_sia_Mkm2,summer_min_sia_anom_Mkm2
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1850,1850-08,8,4.517668496305221,4.232808706200083,0.295811584429273,0.2848597901051386
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1851,1851-08,8,4.201644651171599,4.232808706200083,0.295811584429273,-0.031164055028483517
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1852,1852-08,8,3.9264775019584612,4.232808706200083,0.295811584429273,-0.3063312042416215
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1853,1853-08,8,3.9278085430943896,4.232808706200083,0.295811584429273,-0.3050001631056931
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1854,1854-08,8,4.370569196389809,4.232808706200083,0.295811584429273,0.13776049018972625
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1855,1855-08,8,3.681840390888641,4.232808706200083,0.295811584429273,-0.550968315311442
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1856,1856-08,8,3.836094083736967,4.232808706200083,0.295811584429273,-0.39671462246311595
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1857,1857-08,8,3.8806331077564193,4.232808706200083,0.295811584429273,-0.3521755984436634
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1858,1858-08,8,4.051437674650776,4.232808706200083,0.295811584429273,-0.18137103154930667
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1859,1859-08,8,3.943216252530707,4.232808706200083,0.295811584429273,-0.2895924536693757
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1860,1860-08,8,3.955094360730452,4.232808706200083,0.295811584429273,-0.2777143454696307
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1861,1861-08,8,3.5346310667639003,4.232808706200083,0.295811584429273,-0.6981776394361825
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1862,1862-08,8,3.413802423597961,4.232808706200083,0.295811584429273,-0.8190062826021216
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1863,1863-08,8,3.894494325268735,4.232808706200083,0.295811584429273,-0.3383143809313478
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1864,1864-08,8,4.035069785453921,4.232808706200083,0.295811584429273,-0.19773892074616217
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1865,1865-08,8,3.7029307141159826,4.232808706200083,0.295811584429273,-0.5298779920841001
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1866,1866-08,8,3.594939015192296,4.232808706200083,0.295811584429273,-0.6378696910077868
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1867,1867-08,8,3.7231762797577166,4.232808706200083,0.295811584429273,-0.5096324264423662
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1868,1868-08,8,3.7687430393664902,4.232808706200083,0.295811584429273,-0.4640656668335925
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1869,1869-08,8,3.3052186503867405,4.232808706200083,0.295811584429273,-0.9275900558133423
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1870,1870-08,8,3.511545003499445,4.232808706200083,0.295811584429273,-0.7212637027006377
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1871,1871-08,8,3.3934460279982397,4.232808706200083,0.295811584429273,-0.8393626782018431
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1872,1872-08,8,3.4494230434894746,4.232808706200083,0.295811584429273,-0.7833856627106082
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1873,1873-08,8,3.843540985174822,4.232808706200083,0.295811584429273,-0.38926772102526064
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1874,1874-08,8,3.783743996350217,4.232808706200083,0.295811584429273,-0.4490647098498659
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1875,1875-08,8,3.6706927786153556,4.232808706200083,0.295811584429273,-0.5621159275847272
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1876,1876-08,8,3.6382160126959606,4.232808706200083,0.295811584429273,-0.5945926935041221
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1877,1877-08,8,3.682194500606874,4.232808706200083,0.295811584429273,-0.5506142055932086
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1878,1878-08,8,3.441038766830308,4.232808706200083,0.295811584429273,-0.7917699393697748
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1879,1879-08,8,3.524920461962951,4.232808706200083,0.295811584429273,-0.7078882442371319
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1880,1880-08,8,4.1930134082595725,4.232808706200083,0.295811584429273,-0.03979529794051029
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1881,1881-08,8,3.7839200927868673,4.232808706200083,0.295811584429273,-0.4488886134132155
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1882,1882-08,8,3.6891712675635584,4.232808706200083,0.295811584429273,-0.5436374386365244
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1883,1883-08,8,3.918176168933622,4.232808706200083,0.295811584429273,-0.3146325372664607
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1884,1884-08,8,4.0738516266871745,4.232808706200083,0.295811584429273,-0.15895707951290827
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1885,1885-08,8,4.349357855477039,4.232808706200083,0.295811584429273,0.11654914927695614
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1886,1886-08,8,4.559532837023533,4.232808706200083,0.295811584429273,0.3267241308234503
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1887,1887-08,8,4.657693249627505,4.232808706200083,0.295811584429273,0.42488454342742266
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1888,1888-08,8,4.509777436486346,4.232808706200083,0.295811584429273,0.27696873028626356
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1889,1889-08,8,4.611602168752388,4.232808706200083,0.295811584429273,0.37879346255230484
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1890,1890-08,8,4.731213183266402,4.232808706200083,0.295811584429273,0.49840447706631963
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1891,1891-08,8,4.905724494972645,4.232808706200083,0.295811584429273,0.6729157887725625
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1892,1892-08,8,4.600853220644132,4.232808706200083,0.295811584429273,0.3680445144440494
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1893,1893-08,8,4.459531334987125,4.232808706200083,0.295811584429273,0.22672262878704252
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1894,1894-08,8,4.645265488459842,4.232808706200083,0.295811584429273,0.4124567822597589
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1895,1895-08,8,4.182463187158511,4.232808706200083,0.295811584429273,-0.050345519041571585
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1896,1896-08,8,4.327368296120198,4.232808706200083,0.295811584429273,0.09455958992011482
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1897,1897-08,8,4.339469023338024,4.232808706200083,0.295811584429273,0.10666031713794144
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1898,1898-08,8,3.8729214122521847,4.232808706200083,0.295811584429273,-0.3598872939478981
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1899,1899-08,8,3.882429375293872,4.232808706200083,0.295811584429273,-0.35037933090621065
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1900,1900-08,8,4.294216058794283,4.232808706200083,0.295811584429273,0.06140735259420005
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1901,1901-08,8,4.429746031543108,4.232808706200083,0.295811584429273,0.19693732534302555
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1902,1902-08,8,4.015834104766689,4.232808706200083,0.295811584429273,-0.2169746014333942
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1903,1903-08,8,4.166454191495902,4.232808706200083,0.295811584429273,-0.06635451470418108
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1904,1904-08,8,4.365656324804272,4.232808706200083,0.295811584429273,0.13284761860418914
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1905,1905-08,8,3.985514546040299,4.232808706200083,0.295811584429273,-0.24729416015978378
MIROC,MIROC-ES2L,r1i1p1f2,gn,historical,1906,1906-08,8,4.183648731902983,4.232808706200083,0.295811584429273,-0.049159974297099396
