institution,source,member,grid,experiment,year,seb_Wm2,seb_anom_Wm2
MIROC,MIROC6,r1i1p1f1,gn,historical,1850,-21.118553350964152,0.8101510418027297
MIROC,MIROC6,r1i1p1f1,gn,historical,1851,-23.31153875006355,-1.3828343572966668
MIROC,MIROC6,r1i1p1f1,gn,historical,1852,-23.36903458804616,-1.4403301952792729
MIROC,MIROC6,r1i1p1f1,gn,historical,1853,-21.263747167946146,0.6649572248207368
MIROC,MIROC6,r1i1p1f1,gn,historical,1854,-23.944003799992103,-2.0152994072252186
MIROC,MIROC6,r1i1p1f1,gn,historical,1855,-21.747578216336994,0.18112617642988837
MIROC,MIROC6,r1i1p1f1,gn,historical,1856,-23.799863490830532,-1.8711590980636474
MIROC,MIROC6,r1i1p1f1,gn,historical,1857,-21.703578578589045,0.22512581417783947
MIROC,MIROC6,r1i1p1f1,gn,historical,1858,-20.226276753220333,1.7024276395465525
MIROC,MIROC6,r1i1p1f1,gn,historical,1859,-24.383985987014352,-2.455281594247469
MIROC,MIROC6,r1i1p1f1,gn,historical,1860,-20.903942119344226,1.0247622734226578
MIROC,MIROC6,r1i1p1f1,gn,historical,1861,-21.46891648306151,0.45978790970537364
MIROC,MIROC6,r1i1p1f1,gn,historical,1862,-21.290444928681442,0.6382594640854409
MIROC,MIROC6,r1i1p1f1,gn,historical,1863,-15.847043489581429,6.081660903185457
MIROC,MIROC6,r1i1p1f1,gn,historical,1864,-24.4866447291807,-2.5579403364138176
MIROC,MIROC6,r1i1p1f1,gn,historical,1865,-23.095244430211526,-1.1665400374446446
MIROC,MIROC6,r1i1p1f1,gn,historical,1866,-23.407208824766304,-1.4785044319994205
MIROC,MIROC6,r1i1p1f1,gn,historical,1867,-22.02445644273473,-0.09575204996785007
MIROC,MIROC6,r1i1p1f1,gn,historical,1868,-20.602357439304775,1.3263469534621093
MIROC,MIROC6,r1i1p1f1,gn,historical,1869,-20.896757066536292,1.0319473262305905
MIROC,MIROC6,r1i1p1f1,gn,historical,1870,-21.992207500215596,-0.06350310744870846
MIROC,MIROC6,r1i1p1f1,gn,historical,1871,-21.49848855242688,0.43021584034000426
MIROC,MIROC6,r1i1p1f1,gn,historical,1872,-23.129662181230476,-1.2009577884635918
MIROC,MIROC6,r1i1p1f1,gn,historical,1873,-21.272921605405916,0.6557827873609661
MIROC,MIROC6,r1i1p1f1,gn,historical,1874,-23.733096080985288,-1.8043916882184032
